,loc,numFclt,mean_cnts
138,ME_LEWISTON,2,96.70588235294117
139,MI_ANN ARBOR,2,600.884892086331
140,MI_DETROIT,5,879.9136690647482
141,MI_FLINT,2,305.15107913669067
142,MI_GRAND RAPIDS,2,706.8057553956835
143,MI_KALAMAZOO,2,311.6231884057971
144,MI_LANSING,2,447.58992805755395
145,MI_PONTIAC,2,229.0
146,MI_SAGINAW,2,408.53956834532374
147,MN_DULUTH,2,234.94244604316546
148,MN_MINNEAPOLIS,3,607.9635036496351
149,MN_SAINT PAUL,2,543.5652173913044
150,MO_CAPE GIRARDEAU,2,185.02877697841726
151,MO_COLUMBIA,2,319.84892086330933
152,MO_JEFFERSON CITY,2,123.08759124087591
153,MO_JOPLIN,2,316.1438848920863
154,MO_KANSAS CITY,6,784.043165467626
155,MO_SAINT LOUIS,5,1475.4676258992806
156,MO_SPRINGFIELD,2,667.3453237410072
157,MS_GULFPORT,2,146.7841726618705
158,MS_JACKSON,2,731.9640287769785
159,MT_BILLINGS,2,316.568345323741
160,NC_CHARLOTTE,4,931.0071942446043
161,NC_DURHAM,2,537.2158273381295
162,NC_HENDERSONVILLE,2,106.99280575539568
163,NC_RALEIGH,3,693.136690647482
164,NC_WINSTON-SALEM,2,634.3309352517986
165,ND_BISMARCK,2,207.83211678832117
166,ND_FARGO,2,298.3649635036496
167,NE_LINCOLN,2,317.705035971223
168,NE_OMAHA,3,754.2894736842105
169,NH_MANCHESTER,2,169.90510948905109
170,NJ_CAMDEN,2,476.2014388489209
171,NJ_JERSEY CITY,2,212.05755395683454
172,NJ_NEW BRUNSWICK,2,424.8768115942029
173,NJ_NEWARK,2,393.8992805755396
174,NM_ALBUQUERQUE,3,779.568345323741
175,NV_HENDERSON,2,469.006993006993
176,NV_LAS VEGAS,8,2344.1677419354837
177,NV_RENO,2,360.3766233766234
178,NY_BINGHAMTON,2,365.9424460431655
179,NY_BRONX,4,1332.978417266187
180,NY_BROOKLYN,9,1730.6258992805756
181,NY_BUFFALO,4,964.3309352517986
182,NY_FLUSHING,2,496.1223021582734
183,NY_JAMAICA,2,299.24460431654677
184,NY_NEW YORK,10,3701.94964028777
185,NY_PORT JEFFERSON,2,158.4014598540146
186,NY_ROCHESTER,4,1170.8345323741007
187,NY_SYRACUSE,3,561.5035971223022
188,OH_AKRON,2,598.8057553956835
189,OH_CANTON,2,411.62589928057554
190,OH_CINCINNATI,8,1194.6978417266187
191,OH_CLEVELAND,4,1019.2374100719425
192,OH_COLUMBUS,5,1204.4676258992806
193,OH_DAYTON,2,488.0647482014389
194,OH_TOLEDO,3,720.6546762589928
195,OH_WARREN,2,195.27338129496403
196,OK_MUSKOGEE,2,161.65248226950354
197,OK_OKLAHOMA CITY,5,935.4805194805194
198,OK_TULSA,4,1004.6428571428571
199,OR_HILLSBORO,2,109.31884057971014
200,OR_MEDFORD,2,181.94244604316546
201,OR_PORTLAND,6,689.5251798561151
202,OR_SPRINGFIELD,2,199.15217391304347
203,PA_ERIE,2,252.9064748201439
204,PA_MONROEVILLE,2,224.30935251798562
205,PA_PHILADELPHIA,9,1867.2446043165467
206,PA_PITTSBURGH,8,983.4244604316547
207,PA_SCRANTON,2,251.93525179856115
208,PA_YORK,2,437.37410071942446
209,PR_BAYAMON,2,235.7753623188406
210,PR_MANATI,2,152.1294964028777
211,PR_SAN JUAN,2,223.7841726618705
212,RI_PROVIDENCE,3,445.9928057553957
213,SC_CHARLESTON,4,547.6762589928057
214,SC_COLUMBIA,3,336.0791366906475
215,SC_FLORENCE,2,400.0359712230216
216,SC_GREER,2,108.66906474820144
217,SD_SIOUX FALLS,2,395.7913669064748
218,TN_CHATTANOOGA,3,546.841726618705
219,TN_JOHNSON CITY,2,269.57553956834533
220,TN_KNOXVILLE,3,586.7913669064748
221,TN_MEMPHIS,4,1155.6690647482014
222,TN_NASHVILLE,6,1062.6258992805756
223,TX_AMARILLO,2,497.71942446043164
224,TX_ARLINGTON,2,454.33812949640287
225,TX_AUSTIN,5,876.0359712230215
226,TX_BEAUMONT,2,281.9928057553957
227,TX_BROWNSVILLE,3,305.7482014388489
228,TX_CORPUS CHRISTI,2,738.589928057554
229,TX_DALLAS,9,2175.3741007194244
230,TX_DENTON,2,272.158273381295
231,TX_EDINBURG,2,599.7841726618705
232,TX_EL PASO,6,1244.3237410071943
233,TX_FORT WORTH,7,1422.7410071942445
234,TX_FRISCO,2,115.61870503597122
235,TX_HARLINGEN,2,287.51079136690646
236,TX_HOUSTON,14,4355.410071942446
237,TX_LAREDO,2,349.9136690647482
238,TX_LUBBOCK,2,615.294964028777
239,TX_NACOGDOCHES,2,142.32846715328466
240,TX_PLANO,3,463.50359712230215
241,TX_ROUND ROCK,2,269.2014388489209
242,TX_SAN ANTONIO,6,2406.0071942446043
243,TX_SUGAR LAND,2,413.46762589928056
244,TX_THE WOODLANDS,2,355.66187050359713
245,TX_TYLER,3,677.9712230215828
246,TX_WACO,2,324.431654676259
247,UT_OGDEN,2,182.62589928057554
248,UT_SALT LAKE CITY,3,451.23021582733816
249,VA_ALEXANDRIA,2,198.015503875969
250,VA_CHARLOTTESVILLE,2,260.9424460431655
251,VA_FREDERICKSBURG,2,251.8029197080292
252,VA_NORFOLK,2,307.72661870503595
253,VA_RICHMOND,4,851.0719424460432
254,VA_VIRGINIA BEACH,2,222.37410071942446
255,WA_SEATTLE,4,424.1798561151079
256,WA_SPOKANE,4,455.6115107913669
257,WA_TACOMA,2,405.7985611510791
258,WA_VANCOUVER,2,331.8776978417266
259,WI_APPLETON,2,136.2463768115942
260,WI_EAU CLAIRE,2,180.0503597122302
261,WI_GREEN BAY,4,363.0143884892086
262,WI_JANESVILLE,2,80.21739130434783
263,WI_LA CROSSE,2,142.1294964028777
264,WI_MADISON,3,431.24460431654677
265,WI_MILWAUKEE,4,1007.9640287769785
266,WV_BECKLEY,2,169.9640287769784
267,WV_HUNTINGTON,2,322.47482014388487
