,loc,numFclt,mean_cnts
0,AL,15,39.72764786795048
1,AK,2,5.265886287625418
2,AZ,7,75.07407407407408
3,AR,6,21.394190871369293
4,CA,20,125.03292181069959
5,CO,7,21.00826446280992
6,CT,5,24.997241379310346
7,DE,3,13.557422969187675
8,FL,36,257.6090534979424
9,GA,15,53.81980742778542
10,IL,18,113.7448559670782
11,IN,11,41.11934156378601
12,IA,4,13.51699716713881
13,KS,3,10.870111731843576
14,KY,2,23.44321329639889
15,LA,10,32.67634854771784
16,ME,3,7.010309278350515
17,MD,12,34.224965706447186
18,MA,8,21.67032967032967
19,MI,21,95.30041152263375
20,MN,4,21.29436038514443
21,MO,8,35.66437414030261
22,MT,2,11.203730272596843
23,NE,4,12.46045197740113
24,NV,2,26.61707988980716
25,NJ,16,109.61179698216735
26,NY,18,157.52674897119343
27,NC,8,31.07544581618656
28,OH,33,174.39780521262003
29,OK,6,26.130374479889042
30,OR,7,13.401933701657459
31,PA,24,73.14677640603567
32,SC,6,22.497214484679667
33,TN,10,37.91906721536351
34,TX,38,292.21262002743487
35,UT,5,9.098150782361309
36,VA,10,36.73936899862826
37,WA,8,27.367626886145406
38,WI,10,26.532967032967033
