,loc,numFclt,total_cnts,normalized_entropy,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_beds_7_day_avg,inpatient_beds_used_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,previous_day_total_ED_visits_7_day_sum
19,CA_FOUNTAIN VALLEY,2,44375.0,0.968473,"(0.6667722521381058, 0.3332277478618942)","(0.631239226201877, 0.36876077379812294)","(0.6464799873437748, 0.3535200126562253)","(0.6356043297501779, 0.3643956702498221)","(0.5437616387337058, 0.45623836126629425)","(0.5450203769740194, 0.45497962302598066)"
20,CA_FREMONT,2,24349.0,0.974651,"(0.7227722772277227, 0.27722772277227725)","(0.749930407348984, 0.250069592651016)","(0.5363550519357885, 0.4636449480642115)","(0.5636675971655573, 0.4363324028344428)","(0.7679482817284791, 0.23205171827152093)","(0.5270969192714189, 0.47290308072858106)"
21,CA_FRESNO,3,152349.0,0.88513,"(0.5, 0.35230479774223894, 0.14769520225776106)","(0.5855606103686855, 0.30525542602596906, 0.10918396360534545)","(0.5392083212944235, 0.347298468650679, 0.11349321005489743)","(0.5879574970484062, 0.29771743408107043, 0.11432506887052342)","(0.7079877782627674, 0.18616324749017896, 0.10584897424705368)","(0.4604895855701095, 0.3720206141292678, 0.16748980030062272)"
22,CA_GARDENA,2,17644.0,0.99548,"(0.6692056583242655, 0.3307943416757345)","(0.739351136614434, 0.26064886338556614)","(0.6332710571384088, 0.36672894286159113)","(0.6307383746842965, 0.36926162531570345)","(0.5749414519906323, 0.42505854800936765)","(1.0, 0.0)"
23,CA_GLENDALE,3,60808.0,0.873154,"(0.21783363255535607, 0.13205665270297226, 0.6501097147416717)","(0.3243356202192256, 0.18410220014194464, 0.49156217963882975)","(0.27828648081185114, 0.1813834130409425, 0.5403301061472063)","(0.20775775004707372, 0.20308461288279497, 0.5891576370701312)","(0.23966761425759894, 0.11250820030614476, 0.6478241854362563)","(0.3063230113109586, 0.23771555720378268, 0.4559614314852587)"
24,CA_LA JOLLA,2,35158.0,0.808948,"(0.7799079754601227, 0.2200920245398773)","(0.7373411320500287, 0.26265886794997134)","(0.7314093706820751, 0.2685906293179249)","(0.7305085622639557, 0.2694914377360443)","(0.7231963927855711, 0.27680360721442887)","(0.9767554479418886, 0.02324455205811138)"
25,CA_LONG BEACH,2,50923.0,0.878112,"(0.32924492142583367, 0.6707550785741664)","(0.39435987649888704, 0.605640123501113)","(0.4036947848901988, 0.5963052151098013)","(0.46754281937126974, 0.5324571806287303)","(0.38552905077699695, 0.614470949223003)","(0.33929694198342386, 0.6607030580165761)"
26,CA_LOS ANGELES,12,308955.0,0.961667,"(0.04164315085060066, 0.08679351769733129, 0.08888978472950093, 0.08401193259695235, 0.052487301459324356, 0.18386680641780215, 0.08973635410787713, 0.05587357897282916, 0.15415625251955173, 0.06288801096508909, 0.02499395307586874, 0.07465935660727244)","(0.05335444178271866, 0.07462248350137794, 0.11514002976091178, 0.0644096863093133, 0.105956519708263, 0.10807514963866517, 0.07508291016341812, 0.07311775578702932, 0.1531118836788758, 0.035953316740179236, 0.10732612220657811, 0.03384970072266968)","(0.054436443373022406, 0.0639858382518425, 0.08890677886946195, 0.05303094324181274, 0.13470117554963507, 0.1392512598351651, 0.07563458775702639, 0.031797216576005975, 0.20885020304139554, 0.039429616022701494, 0.06554256308071396, 0.04443337440121691)","(0.0624418851783959, 0.0733973592625063, 0.10653609096463962, 0.070255838048936, 0.10717701442575915, 0.13461385191679287, 0.07570866873887516, 0.058596344411678755, 0.17577907069418985, 0.0387210754230759, 0.058397093594750406, 0.0383757073404001)","(0.03370468980083592, 0.06398833871279618, 0.144055569603308, 0.0524460442355461, 0.17613898350463328, 0.13455102556856213, 0.08876857402091297, 0.0483556692597165, 0.13525010783715846, 0.02684773393226339, 0.07358212729246925, 0.02231113623179783)","(-0.006605293133520806, 1.1052642117253408, -0.008654291104545617, -0.01141409781796177, -0.007622005481792617, -0.021830393692378883, -0.009033611575837397, -0.010089257110312177, -0.011136003630797708, -0.0025050724379738726, -0.0, -0.016374185740219982)"
27,CA_MANTECA,2,36291.0,0.66865,"(0.15938303341902313, 0.8406169665809768)","(0.26280359348136667, 0.7371964065186334)","(0.1988518790467926, 0.8011481209532074)","(0.28334597464514033, 0.7166540253548597)","(0.15117177440123616, 0.8488282255987638)","(0.19813250333481547, 0.8018674966651845)"
28,CA_MODESTO,2,79776.0,0.995568,"(0.4979807826208049, 0.5020192173791951)","(0.5801522402683047, 0.4198477597316954)","(0.5796375483608226, 0.42036245163917735)","(0.5385557118041194, 0.46144428819588057)","(0.5232214765100671, 0.4767785234899329)","(0.5210936028627032, 0.47890639713729677)"
29,CA_MONTEREY PARK,2,19028.0,0.978931,"(0.3495426095329803, 0.6504573904670198)","(0.3870887433452066, 0.6129112566547933)","(0.2898317735545731, 0.7101682264454269)","(0.2936725110638154, 0.7063274889361846)","(0.13531758208039277, 0.8646824179196072)","(0.47525797373358347, 0.5247420262664165)"
30,CA_MORENO VALLEY,2,52767.0,0.822008,"(0.6955445544554455, 0.30445544554455445)","(0.6979684050772628, 0.30203159492273735)","(0.8072093796773657, 0.1927906203226343)","(0.7490250601919359, 0.250974939808064)","(0.7562758956860833, 0.24372410431391664)","(0.6743672881203279, 0.3256327118796722)"
31,CA_MURRIETA,2,46523.0,0.986634,"(0.5832847990681421, 0.4167152009318579)","(0.6128933699969447, 0.3871066300030553)","(0.6526027397260274, 0.3473972602739726)","(0.6510575942915392, 0.34894240570846075)","(0.6183561643835617, 0.38164383561643833)","(0.8955942402750914, 0.10440575972490866)"
32,CA_OAKLAND,3,49441.0,0.92424,"(0.16361256544502617, 0.3962228870605834, 0.44016454749439043)","(0.24545145960624576, 0.3285386965376782, 0.42600984385607604)","(0.29839799821680235, 0.3384911846760045, 0.3631108171071932)","(0.2796278818929486, 0.22381016583524335, 0.496561952271808)","(0.26050850932950587, 0.3341193356571663, 0.40537215501332785)","(0.2124491939535096, 0.29456089875325386, 0.4929899072932365)"
33,CA_ORANGE,2,68186.0,0.99733,"(0.6503035101609923, 0.34969648983900764)","(0.4485174463420066, 0.5514825536579935)","(0.40541427399507796, 0.5945857260049221)","(0.3959890773982721, 0.604010922601728)","(0.2683258798366712, 0.7316741201633288)","(0.6968531966396126, 0.3031468033603873)"
34,CA_PANORAMA CITY,2,31854.0,0.943036,"(0.6231884057971014, 0.37681159420289856)","(0.5710484438995121, 0.4289515561004878)","(0.4727979274611399, 0.5272020725388601)","(0.4963529284633672, 0.5036470715366328)","(0.7098577235772358, 0.29014227642276424)","(0.7887048192771084, 0.21129518072289158)"
35,CA_RIVERSIDE,3,75849.0,0.912259,"(0.4251655629139073, 0.23090507726269316, 0.34392935982339956)","(0.4916007376917731, 0.1691078206019137, 0.3392914417063131)","(0.6437848980327016, 0.13765084956071008, 0.21856425240658836)","(0.5830048675500832, 0.16956342205037728, 0.2474317103995395)","(0.615531424810793, 0.13708456729187232, 0.24738400789733464)","(0.5834960334132417, 0.21325655537157404, 0.20324741121518425)"
36,CA_ROSEVILLE,2,69941.0,0.988982,"(0.5190546528803545, 0.4809453471196455)","(0.47722300992505573, 0.5227769900749443)","(0.49934452300616794, 0.5006554769938321)","(0.5343781310849387, 0.46562186891506135)","(0.45905637369852736, 0.5409436263014726)","(0.4102427880784147, 0.5897572119215853)"
37,CA_SACRAMENTO,6,144058.0,0.954479,"(0.08680445151033386, 0.20922098569157394, 0.1395866454689984, 0.09803921568627451, 0.20476947535771065, 0.26157922628510866)","(0.11307609238379451, 0.21901090351722616, 0.10414658786098306, 0.09551318524367446, 0.3687687966650798, 0.0994844343292421)","(0.12343968714374359, 0.24027014156456988, 0.10102890457018342, 0.06202288699366495, 0.346623951974833, 0.1266144277530052)","(0.1233847637415622, 0.2617526518804243, 0.09871022179363549, 0.08837994214079074, 0.3094744455159113, 0.11829797492767599)","(0.07008973610152391, 0.26193383953698296, 0.0962671905697446, 0.08033770509212552, 0.38411299315032127, 0.10725853554930176)","(0.09765733940689783, 0.22245979362275728, 0.22803755693966718, 0.11329831737473273, 0.06572464441758855, 0.27282234823835644)"
38,CA_SALINAS,2,23948.0,0.99857,"(0.46419098143236076, 0.5358090185676393)","(0.36632942256843837, 0.6336705774315616)","(0.502053588891062, 0.497946411108938)","(0.39225428174664406, 0.607745718253356)","(0.36537425955842756, 0.6346257404415724)","(0.4739240506329114, 0.5260759493670886)"
39,CA_SAN BERNARDINO,2,45271.0,0.909804,"(0.2866874270144025, 0.7133125729855975)","(0.4639273987595767, 0.5360726012404231)","(0.3758315924795115, 0.6241684075204885)","(0.4573442910183138, 0.5426557089816862)","(0.28376686604534707, 0.7162331339546529)","(0.4641734758013828, 0.5358265241986172)"
40,CA_SAN DIEGO,5,151601.0,0.90923,"(0.17714103110353643, 0.3211546655304644, 0.3095440988495952, 0.15264167021729869, 0.03951853429910524)","(0.31301893995262836, 0.24356232485098775, 0.22702999331939366, 0.17844593480769394, 0.0379428070692961)","(0.3409322713506022, 0.24748713397021155, 0.2743169909451179, 0.08245159180622708, 0.054812011927841235)","(0.2705242334322453, 0.26184420355679366, 0.2542390843577787, 0.16143846262540626, 0.05195401602777609)","(0.4067425411984346, 0.17624672387175527, 0.2760923419380318, 0.09715290991993682, 0.04376548307184145)","(0.22374946861272496, 0.3179679750602239, 0.23531245571772708, 0.14802323933682868, 0.07494686127249539)"
41,CA_SAN FRANCISCO,5,71888.0,0.964609,"(0.1218612818261633, 0.0916593503072871, 0.13643546971027218, 0.3390693590869184, 0.31097453906935907)","(0.15591593064325224, 0.05794976021276696, 0.13116385225145355, 0.18045580794386573, 0.47451464894866147)","(0.16391446617456815, 0.04506071510104689, 0.1375737876004218, 0.13477991455314337, 0.5186711165708198)","(0.18289897841226282, 0.06695299944550435, 0.13314474215952557, 0.13124629944644417, 0.4857569805362631)","(0.1657697754400162, 0.02937487355856767, 0.11741857171758041, 0.18078090228606108, 0.5066558769977746)","(0.1653762098033094, 0.10736809241336247, 0.1733062753668436, 0.29506712457071493, 0.2588822978457696)"
42,CA_SAN JOSE,4,84247.0,0.982397,"(0.3552944118014752, 0.3479184898112264, 0.10713839229903738, 0.18964870608826104)","(0.396963493688161, 0.1752376737023615, 0.318012485361513, 0.10978634724796443)","(0.4238196926790771, 0.19620723271900098, 0.2635555452393111, 0.11641752936261084)","(0.427278529578394, 0.170506945490272, 0.31973637973939173, 0.08247814519194223)","(0.5099195338512763, 0.14400665926748057, 0.29057991120976695, 0.05549389567147614)","(0.4073615264132137, 0.24297308842375054, 0.1800797380037021, 0.1695856471593336)"
43,CA_SANTA MONICA,2,25658.0,0.998973,"(0.5488676996424314, 0.4511323003575685)","(0.6035009642486278, 0.39649903575137224)","(0.6479254805908112, 0.35207451940918877)","(0.6397521027003099, 0.36024789729969015)","(0.5538605961042009, 0.4461394038957991)","(0.5983932273669661, 0.40160677263303385)"
44,CA_SANTA ROSA,3,29634.0,0.945584,"(0.4794400699912511, 0.18328958880139984, 0.33727034120734906)","(0.5287291333908151, 0.1653073628563755, 0.3059635037528093)","(0.5344993100137997, 0.1995260094798104, 0.2659746805063899)","(0.5232122540722036, 0.19943391514276992, 0.2773538307850265)","(0.42332667332667334, 0.32817182817182816, 0.2485014985014985)","(0.30052679382379655, 0.27905540417802, 0.42041780199818346)"
45,CA_STOCKTON,2,42899.0,0.638429,"(0.8313530767866643, 0.1686469232133357)","(0.7135394115100059, 0.28646058848999423)","(0.8569721455600763, 0.14302785443992375)","(0.7983098471625016, 0.20169015283749842)","(0.8099472494348153, 0.1900527505651846)","(0.6951854366734569, 0.30481456332654316)"
46,CA_TORRANCE,3,86427.0,0.997335,"(0.31087105624142664, 0.33607681755829905, 0.3530521262002744)","(0.4811818903891978, 0.25201588562351074, 0.26680222398729153)","(0.40322609488724764, 0.2778840823333751, 0.31888982277937733)","(0.5138016415241414, 0.21254986473474255, 0.27364849374111605)","(0.4588659455916093, 0.21492953130121273, 0.32620452310717796)","(0.3676163158150615, 0.25655112061840635, 0.37583256356653216)"
47,CA_VALLEJO,2,22885.0,0.82608,"(0.6191145467322557, 0.3808854532677442)","(0.6782487662912817, 0.3217512337087182)","(0.6980064841001586, 0.30199351589984136)","(0.6140322838420968, 0.38596771615790315)","(0.6109544905356423, 0.3890455094643576)","(0.6632623910869876, 0.3367376089130124)"
48,CA_VENTURA,2,24776.0,0.9421,"(0.34145299145299146, 0.6585470085470085)","(0.41446644168125457, 0.5855335583187453)","(0.33630109267503033, 0.6636989073249696)","(0.3539540816326531, 0.6460459183673469)","(0.41670633031889576, 0.5832936696811042)","(0.3940002362111728, 0.6059997637888273)"
49,CA_WALNUT CREEK,2,29373.0,0.999992,"(0.38155136268343814, 0.6184486373165619)","(0.3392851138235986, 0.6607148861764013)","(0.3504145091621281, 0.6495854908378719)","(0.3098877831886513, 0.6901122168113487)","(0.3066392881587953, 0.6933607118412046)","(0.5274459544421338, 0.47255404555786623)"
50,CO_AURORA,2,54788.0,0.940259,"(0.7121409921671018, 0.2878590078328982)","(0.6143514760858103, 0.38564852391418974)","(0.6841120851884152, 0.3158879148115849)","(0.6111842403885435, 0.3888157596114566)","(0.7456546423268408, 0.25434535767315924)","(0.53064882826163, 0.46935117173837004)"
51,CO_COLORADO SPRINGS,2,72446.0,0.997266,"(0.5790389972144847, 0.42096100278551535)","(0.5766280973607314, 0.4233719026392686)","(0.6779801629733417, 0.3220198370266583)","(0.6313201411746044, 0.36867985882539556)","(0.5372124492557511, 0.462787550744249)","(0.7548247394776019, 0.24517526052239816)"
52,CO_DENVER,4,59260.0,0.935874,"(0.5112930547713156, 0.09203839638622248, 0.31197063805759456, 0.08469791078486731)","(0.27846792884061045, 0.31730898865584256, 0.2174457348664317, 0.18677734763711537)","(0.39219502389371635, 0.23734729493891799, 0.23498076624361539, 0.13547691492375027)","(0.2570028557606779, 0.3531155880838314, 0.188386573243239, 0.20149498291225168)","(0.3108053960197676, 0.38146119941231466, 0.1394416989448377, 0.16829170562308002)","(1.0286382189396117, -0.006796440583433333, -0.010928811668666655, -0.01091296668751162)"
53,CO_GREELEY,2,18283.0,0.93338,"(0.6817359855334539, 0.3182640144665461)","(0.8944477627444362, 0.10555223725556392)","(0.7342801650886137, 0.26571983491138623)","(0.880507873762004, 0.119492126237996)","(0.9279765923925276, 0.07202340760747243)","(0.5473448017950636, 0.45265519820493644)"
54,CT_BRIDGEPORT,2,50289.0,0.895306,"(0.6954076850984068, 0.3045923149015933)","(0.6748285936083341, 0.32517140639166586)","(0.6176073453956251, 0.3823926546043748)","(0.6681130683831911, 0.33188693161680893)","(0.419691825541917, 0.580308174458083)","(0.5439020586400499, 0.4560979413599501)"
55,CT_HARTFORD,2,70355.0,0.879987,"(0.3020329138431752, 0.6979670861568248)","(0.3703297415389173, 0.6296702584610827)","(0.3175300625973711, 0.682469937402629)","(0.38180125533663534, 0.6181987446633647)","(0.3200791806523797, 0.6799208193476203)","(0.46378796245168413, 0.5362120375483158)"
56,CT_WATERBURY,2,25613.0,0.999891,"(0.4007398273736128, 0.5992601726263872)","(0.6413110698824984, 0.3586889301175015)","(0.531228959562755, 0.46877104043724505)","(0.5228356143318469, 0.47716438566815317)","(0.4216895240290423, 0.5783104759709577)","(0.3677061085006407, 0.6322938914993592)"
57,DC_WASHINGTON,6,120113.0,0.843467,"(0.1956651184947005, 0.053114207455043465, 0.08907943313088007, 0.04215791354055019, 0.045968798380373946, 0.5740145289984518)","(0.1760561997840627, 0.10583451351010278, 0.16963136419086614, 0.11180503947165472, 0.06909993409705961, 0.3675729489462541)","(0.18347953654082214, 0.07468638663513069, 0.1989401514924703, 0.09817670129636837, 0.04414837879105416, 0.40056884524415437)","(0.19494054624024404, 0.08240206369978441, 0.17750454258734477, 0.10302023216622574, 0.06891081465302164, 0.3732218006533794)","(0.17751823402553976, 0.09217572512055053, 0.24262763817877825, 0.04931062056264993, 0.10366134386585572, 0.33470643824662577)","(0.19649241813993584, 0.15809556111417306, 0.1001116434193977, 0.1039131725102811, 0.1368409151933975, 0.3045462896228148)"
58,FL_BOCA RATON,2,31478.0,0.876168,"(0.7415614532337027, 0.25843854676629735)","(0.7584202307188554, 0.24157976928114455)","(0.7306982807388641, 0.26930171926113583)","(0.7607306074730881, 0.23926939252691193)","(0.715919629057187, 0.28408037094281297)","(0.0, 1.0)"
59,FL_BRADENTON,3,48788.0,0.971098,"(0.4317373018440634, 0.431252021999353, 0.13701067615658363)","(0.43002522142061117, 0.418844213736876, 0.15113056484251275)","(0.4712774835226595, 0.38905257421189776, 0.13966994226544271)","(0.407014469415303, 0.43665190517915076, 0.1563336254055462)","(0.3099273607748184, 0.574818401937046, 0.1152542372881356)","(0.39422192491010954, 0.44121582072079607, 0.1645622543690944)"
60,FL_BROOKSVILLE,2,42975.0,0.926204,"(0.3163596966413868, 0.6836403033586133)","(0.3750227562352084, 0.6249772437647916)","(0.27490286615237347, 0.7250971338476265)","(0.36730246152286666, 0.6326975384771334)","(0.37995444191343963, 0.6200455580865604)","(0.17276099629040806, 0.8272390037095919)"
61,FL_CORAL GABLES,2,27944.0,0.998774,"(0.5125802533402741, 0.4874197466597258)","(0.36273316638191305, 0.6372668336180869)","(0.5037986483337218, 0.49620135166627827)","(0.2927264444613165, 0.7072735555386834)","(0.46516730663741085, 0.5348326933625891)","(1.0, 0.0)"
62,FL_DAYTONA BEACH,2,44755.0,0.990137,"(0.4489749430523918, 0.5510250569476082)","(0.6699670131947222, 0.3300329868052779)","(0.6060689655172414, 0.3939310344827586)","(0.6442784425199973, 0.35572155748000267)","(0.7164179104477612, 0.2835820895522388)","(0.5678851174934726, 0.4321148825065274)"
63,FL_FORT LAUDERDALE,3,57100.0,0.935395,"(0.48782424563260984, 0.33178930651138167, 0.18038644785600846)","(0.6083077660594439, 0.20958772770853307, 0.182104506232023)","(0.5610002525890376, 0.26958679405078523, 0.16941295336017712)","(0.6011458689635871, 0.21476103112658976, 0.18409309990982306)","(0.38036373969877807, 0.5533532253481103, 0.06628303495311168)","(0.4162688013784686, 0.38819686254801306, 0.19553433607351833)"
64,FL_FORT MYERS,2,81600.0,0.999995,"(0.38245228846478635, 0.6175477115352136)","(0.6272020602124445, 0.37279793978755543)","(0.596917412992265, 0.4030825870077351)","(0.6377502100528839, 0.3622497899471161)","(0.814489571899012, 0.18551042810098792)","(0.6589567521985303, 0.3410432478014697)"
65,FL_GAINESVILLE,2,85781.0,0.985048,"(0.5555310952118877, 0.4444689047881123)","(0.6944061984213181, 0.30559380157868177)","(0.7036605794728105, 0.29633942052718953)","(0.7054155084826992, 0.2945844915173009)","(0.8295839508786788, 0.1704160491213212)","(0.4947746768152712, 0.5052253231847288)"
66,FL_HIALEAH,3,54049.0,0.971666,"(0.33639933856965687, 0.33691608102521703, 0.3266845804051261)","(0.3443366014681972, 0.26485851767913154, 0.3908048808526712)","(0.23275614656079593, 0.322132402181192, 0.44511145125801205)","(0.35373324906813874, 0.25598132408135893, 0.3902854268505024)","(0.15945725362170984, 0.2585186696592532, 0.5820240767190369)","(0.2637090632140137, 0.2717060167555217, 0.4645849200304646)"
