,loc,numFclt,total_cnts,normalized_entropy,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_beds_7_day_avg,inpatient_beds_used_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,previous_day_total_ED_visits_7_day_sum
0,AK_ANCHORAGE,2,28961.0,0.976878,"(0.8726726726726727, 0.12732732732732732)","(0.6110289303295584, 0.3889710696704416)","(0.6103857171407634, 0.38961428285923655)","(0.514649391976361, 0.48535060802363905)","(0.8231912192936609, 0.17680878070633912)","(0.6381243202543294, 0.36187567974567053)"
1,AL_BIRMINGHAM,6,159410.0,0.92016,"(0.14718006370620199, 0.39619636499906313, 0.15369121229154956, 0.11832490163012929, 0.12610080569608395, 0.05850665167697208)","(0.1052711474132586, 0.4028959213122909, 0.14705113128213193, 0.09245769237100128, 0.1429342190211954, 0.1093898886001218)","(0.1095873265627235, 0.4453583178372193, 0.12569017307967387, 0.08650050064368474, 0.13738735517093406, 0.09547632670576456)","(0.10497708652368201, 0.408170714666621, 0.1406548092634893, 0.09144002714826317, 0.14788388984421116, 0.10687347255373332)","(0.08600644756611672, 0.45262789374644435, 0.112540661969571, 0.09026592563418086, 0.1335900689977098, 0.12496900208597728)","(-0.012218805456000556, -0.03446318591461081, 1.0774057030516024, -0.00891101812867532, -0.012097019729287728, -0.00971567382302794)"
2,AL_DOTHAN,2,49416.0,0.954944,"(0.6027901077996195, 0.39720989220038044)","(0.6151565875234951, 0.3848434124765048)","(0.6458023207848342, 0.3541976792151658)","(0.6173177333708048, 0.3826822666291952)","(0.5985030227425391, 0.4014969772574609)","(0.5576866702960761, 0.44231332970392395)"
3,AL_HUNTSVILLE,2,82352.0,0.576611,"(0.920794507111329, 0.07920549288867092)","(0.8595812020345117, 0.14041879796548826)","(0.8941288004056706, 0.10587119959432943)","(0.8647986942328618, 0.13520130576713818)","(0.8996116784121961, 0.10038832158780382)","(0.8346591115469834, 0.1653408884530166)"
4,AL_MOBILE,4,83952.0,0.923479,"(0.09845707953286165, 0.23706418890120196, 0.488193674878527, 0.17628505668740943)","(0.15634189374632426, 0.2189944930584021, 0.39557306054071395, 0.22909055265455974)","(0.18589516870623188, 0.19441890075687912, 0.41094291575298864, 0.2087430147839004)","(0.15555776228339588, 0.22155153458218366, 0.3958775171474575, 0.22701318598696296)","(0.22705990249553507, 0.24327846695950187, 0.3689723415552445, 0.1606892889897186)","(0.12753889611263058, 0.2941308344168946, 0.32818454916378964, 0.2501457203066852)"
5,AL_MONTGOMERY,3,56079.0,0.990217,"(0.38814814814814813, 0.35617283950617284, 0.255679012345679)","(0.4928991156955417, 0.269160888214257, 0.23793999609020136)","(0.5159252861153099, 0.29926041891600086, 0.18481429496868926)","(0.47973138331718107, 0.2757726155864243, 0.24449600109639463)","(0.569963749352667, 0.17400310719834283, 0.25603314344899014)","(0.36667297757823275, 0.32431774538176505, 0.30900927704000214)"
6,AR_CONWAY,2,20476.0,0.943194,"(0.6293393057110862, 0.3706606942889138)","(0.7613720935477323, 0.2386279064522676)","(0.6670088277561076, 0.3329911722438924)","(0.700760079312624, 0.2992399206873761)","(0.7388769561215097, 0.26112304387849034)","(0.5284007081735025, 0.4715992918264975)"
7,AR_FORT SMITH,2,46226.0,0.991862,"(0.557429718875502, 0.442570281124498)","(0.26727918279818424, 0.7327208172018157)","(0.4193525850023288, 0.5806474149976711)","(0.23289190642645874, 0.7671080935735413)","(0.3787738039944264, 0.6212261960055736)","(0.5219041422684884, 0.4780958577315116)"
8,AR_JONESBORO,2,56520.0,0.96943,"(0.6199160325373918, 0.38008396746260825)","(0.6381607593834364, 0.36183924061656364)","(0.6725920183113671, 0.32740798168863294)","(0.5724356976416285, 0.42756430235837156)","(0.6259366570086922, 0.37406334299130783)","(0.5587006000413821, 0.44129939995861783)"
9,AR_LITTLE ROCK,3,89700.0,0.942739,"(0.26288659793814434, 0.25173574584472963, 0.48537765621712603)","(0.2173234174945929, 0.40036162740040787, 0.38231495510499913)","(0.18711552548460528, 0.3807843477028017, 0.432100126812593)","(0.1898838818824977, 0.4104954885676202, 0.3996206295498821)","(0.21362909130352253, 0.37641348265856767, 0.4099574260379098)","(0.19349119918956567, 0.400937064708117, 0.40557173610231734)"
10,AZ_GLENDALE,2,58564.0,0.907921,"(0.830068819481207, 0.16993118051879302)","(0.762879026335117, 0.237120973664883)","(0.6953264222890758, 0.3046735777109242)","(0.6915342241901901, 0.30846577580981)","(0.677387207827505, 0.322612792172495)","(0.9100030404378231, 0.08999695956217696)"
11,AZ_MESA,3,111252.0,0.898418,"(0.5372681281618887, 0.3886453063518831, 0.07408656548622822)","(0.6414031769232423, 0.31259806977194077, 0.045998753304816974)","(0.6595296916460792, 0.31618629334797327, 0.024284015005947478)","(0.6231027063421203, 0.35466401252909063, 0.022233281128789098)","(0.5973659454374413, 0.21115197126485932, 0.19148208329769947)","(0.6400868755817561, 0.3396680111697177, 0.02024511324852622)"
12,AZ_PHOENIX,9,273373.0,0.948564,"(0.2750123823675087, 0.09047383192999835, 0.10805679379230643, 0.16196136701337296, 0.0475482912332838, 0.017376589070496946, 0.07544989268614825, 0.07462440151890375, 0.14949645038798084)","(0.23283710779096553, 0.0, 0.22466218491923423, 0.14402036994624598, 0.06466649601896884, 0.0390154525981112, 0.0, 0.1359074191331995, 0.15889096959327467)","(0.24014579314174253, 0.0, 0.2671758985712557, 0.2014479650893766, 0.04879941341040627, 0.01980451759412841, 0.0, 0.10701700682693471, 0.11560940536615577)","(0.2070255706369783, 0.0, 0.263830003558538, 0.15988511006049513, 0.0536830867774897, 0.028976666158304104, 0.0, 0.1474861471201261, 0.13911341568806873)","(0.285481368501328, 0.0034712178189181373, 0.11544428958371683, 0.2742262076945328, 0.049964498908670156, 0.018407973282141638, 0.003366029400163042, 0.1503668446104084, 0.09927157020012096)","(0.1609857343311506, 0.09750643124415341, 0.11282448550046772, 0.19520287652011226, 0.0, 0.0, 0.16408442469597756, 0.0856232460243218, 0.18377280168381666)"
13,AZ_SCOTTSDALE,3,56554.0,0.951231,"(0.5327645670720639, 0.34670539117807225, 0.12053004174986386)","(0.3701909375890567, 0.4901681390709604, 0.1396409233399829)","(0.35407575493105253, 0.4941525571652994, 0.15177168790364812)","(0.36580882352941174, 0.4963235294117647, 0.13786764705882354)","(0.5185567010309279, 0.411340206185567, 0.07010309278350516)","(0.4227116362548609, 0.3741026024528866, 0.20318576129225246)"
14,AZ_TUCSON,5,117562.0,0.947242,"(0.23979523103866363, 0.13013606358615115, 0.07490233059409943, 0.40643944496834167, 0.14872692981274419)","(0.07586142020104285, 0.16942831801322367, 0.33024243401601894, 0.34146710208030967, 0.08300072568940493)","(0.07534530479081149, 0.18118974715533032, 0.2193905520865368, 0.43483667384241, 0.08923772212491142)","(0.05908555629512058, 0.2199836157902821, 0.24560954380216066, 0.3979400269656785, 0.07738125714675814)","(0.1324770298143634, 0.14625914119632477, 0.16088505531595726, 0.48992124507781737, 0.07045752859553722)","(0.5339137552554228, 0.0, 0.0, 0.43751162704170854, 0.028574617702868624)"
15,CA_ANAHEIM,2,63362.0,0.842407,"(0.38130081300813007, 0.6186991869918699)","(0.2710915335224727, 0.7289084664775273)","(0.27304112370959555, 0.7269588762904045)","(0.34005415337008027, 0.6599458466299197)","(0.17868836194066873, 0.8213116380593313)","(0.23193656160689127, 0.7680634383931088)"
16,CA_ANTIOCH,2,23557.0,0.99034,"(0.4951974386339381, 0.5048025613660619)","(0.34374884716124987, 0.6562511528387502)","(0.47320710578258646, 0.5267928942174136)","(0.5665987998285469, 0.43340120017145306)","(0.4776959722823733, 0.5223040277176266)","(0.4330382862829309, 0.566961713717069)"
17,CA_BAKERSFIELD,4,98770.0,0.933559,"(0.23298617346022626, 0.29978452145807144, 0.0867301131262345, 0.3804991919554678)","(0.2459949261234173, 0.17685748514246785, 0.23994620751215615, 0.3372013812219586)","(0.3141673001049698, 0.22816447677996163, 0.1608933289897564, 0.2967748941253122)","(0.2900498263626755, 0.2322059489657255, 0.14025366148271176, 0.3374905631888872)","(0.3570568763165814, 0.20470959975925368, 0.11442973216972616, 0.32380379175443874)","(0.288727777563534, 0.276310207859319, 0.21123365855539702, 0.22372835602175004)"
18,CA_DOWNEY,3,60917.0,0.880443,"(0.6257445400397088, 0.30195234943745863, 0.07230311052283256)","(0.5867563821632377, 0.2436565517348179, 0.16958706610194424)","(0.47078771158433197, 0.25870046268356467, 0.27051182573210336)","(0.5219386140702458, 0.2697500263685265, 0.20831135956122773)","(0.6996201519392243, 0.22550979608156738, 0.07487005197920832)","(0.6175113450024787, 0.37806505739236546, 0.004423597605155779)"
