,state,date,29037,29077,29095,29097,29099,29183,29189,29510,total_cnts
538,MO,2020-08-02,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,15.0
385,MO,2020-08-03,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,18.0
470,MO,2020-08-04,1.0,1.0,6.0,1.0,0.0,1.0,4.0,0.0,20.0
539,MO,2020-08-05,1.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,23.0
471,MO,2020-08-06,1.0,4.0,4.0,0.0,1.0,1.0,7.0,0.0,26.0
386,MO,2020-08-07,0.0,0.0,7.0,0.0,1.0,1.0,6.0,1.0,24.0
540,MO,2020-08-08,1.0,0.0,5.0,0.0,0.0,1.0,6.0,1.0,23.0
421,MO,2020-08-09,1.0,0.0,8.0,1.0,1.0,0.0,5.0,1.0,26.0
139,MO,2020-08-10,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,18.0
541,MO,2020-08-11,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,19.0
140,MO,2020-08-12,1.0,1.0,4.0,0.0,1.0,5.0,7.0,1.0,30.0
542,MO,2020-08-13,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,22.0
543,MO,2020-08-14,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,16.0
544,MO,2020-08-15,1.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,12.0
141,MO,2020-08-16,1.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,19.0
472,MO,2020-08-17,1.0,1.0,1.0,0.0,0.0,1.0,6.0,1.0,19.0
142,MO,2020-08-18,0.0,4.0,7.0,1.0,1.0,1.0,6.0,0.0,29.0
143,MO,2020-08-19,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0
649,MO,2020-08-20,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,22.0
422,MO,2020-08-21,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,15.0
144,MO,2020-08-22,0.0,1.0,5.0,0.0,1.0,0.0,6.0,1.0,23.0
607,MO,2020-08-23,0.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,17.0
423,MO,2020-08-24,1.0,1.0,4.0,0.0,1.0,4.0,7.0,4.0,31.0
284,MO,2020-08-25,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,24.0
424,MO,2020-08-26,1.0,1.0,9.0,1.0,1.0,0.0,4.0,0.0,27.0
387,MO,2020-08-27,0.0,1.0,4.0,0.0,1.0,1.0,5.0,0.0,22.0
91,MO,2020-08-28,0.0,1.0,11.0,0.0,4.0,1.0,7.0,0.0,33.0
425,MO,2020-08-29,0.0,1.0,1.0,1.0,4.0,0.0,9.0,1.0,24.0
545,MO,2020-08-30,1.0,1.0,1.0,0.0,1.0,5.0,7.0,0.0,22.0
388,MO,2020-08-31,1.0,1.0,6.0,1.0,1.0,8.0,9.0,0.0,38.0
250,MO,2020-09-01,1.0,0.0,4.0,0.0,4.0,1.0,8.0,1.0,28.0
285,MO,2020-09-02,0.0,1.0,7.0,0.0,1.0,1.0,8.0,0.0,27.0
426,MO,2020-09-03,0.0,0.0,8.0,0.0,1.0,1.0,4.0,0.0,26.0
377,MO,2020-09-04,1.0,1.0,9.0,1.0,4.0,1.0,1.0,0.0,29.0
427,MO,2020-09-05,1.0,4.0,5.0,0.0,1.0,1.0,9.0,0.0,29.0
546,MO,2020-09-06,1.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,22.0
514,MO,2020-09-07,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,15.0
608,MO,2020-09-08,0.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,16.0
547,MO,2020-09-09,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,20.0
428,MO,2020-09-10,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,18.0
92,MO,2020-09-11,1.0,5.0,7.0,1.0,1.0,4.0,7.0,1.0,40.0
145,MO,2020-09-12,0.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,20.0
548,MO,2020-09-13,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,14.0
93,MO,2020-09-14,1.0,1.0,7.0,1.0,4.0,1.0,6.0,1.0,39.0
146,MO,2020-09-15,0.0,5.0,6.0,1.0,4.0,4.0,8.0,0.0,38.0
429,MO,2020-09-16,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,27.0
94,MO,2020-09-17,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0
147,MO,2020-09-18,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,18.0
