,state,date,39003,39009,39017,39023,39025,39029,39035,39041,39043,39049,39055,39057,39061,39083,39085,39089,39093,39095,39099,39101,39103,39109,39113,39133,39139,39151,39153,39155,39157,39165,39167,39169,39173,total_cnts
546,OH,2020-08-20,0.0,0.0,1.0,1.0,4.0,1.0,24.0,0.0,1.0,12.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,7.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,102.0
203,OH,2020-08-21,1.0,0.0,5.0,1.0,0.0,1.0,32.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,93.0
204,OH,2020-08-22,1.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,52.0
205,OH,2020-08-23,1.0,0.0,1.0,0.0,0.0,1.0,18.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,59.0
2,OH,2020-08-24,1.0,0.0,1.0,4.0,4.0,1.0,21.0,1.0,1.0,6.0,1.0,0.0,6.0,0.0,5.0,1.0,4.0,8.0,5.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,97.0
206,OH,2020-08-25,1.0,0.0,1.0,1.0,0.0,4.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,56.0
207,OH,2020-08-26,1.0,0.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,14.0,6.0,1.0,1.0,0.0,1.0,0.0,82.0
208,OH,2020-08-27,1.0,0.0,1.0,1.0,1.0,0.0,25.0,0.0,0.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,8.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,79.0
644,OH,2020-08-28,0.0,0.0,4.0,1.0,0.0,1.0,19.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,81.0
3,OH,2020-08-29,1.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,1.0,11.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,55.0
