,state,date,23005,23019,23031,total_cnts
329,ME,2020-12-25,1.0,1.0,5.0,7.0
184,ME,2020-12-26,4.0,1.0,5.0,11.0
18,ME,2020-12-27,0.0,1.0,5.0,9.0
330,ME,2020-12-28,5.0,5.0,10.0,21.0
582,ME,2020-12-29,0.0,0.0,7.0,9.0
185,ME,2020-12-30,6.0,6.0,10.0,24.0
186,ME,2020-12-31,4.0,1.0,1.0,8.0
331,ME,2021-01-01,5.0,1.0,1.0,12.0
332,ME,2021-01-02,1.0,0.0,10.0,13.0
187,ME,2021-01-03,1.0,1.0,7.0,12.0
19,ME,2021-01-04,6.0,4.0,1.0,16.0
20,ME,2021-01-05,7.0,1.0,1.0,11.0
21,ME,2021-01-06,1.0,1.0,9.0,14.0
188,ME,2021-01-07,1.0,1.0,8.0,11.0
22,ME,2021-01-08,1.0,0.0,5.0,10.0
23,ME,2021-01-09,1.0,1.0,6.0,12.0
333,ME,2021-01-10,1.0,0.0,1.0,6.0
24,ME,2021-01-11,4.0,4.0,4.0,16.0
25,ME,2021-01-12,1.0,1.0,7.0,13.0
334,ME,2021-01-13,6.0,1.0,1.0,9.0
26,ME,2021-01-14,6.0,8.0,1.0,18.0
27,ME,2021-01-15,1.0,1.0,1.0,8.0
335,ME,2021-01-16,7.0,1.0,1.0,16.0
336,ME,2021-01-17,1.0,1.0,1.0,5.0
28,ME,2021-01-18,1.0,4.0,1.0,13.0
29,ME,2021-01-19,1.0,1.0,1.0,7.0
30,ME,2021-01-20,4.0,1.0,1.0,9.0
31,ME,2021-01-21,4.0,1.0,4.0,11.0
32,ME,2021-01-22,5.0,1.0,1.0,9.0
337,ME,2021-01-23,1.0,1.0,1.0,5.0
338,ME,2021-01-24,1.0,1.0,1.0,6.0
33,ME,2021-01-25,1.0,1.0,1.0,7.0
339,ME,2021-01-26,1.0,0.0,1.0,2.0
189,ME,2021-01-27,1.0,1.0,1.0,6.0
340,ME,2021-01-28,1.0,4.0,1.0,9.0
341,ME,2021-01-29,1.0,0.0,1.0,7.0
342,ME,2021-01-30,1.0,1.0,1.0,6.0
34,ME,2021-01-31,1.0,0.0,1.0,4.0
343,ME,2021-02-01,1.0,1.0,1.0,3.0
344,ME,2021-02-02,4.0,1.0,1.0,9.0
35,ME,2021-02-03,5.0,1.0,1.0,9.0
583,ME,2021-02-04,0.0,1.0,1.0,3.0
345,ME,2021-02-05,1.0,1.0,1.0,4.0
346,ME,2021-02-06,1.0,0.0,1.0,3.0
663,ME,2021-02-07,0.0,0.0,1.0,1.0
645,ME,2021-02-08,0.0,0.0,1.0,2.0
347,ME,2021-02-09,1.0,0.0,7.0,9.0
348,ME,2021-02-10,1.0,0.0,4.0,6.0
349,ME,2021-02-11,1.0,0.0,1.0,4.0
615,ME,2021-02-12,0.0,0.0,1.0,2.0
626,ME,2021-02-13,0.0,1.0,0.0,1.0
664,ME,2021-02-14,0.0,0.0,1.0,1.0
190,ME,2021-02-15,1.0,0.0,4.0,7.0
191,ME,2021-02-16,0.0,0.0,1.0,3.0
192,ME,2021-02-17,4.0,0.0,1.0,8.0
584,ME,2021-02-18,0.0,0.0,0.0,3.0
665,ME,2021-02-19,0.0,0.0,1.0,1.0
193,ME,2021-02-20,1.0,0.0,1.0,4.0
666,ME,2021-02-21,0.0,0.0,1.0,1.0
350,ME,2021-02-22,1.0,0.0,1.0,2.0
621,ME,2021-02-23,0.0,0.0,1.0,2.0
351,ME,2021-02-24,5.0,1.0,1.0,8.0
352,ME,2021-02-25,1.0,0.0,1.0,2.0
353,ME,2021-02-26,1.0,0.0,0.0,4.0
354,ME,2021-02-27,1.0,1.0,0.0,3.0
355,ME,2021-02-28,1.0,0.0,0.0,2.0
356,ME,2021-03-01,1.0,1.0,1.0,4.0
357,ME,2021-03-02,1.0,1.0,0.0,2.0
358,ME,2021-03-03,1.0,0.0,4.0,5.0
359,ME,2021-03-04,1.0,1.0,4.0,8.0
360,ME,2021-03-05,1.0,0.0,0.0,2.0
361,ME,2021-03-06,1.0,1.0,1.0,4.0
632,ME,2021-03-07,0.0,0.0,1.0,3.0
