,state,date,02020,02170,total_cnts
5,AK,2020-08-02,1.0,0.0,1.0
6,AK,2020-08-03,1.0,0.0,1.0
7,AK,2020-08-04,1.0,0.0,1.0
8,AK,2020-08-05,1.0,0.0,1.0
9,AK,2020-08-06,1.0,0.0,2.0
10,AK,2020-08-07,4.0,0.0,5.0
11,AK,2020-08-08,1.0,0.0,1.0
12,AK,2020-08-09,1.0,0.0,2.0
13,AK,2020-08-10,1.0,0.0,2.0
566,AK,2020-08-11,0.0,0.0,1.0
14,AK,2020-08-12,1.0,0.0,1.0
15,AK,2020-08-13,1.0,0.0,1.0
16,AK,2020-08-14,1.0,0.0,1.0
17,AK,2020-08-16,4.0,1.0,5.0
18,AK,2020-08-17,1.0,0.0,2.0
19,AK,2020-08-18,1.0,0.0,2.0
20,AK,2020-08-19,1.0,0.0,2.0
21,AK,2020-08-20,1.0,0.0,1.0
22,AK,2020-08-21,1.0,1.0,2.0
23,AK,2020-08-22,1.0,1.0,2.0
24,AK,2020-08-23,1.0,1.0,2.0
25,AK,2020-08-24,1.0,0.0,1.0
26,AK,2020-08-25,1.0,1.0,2.0
27,AK,2020-08-26,1.0,0.0,1.0
28,AK,2020-08-27,1.0,0.0,1.0
29,AK,2020-08-29,1.0,0.0,1.0
30,AK,2020-08-30,1.0,1.0,2.0
31,AK,2020-08-31,1.0,0.0,2.0
32,AK,2020-09-02,1.0,0.0,3.0
33,AK,2020-09-04,1.0,0.0,1.0
34,AK,2020-09-05,1.0,0.0,1.0
35,AK,2020-09-06,1.0,1.0,3.0
36,AK,2020-09-07,1.0,0.0,1.0
37,AK,2020-09-08,1.0,0.0,1.0
38,AK,2020-09-09,4.0,0.0,5.0
567,AK,2020-09-10,0.0,1.0,1.0
39,AK,2020-09-11,1.0,0.0,1.0
40,AK,2020-09-12,1.0,0.0,3.0
41,AK,2020-09-13,1.0,1.0,2.0
596,AK,2020-09-15,0.0,0.0,1.0
42,AK,2020-09-17,4.0,0.0,4.0
43,AK,2020-09-18,1.0,0.0,1.0
44,AK,2020-09-19,1.0,0.0,2.0
45,AK,2020-09-21,1.0,0.0,1.0
46,AK,2020-09-22,1.0,0.0,1.0
591,AK,2020-09-23,0.0,0.0,1.0
47,AK,2020-09-24,1.0,0.0,1.0
530,AK,2020-09-25,0.0,0.0,1.0
48,AK,2020-09-26,1.0,0.0,1.0
49,AK,2020-09-27,1.0,0.0,2.0
597,AK,2020-09-28,0.0,0.0,1.0
531,AK,2020-09-29,0.0,0.0,1.0
50,AK,2020-09-30,1.0,0.0,1.0
51,AK,2020-10-01,1.0,0.0,2.0
52,AK,2020-10-02,1.0,0.0,1.0
53,AK,2020-10-03,1.0,1.0,3.0
54,AK,2020-10-04,1.0,0.0,2.0
55,AK,2020-10-05,1.0,0.0,1.0
56,AK,2020-10-06,1.0,1.0,2.0
57,AK,2020-10-07,1.0,1.0,2.0
58,AK,2020-10-08,1.0,1.0,2.0
59,AK,2020-10-09,1.0,0.0,3.0
60,AK,2020-10-10,7.0,0.0,7.0
61,AK,2020-10-11,1.0,0.0,1.0
62,AK,2020-10-12,6.0,1.0,8.0
63,AK,2020-10-13,1.0,0.0,4.0
64,AK,2020-10-14,1.0,0.0,1.0
65,AK,2020-10-15,1.0,0.0,2.0
66,AK,2020-10-16,4.0,0.0,4.0
67,AK,2020-10-17,1.0,0.0,1.0
68,AK,2020-10-18,1.0,0.0,2.0
69,AK,2020-10-19,1.0,1.0,3.0
70,AK,2020-10-20,8.0,0.0,9.0
71,AK,2020-10-21,4.0,1.0,5.0
520,AK,2020-10-22,0.0,0.0,2.0
72,AK,2020-10-23,4.0,1.0,5.0
73,AK,2020-10-24,1.0,1.0,2.0
74,AK,2020-10-25,4.0,1.0,8.0
75,AK,2020-10-26,11.0,1.0,15.0
76,AK,2020-10-27,1.0,0.0,1.0
77,AK,2020-10-28,1.0,1.0,5.0
78,AK,2020-10-29,4.0,1.0,5.0
79,AK,2020-10-30,5.0,1.0,8.0
80,AK,2020-10-31,1.0,1.0,2.0
81,AK,2020-11-01,4.0,1.0,5.0
82,AK,2020-11-02,6.0,4.0,12.0
83,AK,2020-11-03,1.0,1.0,4.0
84,AK,2020-11-04,8.0,1.0,12.0
85,AK,2020-11-05,1.0,1.0,3.0
86,AK,2020-11-06,5.0,5.0,11.0
87,AK,2020-11-07,1.0,0.0,1.0
88,AK,2020-11-08,4.0,4.0,9.0
89,AK,2020-11-09,12.0,1.0,14.0
90,AK,2020-11-10,7.0,4.0,11.0
91,AK,2020-11-11,4.0,1.0,10.0
92,AK,2020-11-12,6.0,1.0,9.0
93,AK,2020-11-13,6.0,1.0,13.0
94,AK,2020-11-14,1.0,1.0,4.0
95,AK,2020-11-15,8.0,1.0,11.0
96,AK,2020-11-16,4.0,1.0,6.0
97,AK,2020-11-17,5.0,1.0,8.0
98,AK,2020-11-18,5.0,0.0,5.0
99,AK,2020-11-19,6.0,1.0,9.0
100,AK,2020-11-20,6.0,6.0,18.0
101,AK,2020-11-21,9.0,1.0,12.0
102,AK,2020-11-22,5.0,1.0,8.0
103,AK,2020-11-23,10.0,1.0,12.0
104,AK,2020-11-24,12.0,1.0,14.0
105,AK,2020-11-25,14.0,6.0,25.0
106,AK,2020-11-26,5.0,1.0,7.0
107,AK,2020-11-27,5.0,4.0,10.0
108,AK,2020-11-28,1.0,6.0,8.0
109,AK,2020-11-29,7.0,1.0,8.0
110,AK,2020-11-30,15.0,1.0,18.0
111,AK,2020-12-01,6.0,4.0,12.0
112,AK,2020-12-02,5.0,1.0,11.0
113,AK,2020-12-03,12.0,7.0,23.0
114,AK,2020-12-04,6.0,0.0,8.0
115,AK,2020-12-05,5.0,5.0,11.0
116,AK,2020-12-06,10.0,0.0,12.0
117,AK,2020-12-07,5.0,1.0,8.0
118,AK,2020-12-08,1.0,1.0,3.0
119,AK,2020-12-09,5.0,1.0,7.0
120,AK,2020-12-10,5.0,1.0,9.0
121,AK,2020-12-11,6.0,1.0,8.0
122,AK,2020-12-12,5.0,1.0,7.0
123,AK,2020-12-13,5.0,1.0,8.0
124,AK,2020-12-14,4.0,0.0,4.0
125,AK,2020-12-15,7.0,0.0,8.0
126,AK,2020-12-16,6.0,1.0,9.0
