,state,date,30013,30111,total_cnts
688,MT,2020-08-02,0.0,1.0,1.0
13,MT,2020-08-03,0.0,1.0,4.0
170,MT,2020-08-04,1.0,1.0,2.0
666,MT,2020-08-05,0.0,1.0,2.0
14,MT,2020-08-06,0.0,1.0,3.0
15,MT,2020-08-07,1.0,0.0,4.0
689,MT,2020-08-08,0.0,1.0,1.0
171,MT,2020-08-09,1.0,1.0,3.0
172,MT,2020-08-10,1.0,0.0,2.0
655,MT,2020-08-11,0.0,1.0,3.0
16,MT,2020-08-12,1.0,1.0,5.0
173,MT,2020-08-13,1.0,1.0,4.0
174,MT,2020-08-14,1.0,0.0,2.0
645,MT,2020-08-15,0.0,1.0,2.0
17,MT,2020-08-16,1.0,0.0,4.0
656,MT,2020-08-17,0.0,1.0,3.0
175,MT,2020-08-18,1.0,0.0,2.0
18,MT,2020-08-19,1.0,1.0,3.0
684,MT,2020-08-20,0.0,0.0,1.0
176,MT,2020-08-21,1.0,0.0,1.0
177,MT,2020-08-22,1.0,0.0,2.0
646,MT,2020-08-23,0.0,0.0,1.0
690,MT,2020-08-24,0.0,1.0,1.0
647,MT,2020-08-25,0.0,0.0,1.0
178,MT,2020-08-26,1.0,0.0,2.0
661,MT,2020-08-27,0.0,0.0,3.0
676,MT,2020-08-28,0.0,0.0,1.0
691,MT,2020-08-29,0.0,1.0,1.0
671,MT,2020-08-30,0.0,0.0,2.0
678,MT,2020-08-31,0.0,1.0,4.0
179,MT,2020-09-01,1.0,1.0,2.0
180,MT,2020-09-02,1.0,1.0,3.0
662,MT,2020-09-03,0.0,1.0,3.0
181,MT,2020-09-04,1.0,1.0,4.0
182,MT,2020-09-05,1.0,0.0,3.0
183,MT,2020-09-06,1.0,0.0,1.0
184,MT,2020-09-07,1.0,0.0,2.0
185,MT,2020-09-08,1.0,0.0,3.0
186,MT,2020-09-09,1.0,0.0,7.0
187,MT,2020-09-10,1.0,1.0,5.0
188,MT,2020-09-11,1.0,1.0,6.0
189,MT,2020-09-12,1.0,0.0,5.0
190,MT,2020-09-13,1.0,1.0,3.0
191,MT,2020-09-14,1.0,0.0,3.0
192,MT,2020-09-15,1.0,1.0,7.0
193,MT,2020-09-16,1.0,1.0,5.0
194,MT,2020-09-17,1.0,1.0,2.0
195,MT,2020-09-18,1.0,1.0,3.0
196,MT,2020-09-19,1.0,1.0,4.0
197,MT,2020-09-20,1.0,1.0,3.0
19,MT,2020-09-21,1.0,1.0,5.0
198,MT,2020-09-22,1.0,1.0,4.0
199,MT,2020-09-23,1.0,1.0,6.0
20,MT,2020-09-24,4.0,1.0,13.0
200,MT,2020-09-25,7.0,1.0,14.0
201,MT,2020-09-26,4.0,4.0,16.0
202,MT,2020-09-27,5.0,0.0,9.0
203,MT,2020-09-28,1.0,1.0,11.0
21,MT,2020-09-29,4.0,1.0,20.0
204,MT,2020-09-30,6.0,0.0,11.0
22,MT,2020-10-01,10.0,0.0,24.0
23,MT,2020-10-02,4.0,0.0,18.0
205,MT,2020-10-03,9.0,1.0,21.0
206,MT,2020-10-04,9.0,1.0,21.0
207,MT,2020-10-05,6.0,1.0,19.0
24,MT,2020-10-06,12.0,1.0,28.0
78,MT,2020-10-07,7.0,0.0,19.0
25,MT,2020-10-08,9.0,0.0,21.0
79,MT,2020-10-09,4.0,1.0,16.0
208,MT,2020-10-10,7.0,1.0,12.0
26,MT,2020-10-11,6.0,1.0,16.0
209,MT,2020-10-12,8.0,1.0,18.0
210,MT,2020-10-13,10.0,1.0,22.0
211,MT,2020-10-14,10.0,1.0,35.0
27,MT,2020-10-15,22.0,0.0,45.0
28,MT,2020-10-16,13.0,1.0,34.0
0,MT,2020-10-17,12.0,0.0,22.0
29,MT,2020-10-18,14.0,1.0,26.0
80,MT,2020-10-19,18.0,1.0,39.0
81,MT,2020-10-20,16.0,1.0,27.0
30,MT,2020-10-21,8.0,1.0,22.0
31,MT,2020-10-22,12.0,0.0,27.0
82,MT,2020-10-23,15.0,1.0,26.0
83,MT,2020-10-24,10.0,1.0,21.0
84,MT,2020-10-25,15.0,1.0,27.0
85,MT,2020-10-26,17.0,1.0,32.0
212,MT,2020-10-27,17.0,1.0,27.0
86,MT,2020-10-28,4.0,1.0,8.0
87,MT,2020-10-29,12.0,0.0,23.0
213,MT,2020-10-30,9.0,1.0,12.0
88,MT,2020-10-31,12.0,1.0,20.0
89,MT,2020-11-01,13.0,1.0,20.0
90,MT,2020-11-02,17.0,1.0,26.0
214,MT,2020-11-03,21.0,1.0,28.0
215,MT,2020-11-04,22.0,1.0,28.0
91,MT,2020-11-05,28.0,1.0,40.0
216,MT,2020-11-06,27.0,5.0,42.0
32,MT,2020-11-07,26.0,1.0,39.0
217,MT,2020-11-08,28.0,1.0,35.0
218,MT,2020-11-09,24.0,1.0,40.0
144,MT,2020-11-10,30.0,6.0,56.0
92,MT,2020-11-11,26.0,4.0,42.0
93,MT,2020-11-12,21.0,5.0,46.0
94,MT,2020-11-13,23.0,1.0,39.0
219,MT,2020-11-14,23.0,1.0,33.0
220,MT,2020-11-15,22.0,4.0,34.0
33,MT,2020-11-16,29.0,1.0,41.0
95,MT,2020-11-17,26.0,5.0,42.0
221,MT,2020-11-18,21.0,5.0,32.0
34,MT,2020-11-19,19.0,1.0,35.0
222,MT,2020-11-20,15.0,1.0,29.0
35,MT,2020-11-21,13.0,1.0,22.0
223,MT,2020-11-22,13.0,1.0,23.0
224,MT,2020-11-23,17.0,5.0,33.0
225,MT,2020-11-24,23.0,1.0,31.0
226,MT,2020-11-25,23.0,1.0,33.0
36,MT,2020-11-26,26.0,0.0,39.0
227,MT,2020-11-27,24.0,1.0,36.0
228,MT,2020-11-28,13.0,1.0,20.0
145,MT,2020-11-29,18.0,1.0,28.0
229,MT,2020-11-30,17.0,6.0,32.0
37,MT,2020-12-01,16.0,1.0,24.0
146,MT,2020-12-02,17.0,1.0,28.0
38,MT,2020-12-03,14.0,1.0,25.0
147,MT,2020-12-04,13.0,1.0,20.0
39,MT,2020-12-05,10.0,1.0,19.0
40,MT,2020-12-06,12.0,1.0,22.0
148,MT,2020-12-07,13.0,1.0,19.0
230,MT,2020-12-08,12.0,1.0,22.0
231,MT,2020-12-09,21.0,1.0,28.0
41,MT,2020-12-10,12.0,1.0,22.0
42,MT,2020-12-11,12.0,1.0,22.0
232,MT,2020-12-12,14.0,1.0,23.0
233,MT,2020-12-13,10.0,0.0,16.0
234,MT,2020-12-14,14.0,1.0,19.0
235,MT,2020-12-15,8.0,4.0,16.0
43,MT,2020-12-16,14.0,1.0,22.0
96,MT,2020-12-17,9.0,1.0,15.0
236,MT,2020-12-18,12.0,1.0,21.0
237,MT,2020-12-19,8.0,0.0,14.0
238,MT,2020-12-20,11.0,1.0,19.0
239,MT,2020-12-21,10.0,1.0,17.0
240,MT,2020-12-22,14.0,0.0,21.0
44,MT,2020-12-23,6.0,0.0,11.0
241,MT,2020-12-24,7.0,5.0,17.0
242,MT,2020-12-25,7.0,1.0,10.0
243,MT,2020-12-26,10.0,0.0,14.0
244,MT,2020-12-27,11.0,0.0,14.0
245,MT,2020-12-28,15.0,0.0,23.0
246,MT,2020-12-29,17.0,0.0,23.0
247,MT,2020-12-30,9.0,1.0,14.0
248,MT,2020-12-31,12.0,0.0,15.0
45,MT,2021-01-01,11.0,5.0,20.0
249,MT,2021-01-02,8.0,1.0,12.0
250,MT,2021-01-03,9.0,1.0,15.0
251,MT,2021-01-04,11.0,0.0,16.0
252,MT,2021-01-05,6.0,5.0,15.0
253,MT,2021-01-06,1.0,0.0,2.0
254,MT,2021-01-07,4.0,1.0,9.0
255,MT,2021-01-08,4.0,1.0,12.0
149,MT,2021-01-09,0.0,1.0,8.0
256,MT,2021-01-10,1.0,1.0,12.0
46,MT,2021-01-11,1.0,1.0,11.0
257,MT,2021-01-12,7.0,0.0,13.0
258,MT,2021-01-13,5.0,1.0,14.0
47,MT,2021-01-14,5.0,0.0,12.0
259,MT,2021-01-15,8.0,0.0,17.0
48,MT,2021-01-16,5.0,0.0,11.0
260,MT,2021-01-17,5.0,0.0,11.0
49,MT,2021-01-18,5.0,0.0,13.0
150,MT,2021-01-19,1.0,0.0,15.0
50,MT,2021-01-20,7.0,0.0,14.0
261,MT,2021-01-21,1.0,0.0,6.0
51,MT,2021-01-22,6.0,1.0,16.0
262,MT,2021-01-23,1.0,0.0,4.0
263,MT,2021-01-24,4.0,1.0,7.0
264,MT,2021-01-25,1.0,1.0,7.0
265,MT,2021-01-26,5.0,0.0,8.0
52,MT,2021-01-27,5.0,1.0,10.0
266,MT,2021-01-28,1.0,0.0,3.0
267,MT,2021-01-29,1.0,0.0,5.0
268,MT,2021-01-30,1.0,0.0,3.0
269,MT,2021-01-31,1.0,0.0,6.0
270,MT,2021-02-01,1.0,1.0,6.0
271,MT,2021-02-02,1.0,1.0,4.0
53,MT,2021-02-03,1.0,1.0,7.0
640,MT,2021-02-04,0.0,1.0,4.0
637,MT,2021-02-05,0.0,0.0,2.0
692,MT,2021-02-06,0.0,1.0,1.0
272,MT,2021-02-07,1.0,0.0,2.0
133,MT,2021-02-08,1.0,1.0,6.0
273,MT,2021-02-09,1.0,1.0,4.0
274,MT,2021-02-10,1.0,0.0,3.0
151,MT,2021-02-11,1.0,0.0,3.0
643,MT,2021-02-12,0.0,0.0,3.0
275,MT,2021-02-13,1.0,0.0,4.0
276,MT,2021-02-14,1.0,0.0,4.0
277,MT,2021-02-15,4.0,0.0,9.0
152,MT,2021-02-16,6.0,0.0,10.0
278,MT,2021-02-17,4.0,0.0,9.0
279,MT,2021-02-18,1.0,0.0,3.0
280,MT,2021-02-19,1.0,0.0,5.0
281,MT,2021-02-20,1.0,0.0,2.0
282,MT,2021-02-21,5.0,0.0,6.0
283,MT,2021-02-22,1.0,0.0,2.0
284,MT,2021-02-23,4.0,0.0,6.0
285,MT,2021-02-24,4.0,1.0,8.0
286,MT,2021-02-25,1.0,1.0,4.0
287,MT,2021-02-26,1.0,0.0,3.0
288,MT,2021-02-27,1.0,0.0,2.0
289,MT,2021-02-28,1.0,1.0,3.0
648,MT,2021-03-01,0.0,1.0,6.0
290,MT,2021-03-02,1.0,1.0,4.0
685,MT,2021-03-03,0.0,1.0,2.0
686,MT,2021-03-04,0.0,0.0,1.0
