,state,date,54039,54081,total_cnts
693,WV,2020-08-02,0.0,0.0,1.0
226,WV,2020-08-03,0.0,0.0,3.0
592,WV,2020-08-04,1.0,0.0,5.0
450,WV,2020-08-05,0.0,0.0,3.0
451,WV,2020-08-06,0.0,0.0,3.0
640,WV,2020-08-07,0.0,0.0,5.0
648,WV,2020-08-08,0.0,0.0,1.0
649,WV,2020-08-09,0.0,0.0,3.0
704,WV,2020-08-10,0.0,0.0,1.0
561,WV,2020-08-11,1.0,0.0,4.0
452,WV,2020-08-12,0.0,1.0,2.0
641,WV,2020-08-13,0.0,0.0,1.0
356,WV,2020-08-14,1.0,1.0,4.0
453,WV,2020-08-15,0.0,0.0,3.0
709,WV,2020-08-16,0.0,1.0,1.0
454,WV,2020-08-17,0.0,0.0,4.0
683,WV,2020-08-18,0.0,0.0,1.0
593,WV,2020-08-19,1.0,0.0,4.0
357,WV,2020-08-20,0.0,0.0,2.0
455,WV,2020-08-21,0.0,0.0,3.0
650,WV,2020-08-22,0.0,0.0,1.0
686,WV,2020-08-23,0.0,0.0,1.0
358,WV,2020-08-24,1.0,0.0,4.0
594,WV,2020-08-25,1.0,0.0,1.0
571,WV,2020-08-26,1.0,1.0,6.0
61,WV,2020-08-27,1.0,0.0,3.0
595,WV,2020-08-28,1.0,0.0,4.0
596,WV,2020-08-29,1.0,0.0,4.0
509,WV,2020-08-30,0.0,0.0,3.0
439,WV,2020-08-31,0.0,0.0,4.0
227,WV,2020-09-01,0.0,0.0,4.0
687,WV,2020-09-02,0.0,0.0,1.0
651,WV,2020-09-04,0.0,0.0,1.0
597,WV,2020-09-05,1.0,0.0,8.0
652,WV,2020-09-06,0.0,0.0,1.0
642,WV,2020-09-07,0.0,0.0,2.0
359,WV,2020-09-08,0.0,0.0,4.0
653,WV,2020-09-09,0.0,1.0,3.0
62,WV,2020-09-10,4.0,0.0,6.0
456,WV,2020-09-11,0.0,1.0,5.0
643,WV,2020-09-12,0.0,0.0,7.0
598,WV,2020-09-13,1.0,0.0,4.0
228,WV,2020-09-14,1.0,0.0,6.0
