,state,date,49011,49035,49049,49053,49057,total_cnts
562,UT,2020-08-02,0.0,1.0,1.0,0.0,0.0,2.0
362,UT,2020-08-03,1.0,5.0,1.0,0.0,0.0,8.0
363,UT,2020-08-04,1.0,1.0,1.0,0.0,0.0,3.0
563,UT,2020-08-05,0.0,4.0,0.0,0.0,1.0,5.0
364,UT,2020-08-06,1.0,1.0,0.0,1.0,0.0,3.0
365,UT,2020-08-07,1.0,1.0,0.0,0.0,0.0,3.0
564,UT,2020-08-08,0.0,1.0,1.0,0.0,1.0,3.0
366,UT,2020-08-09,1.0,1.0,1.0,0.0,0.0,3.0
565,UT,2020-08-10,0.0,1.0,0.0,0.0,1.0,3.0
367,UT,2020-08-11,1.0,4.0,1.0,0.0,1.0,7.0
368,UT,2020-08-12,1.0,5.0,0.0,0.0,1.0,7.0
566,UT,2020-08-13,0.0,1.0,1.0,0.0,1.0,3.0
369,UT,2020-08-14,1.0,1.0,1.0,0.0,1.0,5.0
567,UT,2020-08-15,0.0,1.0,1.0,0.0,0.0,2.0
568,UT,2020-08-16,0.0,1.0,0.0,0.0,1.0,2.0
569,UT,2020-08-17,0.0,5.0,1.0,0.0,1.0,7.0
370,UT,2020-08-18,1.0,4.0,0.0,0.0,1.0,6.0
371,UT,2020-08-19,1.0,1.0,1.0,1.0,1.0,5.0
547,UT,2020-08-20,0.0,1.0,1.0,0.0,1.0,4.0
372,UT,2020-08-21,1.0,4.0,0.0,0.0,1.0,6.0
570,UT,2020-08-22,0.0,1.0,1.0,0.0,1.0,3.0
571,UT,2020-08-24,0.0,1.0,1.0,0.0,1.0,3.0
572,UT,2020-08-25,0.0,1.0,1.0,0.0,1.0,3.0
573,UT,2020-08-26,0.0,4.0,1.0,0.0,1.0,6.0
574,UT,2020-08-27,0.0,1.0,4.0,0.0,1.0,6.0
575,UT,2020-08-28,0.0,1.0,1.0,0.0,0.0,2.0
373,UT,2020-08-31,1.0,1.0,1.0,0.0,1.0,5.0
374,UT,2020-09-01,1.0,1.0,1.0,0.0,0.0,3.0
576,UT,2020-09-02,0.0,4.0,1.0,0.0,0.0,5.0
187,UT,2020-09-03,0.0,1.0,1.0,0.0,0.0,3.0
577,UT,2020-09-04,0.0,4.0,1.0,1.0,1.0,7.0
578,UT,2020-09-05,0.0,1.0,0.0,0.0,0.0,1.0
