,state,date,08001,08005,08031,08035,08041,08059,08077,total_cnts
0,CO,2020-08-02,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0
692,CO,2020-08-03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
1,CO,2020-08-04,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0
2,CO,2020-08-05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
3,CO,2020-08-06,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0
4,CO,2020-08-07,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
5,CO,2020-08-08,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0
6,CO,2020-08-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
571,CO,2020-08-10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
572,CO,2020-08-11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0
7,CO,2020-08-12,4.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0
573,CO,2020-08-13,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
8,CO,2020-08-14,1.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0
720,CO,2020-08-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,CO,2020-08-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
10,CO,2020-08-18,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0
11,CO,2020-08-19,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0
574,CO,2020-08-20,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0
12,CO,2020-08-21,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0
673,CO,2020-08-22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
13,CO,2020-08-23,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
575,CO,2020-08-24,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0
14,CO,2020-08-25,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0
15,CO,2020-08-26,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
576,CO,2020-08-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
16,CO,2020-08-28,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0
17,CO,2020-08-29,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
18,CO,2020-08-30,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
19,CO,2020-08-31,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0
20,CO,2020-09-01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
21,CO,2020-09-02,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0
22,CO,2020-09-03,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0
23,CO,2020-09-04,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
24,CO,2020-09-05,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
577,CO,2020-09-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
578,CO,2020-09-07,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0
25,CO,2020-09-08,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
26,CO,2020-09-09,6.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0
27,CO,2020-09-10,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0
28,CO,2020-09-11,1.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0
29,CO,2020-09-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
30,CO,2020-09-13,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0
31,CO,2020-09-14,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
579,CO,2020-09-15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
580,CO,2020-09-16,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0
32,CO,2020-09-17,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0
581,CO,2020-09-18,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0
33,CO,2020-09-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
34,CO,2020-09-20,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
35,CO,2020-09-21,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0
36,CO,2020-09-22,4.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0
