,state,date,44003,44007,total_cnts
345,RI,2020-08-02,0.0,1.0,1.0
346,RI,2020-08-03,0.0,1.0,1.0
347,RI,2020-08-06,0.0,1.0,2.0
348,RI,2020-08-08,0.0,1.0,1.0
349,RI,2020-08-09,0.0,1.0,1.0
41,RI,2020-08-10,1.0,1.0,2.0
42,RI,2020-08-12,1.0,1.0,2.0
350,RI,2020-08-14,0.0,1.0,1.0
351,RI,2020-08-15,0.0,1.0,1.0
352,RI,2020-08-17,0.0,1.0,2.0
43,RI,2020-08-18,1.0,1.0,2.0
353,RI,2020-08-19,0.0,1.0,1.0
354,RI,2020-08-20,0.0,1.0,2.0
355,RI,2020-08-24,0.0,1.0,1.0
532,RI,2020-08-29,0.0,0.0,1.0
44,RI,2020-08-31,1.0,0.0,2.0
356,RI,2020-09-01,0.0,1.0,1.0
357,RI,2020-09-02,0.0,1.0,1.0
358,RI,2020-09-03,0.0,1.0,1.0
45,RI,2020-09-07,1.0,0.0,1.0
359,RI,2020-09-08,0.0,1.0,1.0
360,RI,2020-09-10,0.0,1.0,1.0
46,RI,2020-09-13,1.0,0.0,1.0
361,RI,2020-09-14,0.0,1.0,1.0
47,RI,2020-09-17,1.0,1.0,3.0
362,RI,2020-09-18,0.0,1.0,1.0
48,RI,2020-09-19,1.0,0.0,1.0
49,RI,2020-09-20,1.0,0.0,1.0
50,RI,2020-09-21,1.0,0.0,2.0
51,RI,2020-09-22,1.0,0.0,2.0
52,RI,2020-09-24,1.0,0.0,1.0
53,RI,2020-09-25,1.0,1.0,3.0
54,RI,2020-09-26,1.0,1.0,2.0
363,RI,2020-09-28,0.0,1.0,1.0
55,RI,2020-09-30,1.0,0.0,2.0
56,RI,2020-10-01,1.0,1.0,2.0
57,RI,2020-10-03,1.0,0.0,1.0
58,RI,2020-10-04,1.0,0.0,2.0
364,RI,2020-10-05,0.0,1.0,2.0
59,RI,2020-10-06,1.0,1.0,3.0
60,RI,2020-10-07,1.0,1.0,2.0
61,RI,2020-10-08,1.0,1.0,2.0
62,RI,2020-10-09,1.0,16.0,18.0
63,RI,2020-10-10,1.0,1.0,2.0
64,RI,2020-10-11,1.0,0.0,1.0
65,RI,2020-10-12,1.0,0.0,1.0
0,RI,2020-10-13,0.0,8.0,9.0
66,RI,2020-10-14,1.0,4.0,5.0
315,RI,2020-10-15,0.0,1.0,2.0
365,RI,2020-10-16,0.0,4.0,4.0
366,RI,2020-10-17,0.0,1.0,2.0
67,RI,2020-10-18,1.0,1.0,2.0
1,RI,2020-10-19,0.0,1.0,2.0
68,RI,2020-10-20,1.0,1.0,3.0
69,RI,2020-10-21,1.0,1.0,2.0
70,RI,2020-10-22,1.0,0.0,1.0
316,RI,2020-10-23,0.0,1.0,2.0
367,RI,2020-10-24,0.0,1.0,2.0
71,RI,2020-10-25,1.0,0.0,1.0
368,RI,2020-10-26,0.0,1.0,1.0
72,RI,2020-10-27,1.0,1.0,2.0
369,RI,2020-10-28,0.0,1.0,1.0
73,RI,2020-10-30,1.0,4.0,7.0
74,RI,2020-10-31,1.0,0.0,1.0
75,RI,2020-11-01,1.0,1.0,3.0
76,RI,2020-11-02,1.0,4.0,6.0
77,RI,2020-11-03,1.0,0.0,2.0
78,RI,2020-11-04,1.0,1.0,2.0
79,RI,2020-11-05,1.0,4.0,5.0
80,RI,2020-11-06,1.0,1.0,2.0
81,RI,2020-11-07,1.0,4.0,6.0
82,RI,2020-11-08,1.0,1.0,2.0
83,RI,2020-11-09,1.0,0.0,2.0
370,RI,2020-11-10,0.0,1.0,2.0
2,RI,2020-11-11,1.0,1.0,4.0
3,RI,2020-11-12,1.0,1.0,4.0
