,state,date,35001,35013,total_cnts
0,NM,2020-08-02,1.0,0.0,3.0
1,NM,2020-08-03,1.0,1.0,4.0
2,NM,2020-08-04,1.0,1.0,6.0
3,NM,2020-08-05,1.0,4.0,7.0
4,NM,2020-08-06,1.0,1.0,5.0
5,NM,2020-08-07,1.0,1.0,2.0
6,NM,2020-08-08,1.0,0.0,2.0
7,NM,2020-08-09,1.0,1.0,3.0
8,NM,2020-08-10,1.0,1.0,5.0
9,NM,2020-08-11,1.0,1.0,7.0
10,NM,2020-08-12,1.0,0.0,5.0
11,NM,2020-08-13,1.0,1.0,5.0
12,NM,2020-08-14,1.0,0.0,4.0
13,NM,2020-08-15,1.0,1.0,5.0
14,NM,2020-08-16,1.0,0.0,1.0
15,NM,2020-08-17,1.0,0.0,2.0
16,NM,2020-08-18,1.0,1.0,6.0
17,NM,2020-08-19,4.0,1.0,8.0
18,NM,2020-08-20,1.0,0.0,4.0
19,NM,2020-08-21,1.0,0.0,5.0
20,NM,2020-08-22,1.0,0.0,3.0
696,NM,2020-08-23,0.0,0.0,1.0
21,NM,2020-08-24,1.0,0.0,4.0
697,NM,2020-08-25,0.0,0.0,2.0
616,NM,2020-08-26,0.0,0.0,3.0
22,NM,2020-08-27,1.0,0.0,5.0
23,NM,2020-08-28,1.0,1.0,3.0
653,NM,2020-08-29,0.0,1.0,2.0
617,NM,2020-08-30,0.0,1.0,4.0
698,NM,2020-08-31,0.0,0.0,1.0
687,NM,2020-09-01,0.0,0.0,3.0
24,NM,2020-09-02,1.0,0.0,4.0
25,NM,2020-09-03,1.0,1.0,4.0
26,NM,2020-09-04,1.0,0.0,2.0
27,NM,2020-09-05,1.0,1.0,4.0
692,NM,2020-09-06,0.0,0.0,2.0
596,NM,2020-09-07,0.0,1.0,5.0
28,NM,2020-09-08,1.0,1.0,5.0
29,NM,2020-09-09,1.0,0.0,3.0
618,NM,2020-09-10,0.0,0.0,1.0
30,NM,2020-09-11,1.0,0.0,3.0
710,NM,2020-09-12,0.0,0.0,2.0
31,NM,2020-09-13,1.0,0.0,3.0
32,NM,2020-09-14,1.0,0.0,5.0
33,NM,2020-09-15,1.0,1.0,6.0
34,NM,2020-09-16,1.0,1.0,4.0
35,NM,2020-09-17,1.0,1.0,2.0
