,state,date,51041,51059,51087,51107,51153,51161,51590,51760,51770,51775,total_cnts
0,VA,2020-08-02,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0
536,VA,2020-08-03,0.0,4.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,28.0
480,VA,2020-08-04,1.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,22.0
1,VA,2020-08-05,1.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0
570,VA,2020-08-06,1.0,6.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,45.0
283,VA,2020-08-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0
637,VA,2020-08-08,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
670,VA,2020-08-09,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0
2,VA,2020-08-10,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,34.0
354,VA,2020-08-11,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,31.0
3,VA,2020-08-12,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,37.0
355,VA,2020-08-13,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0
127,VA,2020-08-14,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.0
669,VA,2020-08-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
356,VA,2020-08-16,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,19.0
357,VA,2020-08-17,1.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,33.0
644,VA,2020-08-18,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0
358,VA,2020-08-19,1.0,8.0,1.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,39.0
645,VA,2020-08-20,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,24.0
284,VA,2020-08-21,1.0,4.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,32.0
646,VA,2020-08-22,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0
359,VA,2020-08-23,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0
481,VA,2020-08-24,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,25.0
620,VA,2020-08-25,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0
571,VA,2020-08-26,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,26.0
360,VA,2020-08-27,1.0,4.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,26.0
572,VA,2020-08-28,1.0,1.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,0.0,29.0
339,VA,2020-08-29,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,25.0
573,VA,2020-08-30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0
361,VA,2020-08-31,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,22.0
574,VA,2020-09-01,1.0,6.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,33.0
362,VA,2020-09-02,0.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,25.0
363,VA,2020-09-03,1.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,26.0
638,VA,2020-09-04,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,22.0
621,VA,2020-09-05,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0
364,VA,2020-09-06,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,17.0
643,VA,2020-09-07,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,25.0
681,VA,2020-09-08,0.0,1.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,27.0
340,VA,2020-09-09,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,1.0,0.0,24.0
4,VA,2020-09-10,0.0,1.0,0.0,1.0,1.0,1.0,14.0,6.0,0.0,1.0,41.0
341,VA,2020-09-11,0.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,0.0,42.0
342,VA,2020-09-12,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,13.0
647,VA,2020-09-13,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,18.0
365,VA,2020-09-14,1.0,1.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,25.0
128,VA,2020-09-15,1.0,1.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,29.0
