,loc,datetime,450039,450135,450137,450672,450779,670085,670103,total_cnts
0,TX_FORT WORTH,2020-07-10,219.0,261.0,0.0,52.0,72.0,33.0,10.0,647.0
1,TX_FORT WORTH,2020-07-17,687.0,910.0,71.0,143.0,189.0,93.0,55.0,2148.0
2,TX_FORT WORTH,2020-07-24,615.0,437.0,299.0,136.0,107.0,60.0,43.0,2305.0
3,TX_FORT WORTH,2020-07-31,588.0,0.0,246.0,173.0,223.0,52.0,49.0,1839.0
4,TX_FORT WORTH,2020-08-07,459.0,256.0,243.0,99.0,215.0,23.0,39.0,1532.0
5,TX_FORT WORTH,2020-08-14,374.0,387.0,248.0,50.0,120.0,42.0,47.0,1268.0
6,TX_FORT WORTH,2020-08-21,257.0,302.0,173.0,52.0,112.0,33.0,40.0,969.0
7,TX_FORT WORTH,2020-08-28,315.0,281.0,116.0,45.0,75.0,15.0,32.0,879.0
8,TX_FORT WORTH,2020-09-04,312.0,252.0,101.0,44.0,67.0,11.0,30.0,817.0
9,TX_FORT WORTH,2020-09-11,255.0,219.0,94.0,65.0,51.0,43.0,23.0,750.0
10,TX_FORT WORTH,2020-09-18,118.0,275.0,122.0,54.0,116.0,36.0,107.0,828.0
11,TX_FORT WORTH,2020-09-25,307.0,398.0,190.0,62.0,122.0,33.0,46.0,1158.0
12,TX_FORT WORTH,2020-10-02,407.0,420.0,207.0,97.0,104.0,35.0,59.0,1329.0
13,TX_FORT WORTH,2020-10-09,404.0,454.0,285.0,104.0,158.0,72.0,57.0,1534.0
14,TX_FORT WORTH,2020-10-16,434.0,600.0,293.0,82.0,206.0,78.0,51.0,1744.0
15,TX_FORT WORTH,2020-10-23,450.0,557.0,233.0,59.0,235.0,75.0,74.0,1683.0
16,TX_FORT WORTH,2020-10-30,559.0,507.0,236.0,85.0,272.0,108.0,71.0,1838.0
17,TX_FORT WORTH,2020-11-06,518.0,635.0,313.0,97.0,385.0,162.0,99.0,2209.0
18,TX_FORT WORTH,2020-11-13,526.0,871.0,414.0,128.0,419.0,178.0,92.0,2628.0
19,TX_FORT WORTH,2020-11-20,501.0,852.0,398.0,164.0,471.0,175.0,124.0,2685.0
20,TX_FORT WORTH,2020-11-27,539.0,899.0,439.0,202.0,544.0,216.0,120.0,2959.0
21,TX_FORT WORTH,2020-12-04,563.0,960.0,388.0,208.0,506.0,211.0,121.0,2957.0
22,TX_FORT WORTH,2020-12-11,742.0,1069.0,435.0,254.0,577.0,186.0,143.0,3406.0
23,TX_FORT WORTH,2020-12-18,983.0,1121.0,624.0,256.0,490.0,236.0,156.0,3866.0
24,TX_FORT WORTH,2020-12-25,1133.0,1314.0,691.0,334.0,595.0,269.0,170.0,4506.0
25,TX_FORT WORTH,2021-01-01,1209.0,1578.0,829.0,366.0,757.0,252.0,202.0,5193.0
26,TX_FORT WORTH,2021-01-08,1274.0,1706.0,807.0,355.0,716.0,266.0,232.0,5356.0
27,TX_FORT WORTH,2021-01-15,1382.0,1490.0,886.0,319.0,612.0,229.0,195.0,5113.0
28,TX_FORT WORTH,2021-01-22,1239.0,1282.0,674.0,250.0,669.0,231.0,208.0,4557.0
29,TX_FORT WORTH,2021-01-29,1072.0,1097.0,509.0,220.0,473.0,197.0,163.0,3746.0
30,TX_FORT WORTH,2021-02-05,790.0,862.0,529.0,177.0,346.0,181.0,166.0,3059.0
31,TX_FORT WORTH,2021-02-12,562.0,623.0,440.0,131.0,248.0,146.0,114.0,2264.0
32,TX_FORT WORTH,2021-02-19,500.0,533.0,413.0,95.0,302.0,155.0,82.0,2080.0
33,TX_FORT WORTH,2021-02-26,362.0,319.0,335.0,98.0,221.0,111.0,56.0,1502.0
34,TX_FORT WORTH,2021-03-05,212.0,308.0,191.0,63.0,141.0,45.0,40.0,1000.0
35,TX_FORT WORTH,2021-03-12,150.0,243.0,106.0,45.0,156.0,49.0,45.0,794.0
36,TX_FORT WORTH,2021-03-19,147.0,194.0,117.0,51.0,101.0,29.0,30.0,669.0
37,TX_FORT WORTH,2021-03-26,131.0,131.0,73.0,21.0,71.0,26.0,21.0,474.0
38,TX_FORT WORTH,2021-04-02,124.0,120.0,96.0,26.0,79.0,17.0,21.0,483.0
39,TX_FORT WORTH,2021-04-09,126.0,134.0,98.0,33.0,54.0,29.0,11.0,485.0
40,TX_FORT WORTH,2021-04-16,119.0,192.0,79.0,11.0,66.0,38.0,28.0,533.0
41,TX_FORT WORTH,2021-04-23,86.0,155.0,97.0,21.0,46.0,49.0,34.0,488.0
42,TX_FORT WORTH,2021-04-30,134.0,177.0,70.0,32.0,56.0,48.0,33.0,550.0
43,TX_FORT WORTH,2021-05-07,130.0,162.0,51.0,21.0,86.0,49.0,23.0,522.0
44,TX_FORT WORTH,2021-05-14,139.0,200.0,68.0,16.0,68.0,35.0,24.0,550.0
45,TX_FORT WORTH,2021-05-21,132.0,151.0,62.0,17.0,43.0,40.0,15.0,460.0
46,TX_FORT WORTH,2021-05-28,76.0,100.0,41.0,10.0,38.0,19.0,14.0,298.0
47,TX_FORT WORTH,2021-06-04,68.0,94.0,29.0,6.0,149.0,24.0,21.0,391.0
48,TX_FORT WORTH,2021-06-11,83.0,76.0,57.0,16.0,94.0,38.0,17.0,381.0
49,TX_FORT WORTH,2021-06-18,59.0,86.0,64.0,44.0,47.0,30.0,29.0,359.0
50,TX_FORT WORTH,2021-06-25,65.0,154.0,70.0,54.0,66.0,10.0,47.0,466.0
51,TX_FORT WORTH,2021-07-02,135.0,198.0,71.0,53.0,60.0,58.0,46.0,621.0
52,TX_FORT WORTH,2021-07-09,131.0,254.0,119.0,60.0,93.0,80.0,54.0,791.0
53,TX_FORT WORTH,2021-07-16,152.0,317.0,171.0,113.0,141.0,122.0,58.0,1074.0
54,TX_FORT WORTH,2021-07-23,248.0,512.0,243.0,131.0,195.0,113.0,73.0,1515.0
55,TX_FORT WORTH,2021-07-30,381.0,683.0,383.0,199.0,265.0,190.0,122.0,2223.0
56,TX_FORT WORTH,2021-08-06,459.0,855.0,444.0,242.0,409.0,261.0,193.0,2863.0
57,TX_FORT WORTH,2021-08-13,629.0,1026.0,552.0,231.0,440.0,298.0,232.0,3408.0
58,TX_FORT WORTH,2021-08-20,746.0,1042.0,622.0,271.0,514.0,347.0,221.0,3763.0
59,TX_FORT WORTH,2021-08-27,789.0,1067.0,586.0,287.0,519.0,345.0,214.0,3807.0
60,TX_FORT WORTH,2021-09-03,752.0,1315.0,680.0,296.0,541.0,372.0,218.0,4174.0
61,TX_FORT WORTH,2021-09-10,726.0,1383.0,750.0,250.0,492.0,404.0,218.0,4223.0
62,TX_FORT WORTH,2021-09-17,695.0,1157.0,662.0,241.0,512.0,336.0,209.0,3812.0
63,TX_FORT WORTH,2021-09-24,605.0,1006.0,531.0,209.0,479.0,246.0,206.0,3282.0
64,TX_FORT WORTH,2021-10-01,559.0,714.0,396.0,128.0,425.0,210.0,152.0,2584.0
65,TX_FORT WORTH,2021-10-08,430.0,559.0,367.0,102.0,306.0,184.0,121.0,2069.0
66,TX_FORT WORTH,2021-10-15,307.0,573.0,272.0,97.0,233.0,140.0,124.0,1746.0
67,TX_FORT WORTH,2021-10-22,256.0,450.0,190.0,64.0,185.0,100.0,64.0,1309.0
68,TX_FORT WORTH,2021-10-29,166.0,381.0,189.0,31.0,136.0,67.0,48.0,1018.0
69,TX_FORT WORTH,2021-11-05,156.0,305.0,114.0,25.0,99.0,67.0,29.0,795.0
70,TX_FORT WORTH,2021-11-12,167.0,278.0,122.0,27.0,99.0,47.0,43.0,783.0
71,TX_FORT WORTH,2021-11-19,126.0,249.0,115.0,49.0,93.0,30.0,38.0,700.0
72,TX_FORT WORTH,2021-11-26,134.0,292.0,128.0,79.0,102.0,70.0,58.0,863.0
73,TX_FORT WORTH,2021-12-03,159.0,231.0,131.0,126.0,88.0,66.0,70.0,871.0
74,TX_FORT WORTH,2021-12-10,165.0,231.0,167.0,98.0,103.0,64.0,66.0,894.0
75,TX_FORT WORTH,2021-12-17,167.0,247.0,125.0,83.0,116.0,100.0,56.0,894.0
76,TX_FORT WORTH,2021-12-24,575.0,408.0,225.0,119.0,205.0,126.0,51.0,1709.0
77,TX_FORT WORTH,2021-12-31,996.0,840.0,364.0,194.0,426.0,190.0,103.0,3113.0
78,TX_FORT WORTH,2022-01-07,1291.0,1527.0,612.0,276.0,626.0,264.0,149.0,4745.0
79,TX_FORT WORTH,2022-01-14,1281.0,1673.0,733.0,366.0,713.0,259.0,164.0,5189.0
80,TX_FORT WORTH,2022-01-21,1030.0,1708.0,657.0,399.0,672.0,272.0,156.0,4894.0
81,TX_FORT WORTH,2022-01-28,686.0,1492.0,612.0,292.0,472.0,232.0,162.0,3948.0
82,TX_FORT WORTH,2022-02-04,434.0,973.0,453.0,206.0,324.0,156.0,87.0,2633.0
83,TX_FORT WORTH,2022-02-11,333.0,736.0,337.0,235.0,243.0,149.0,47.0,2080.0
