,loc,datetime,330019,330056,330194,330196,330202,330221,330233,330236,330396,total_cnts
138,NY_BROOKLYN,2020-07-10,0.0,0.0,50.0,15.0,10.0,9.0,17.0,30.0,5.0,136.0
135,NY_BROOKLYN,2020-07-17,0.0,13.0,194.0,42.0,38.0,34.0,48.0,101.0,12.0,482.0
0,NY_BROOKLYN,2020-07-24,12.0,7.0,165.0,30.0,37.0,19.0,25.0,66.0,9.0,381.0
1,NY_BROOKLYN,2020-07-31,24.0,6.0,107.0,37.0,20.0,22.0,26.0,84.0,24.0,364.0
2,NY_BROOKLYN,2020-08-07,17.0,5.0,117.0,41.0,10.0,15.0,24.0,90.0,18.0,345.0
3,NY_BROOKLYN,2020-08-14,7.0,26.0,95.0,42.0,22.0,10.0,19.0,65.0,11.0,297.0
4,NY_BROOKLYN,2020-08-21,4.0,11.0,53.0,31.0,41.0,5.0,25.0,31.0,13.0,214.0
136,NY_BROOKLYN,2020-08-28,0.0,14.0,83.0,42.0,11.0,8.0,19.0,32.0,0.0,209.0
5,NY_BROOKLYN,2020-09-04,6.0,8.0,64.0,22.0,18.0,16.0,10.0,12.0,0.0,163.0
6,NY_BROOKLYN,2020-09-11,12.0,7.0,76.0,37.0,13.0,24.0,6.0,39.0,0.0,219.0
7,NY_BROOKLYN,2020-09-18,13.0,0.0,141.0,33.0,27.0,17.0,7.0,85.0,6.0,336.0
8,NY_BROOKLYN,2020-09-25,11.0,8.0,185.0,22.0,14.0,7.0,12.0,97.0,5.0,365.0
9,NY_BROOKLYN,2020-10-02,12.0,12.0,157.0,31.0,18.0,0.0,17.0,67.0,23.0,342.0
10,NY_BROOKLYN,2020-10-09,40.0,29.0,339.0,68.0,18.0,0.0,32.0,97.0,22.0,653.0
11,NY_BROOKLYN,2020-10-16,59.0,42.0,388.0,44.0,27.0,6.0,35.0,77.0,21.0,725.0
12,NY_BROOKLYN,2020-10-23,80.0,26.0,381.0,51.0,23.0,17.0,49.0,82.0,5.0,765.0
13,NY_BROOKLYN,2020-10-30,44.0,12.0,347.0,88.0,38.0,22.0,43.0,107.0,14.0,783.0
14,NY_BROOKLYN,2020-11-06,34.0,5.0,369.0,85.0,45.0,37.0,66.0,134.0,12.0,915.0
15,NY_BROOKLYN,2020-11-13,49.0,27.0,359.0,112.0,93.0,26.0,38.0,211.0,35.0,1065.0
16,NY_BROOKLYN,2020-11-20,82.0,30.0,303.0,135.0,84.0,63.0,94.0,230.0,38.0,1184.0
17,NY_BROOKLYN,2020-11-27,86.0,36.0,341.0,183.0,136.0,94.0,139.0,329.0,38.0,1535.0
18,NY_BROOKLYN,2020-12-04,113.0,55.0,368.0,230.0,151.0,99.0,229.0,403.0,66.0,1901.0
19,NY_BROOKLYN,2020-12-11,182.0,113.0,471.0,259.0,259.0,196.0,251.0,493.0,59.0,2572.0
20,NY_BROOKLYN,2020-12-18,281.0,128.0,647.0,368.0,300.0,185.0,279.0,583.0,132.0,3180.0
21,NY_BROOKLYN,2020-12-25,381.0,113.0,885.0,505.0,306.0,239.0,307.0,708.0,226.0,4076.0
22,NY_BROOKLYN,2021-01-01,405.0,166.0,966.0,484.0,309.0,212.0,215.0,843.0,255.0,4378.0
23,NY_BROOKLYN,2021-01-08,411.0,188.0,1074.0,654.0,324.0,289.0,318.0,883.0,259.0,4936.0
24,NY_BROOKLYN,2021-01-15,482.0,146.0,1210.0,712.0,369.0,357.0,411.0,919.0,336.0,5522.0
25,NY_BROOKLYN,2021-01-22,482.0,149.0,1130.0,633.0,396.0,316.0,475.0,829.0,301.0,5379.0
26,NY_BROOKLYN,2021-01-29,394.0,166.0,1177.0,597.0,413.0,330.0,431.0,819.0,301.0,5208.0
27,NY_BROOKLYN,2021-02-05,480.0,214.0,1296.0,650.0,408.0,385.0,436.0,763.0,323.0,5511.0
28,NY_BROOKLYN,2021-02-12,390.0,212.0,1199.0,601.0,400.0,326.0,409.0,752.0,331.0,5151.0
29,NY_BROOKLYN,2021-02-19,387.0,283.0,1077.0,495.0,306.0,295.0,344.0,771.0,333.0,4759.0
30,NY_BROOKLYN,2021-02-26,349.0,246.0,1010.0,440.0,317.0,313.0,293.0,690.0,302.0,4494.0
31,NY_BROOKLYN,2021-03-05,320.0,184.0,949.0,412.0,289.0,263.0,342.0,522.0,271.0,4118.0
32,NY_BROOKLYN,2021-03-12,313.0,216.0,895.0,377.0,264.0,258.0,390.0,547.0,231.0,3909.0
33,NY_BROOKLYN,2021-03-19,331.0,203.0,907.0,452.0,306.0,284.0,430.0,554.0,265.0,4196.0
34,NY_BROOKLYN,2021-03-26,328.0,188.0,820.0,510.0,312.0,266.0,482.0,578.0,289.0,4317.0
35,NY_BROOKLYN,2021-04-02,316.0,152.0,708.0,459.0,338.0,280.0,543.0,586.0,246.0,4206.0
36,NY_BROOKLYN,2021-04-09,220.0,128.0,652.0,418.0,351.0,267.0,627.0,516.0,212.0,3932.0
