,loc,datetime,290003,290007,290021,290039,290041,290047,290053,290054,total_cnts
0,NV_LAS VEGAS,2019-12-27,183.0,101.0,104.0,130.0,117.0,75.0,63.0,107.0,1118.0
1,NV_LAS VEGAS,2020-03-27,32.0,183.0,31.0,51.0,49.0,31.0,59.0,35.0,485.0
2,NV_LAS VEGAS,2020-04-03,116.0,248.0,0.0,139.0,0.0,73.0,0.0,0.0,576.0
3,NV_LAS VEGAS,2020-04-10,98.0,306.0,0.0,96.0,0.0,29.0,0.0,0.0,529.0
143,NV_LAS VEGAS,2020-04-17,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0
144,NV_LAS VEGAS,2020-04-24,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0
145,NV_LAS VEGAS,2020-05-01,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0
146,NV_LAS VEGAS,2020-05-08,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0
147,NV_LAS VEGAS,2020-05-15,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
148,NV_LAS VEGAS,2020-05-22,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
149,NV_LAS VEGAS,2020-05-29,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
150,NV_LAS VEGAS,2020-06-05,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
151,NV_LAS VEGAS,2020-06-12,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
152,NV_LAS VEGAS,2020-06-19,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0
153,NV_LAS VEGAS,2020-06-26,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0
154,NV_LAS VEGAS,2020-07-03,0.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0
4,NV_LAS VEGAS,2020-07-10,185.0,729.0,136.0,132.0,87.0,61.0,35.0,143.0,1837.0
5,NV_LAS VEGAS,2020-07-17,860.0,798.0,432.0,468.0,288.0,232.0,172.0,351.0,4618.0
6,NV_LAS VEGAS,2020-07-24,940.0,698.0,522.0,526.0,305.0,209.0,276.0,377.0,4938.0
7,NV_LAS VEGAS,2020-07-31,888.0,694.0,517.0,456.0,315.0,256.0,233.0,263.0,4727.0
8,NV_LAS VEGAS,2020-08-07,791.0,707.0,508.0,367.0,224.0,230.0,223.0,239.0,4324.0
9,NV_LAS VEGAS,2020-08-14,673.0,606.0,461.0,392.0,225.0,211.0,120.0,199.0,3739.0
10,NV_LAS VEGAS,2020-08-21,643.0,544.0,364.0,356.0,185.0,166.0,87.0,202.0,3309.0
11,NV_LAS VEGAS,2020-08-28,525.0,419.0,295.0,311.0,128.0,133.0,106.0,149.0,2703.0
12,NV_LAS VEGAS,2020-09-04,451.0,355.0,283.0,238.0,73.0,58.0,93.0,82.0,2193.0
13,NV_LAS VEGAS,2020-09-11,404.0,257.0,222.0,213.0,67.0,37.0,68.0,60.0,1880.0
14,NV_LAS VEGAS,2020-09-18,335.0,225.0,174.0,200.0,123.0,61.0,71.0,61.0,1729.0
15,NV_LAS VEGAS,2020-09-25,301.0,253.0,165.0,187.0,106.0,107.0,85.0,51.0,1680.0
16,NV_LAS VEGAS,2020-10-02,234.0,236.0,162.0,212.0,82.0,99.0,112.0,99.0,1658.0
17,NV_LAS VEGAS,2020-10-09,237.0,276.0,198.0,213.0,107.0,88.0,89.0,132.0,1823.0
18,NV_LAS VEGAS,2020-10-16,298.0,266.0,198.0,182.0,144.0,134.0,70.0,111.0,1900.0
19,NV_LAS VEGAS,2020-10-23,333.0,328.0,226.0,261.0,209.0,111.0,87.0,133.0,2127.0
20,NV_LAS VEGAS,2020-10-30,354.0,357.0,271.0,281.0,233.0,110.0,134.0,144.0,2439.0
21,NV_LAS VEGAS,2020-11-06,480.0,395.0,329.0,384.0,309.0,146.0,174.0,269.0,3092.0
22,NV_LAS VEGAS,2020-11-13,571.0,511.0,449.0,555.0,344.0,264.0,218.0,402.0,4137.0
