,loc,datetime,050047,050055,050076,050228,050454,total_cnts
139,CA_SAN FRANCISCO,2020-04-03,0.0,0.0,29.0,78.0,0.0,121.0
140,CA_SAN FRANCISCO,2020-04-10,0.0,0.0,50.0,210.0,0.0,296.0
141,CA_SAN FRANCISCO,2020-04-17,0.0,0.0,27.0,122.0,15.0,168.0
142,CA_SAN FRANCISCO,2020-04-24,0.0,0.0,0.0,109.0,0.0,109.0
0,CA_SAN FRANCISCO,2020-07-10,13.0,13.0,8.0,60.0,29.0,139.0
1,CA_SAN FRANCISCO,2020-07-17,66.0,26.0,29.0,129.0,60.0,350.0
2,CA_SAN FRANCISCO,2020-07-24,45.0,67.0,107.0,145.0,174.0,609.0
3,CA_SAN FRANCISCO,2020-07-31,49.0,28.0,68.0,206.0,222.0,605.0
4,CA_SAN FRANCISCO,2020-08-07,57.0,33.0,68.0,184.0,156.0,517.0
5,CA_SAN FRANCISCO,2020-08-14,80.0,31.0,77.0,172.0,186.0,586.0
6,CA_SAN FRANCISCO,2020-08-21,94.0,70.0,60.0,138.0,198.0,606.0
7,CA_SAN FRANCISCO,2020-08-28,59.0,55.0,44.0,97.0,205.0,493.0
8,CA_SAN FRANCISCO,2020-09-04,43.0,43.0,40.0,64.0,165.0,406.0
115,CA_SAN FRANCISCO,2020-09-11,59.0,46.0,63.0,85.0,156.0,458.0
9,CA_SAN FRANCISCO,2020-09-18,79.0,52.0,52.0,63.0,99.0,411.0
10,CA_SAN FRANCISCO,2020-09-25,50.0,58.0,55.0,69.0,106.0,394.0
11,CA_SAN FRANCISCO,2020-10-02,38.0,60.0,28.0,40.0,96.0,314.0
12,CA_SAN FRANCISCO,2020-10-09,20.0,38.0,28.0,16.0,52.0,177.0
13,CA_SAN FRANCISCO,2020-10-16,5.0,27.0,37.0,17.0,63.0,157.0
14,CA_SAN FRANCISCO,2020-10-23,7.0,26.0,30.0,19.0,111.0,200.0
15,CA_SAN FRANCISCO,2020-10-30,15.0,37.0,25.0,42.0,89.0,220.0
16,CA_SAN FRANCISCO,2020-11-06,15.0,39.0,32.0,61.0,84.0,247.0
17,CA_SAN FRANCISCO,2020-11-13,24.0,35.0,63.0,47.0,78.0,258.0
18,CA_SAN FRANCISCO,2020-11-20,37.0,72.0,71.0,65.0,97.0,391.0
19,CA_SAN FRANCISCO,2020-11-27,36.0,91.0,80.0,118.0,170.0,584.0
20,CA_SAN FRANCISCO,2020-12-04,51.0,114.0,121.0,123.0,267.0,780.0
116,CA_SAN FRANCISCO,2020-12-11,101.0,109.0,155.0,135.0,323.0,967.0
21,CA_SAN FRANCISCO,2020-12-18,134.0,140.0,179.0,147.0,349.0,1129.0
22,CA_SAN FRANCISCO,2020-12-25,154.0,153.0,209.0,215.0,401.0,1317.0
117,CA_SAN FRANCISCO,2021-01-01,155.0,153.0,220.0,242.0,515.0,1525.0
23,CA_SAN FRANCISCO,2021-01-08,179.0,167.0,226.0,340.0,522.0,1703.0
118,CA_SAN FRANCISCO,2021-01-15,171.0,155.0,294.0,349.0,429.0,1628.0
119,CA_SAN FRANCISCO,2021-01-22,149.0,107.0,280.0,221.0,328.0,1283.0
24,CA_SAN FRANCISCO,2021-01-29,130.0,145.0,196.0,166.0,320.0,1206.0
120,CA_SAN FRANCISCO,2021-02-05,114.0,98.0,145.0,133.0,304.0,1014.0
25,CA_SAN FRANCISCO,2021-02-12,46.0,74.0,151.0,89.0,287.0,790.0
121,CA_SAN FRANCISCO,2021-02-19,67.0,68.0,96.0,58.0,221.0,641.0
26,CA_SAN FRANCISCO,2021-02-26,47.0,48.0,115.0,33.0,154.0,492.0
122,CA_SAN FRANCISCO,2021-03-05,36.0,32.0,74.0,9.0,93.0,311.0
123,CA_SAN FRANCISCO,2021-03-12,29.0,39.0,59.0,14.0,95.0,287.0
27,CA_SAN FRANCISCO,2021-03-19,22.0,13.0,60.0,28.0,96.0,254.0
28,CA_SAN FRANCISCO,2021-03-26,12.0,13.0,50.0,27.0,60.0,188.0
29,CA_SAN FRANCISCO,2021-04-02,16.0,9.0,59.0,19.0,52.0,162.0
30,CA_SAN FRANCISCO,2021-04-09,17.0,14.0,38.0,25.0,50.0,151.0
31,CA_SAN FRANCISCO,2021-04-16,30.0,15.0,21.0,21.0,74.0,171.0
32,CA_SAN FRANCISCO,2021-04-23,35.0,7.0,11.0,14.0,70.0,144.0
33,CA_SAN FRANCISCO,2021-04-30,32.0,0.0,19.0,19.0,35.0,112.0
34,CA_SAN FRANCISCO,2021-05-07,12.0,9.0,29.0,7.0,39.0,102.0
35,CA_SAN FRANCISCO,2021-05-14,11.0,7.0,9.0,8.0,48.0,90.0
36,CA_SAN FRANCISCO,2021-05-21,12.0,0.0,0.0,13.0,51.0,82.0
37,CA_SAN FRANCISCO,2021-05-28,0.0,0.0,10.0,29.0,34.0,73.0
38,CA_SAN FRANCISCO,2021-06-04,0.0,12.0,18.0,23.0,32.0,91.0
39,CA_SAN FRANCISCO,2021-06-11,0.0,12.0,17.0,33.0,39.0,101.0
40,CA_SAN FRANCISCO,2021-06-18,0.0,13.0,11.0,17.0,61.0,102.0
41,CA_SAN FRANCISCO,2021-06-25,11.0,17.0,4.0,13.0,54.0,99.0
42,CA_SAN FRANCISCO,2021-07-02,7.0,12.0,21.0,15.0,46.0,105.0
43,CA_SAN FRANCISCO,2021-07-09,16.0,12.0,22.0,34.0,55.0,148.0
44,CA_SAN FRANCISCO,2021-07-16,26.0,32.0,40.0,40.0,79.0,254.0
124,CA_SAN FRANCISCO,2021-07-23,32.0,56.0,51.0,75.0,174.0,436.0
45,CA_SAN FRANCISCO,2021-07-30,75.0,101.0,73.0,87.0,217.0,639.0
46,CA_SAN FRANCISCO,2021-08-06,98.0,96.0,90.0,92.0,245.0,712.0
125,CA_SAN FRANCISCO,2021-08-13,95.0,116.0,145.0,117.0,224.0,781.0
126,CA_SAN FRANCISCO,2021-08-20,126.0,141.0,114.0,113.0,209.0,780.0
47,CA_SAN FRANCISCO,2021-08-27,106.0,113.0,51.0,135.0,216.0,723.0
127,CA_SAN FRANCISCO,2021-09-03,82.0,63.0,22.0,112.0,216.0,596.0
128,CA_SAN FRANCISCO,2021-09-10,60.0,49.0,31.0,87.0,181.0,495.0
129,CA_SAN FRANCISCO,2021-09-17,78.0,33.0,33.0,61.0,173.0,443.0
48,CA_SAN FRANCISCO,2021-09-24,50.0,31.0,68.0,44.0,178.0,437.0
130,CA_SAN FRANCISCO,2021-10-01,48.0,25.0,57.0,46.0,170.0,419.0
131,CA_SAN FRANCISCO,2021-10-08,37.0,28.0,58.0,28.0,134.0,347.0
132,CA_SAN FRANCISCO,2021-10-15,31.0,30.0,48.0,28.0,119.0,317.0
133,CA_SAN FRANCISCO,2021-10-22,23.0,37.0,27.0,38.0,117.0,300.0
134,CA_SAN FRANCISCO,2021-10-29,36.0,37.0,14.0,30.0,115.0,284.0
49,CA_SAN FRANCISCO,2021-11-05,25.0,22.0,14.0,16.0,114.0,215.0
50,CA_SAN FRANCISCO,2021-11-12,16.0,24.0,31.0,24.0,78.0,187.0
51,CA_SAN FRANCISCO,2021-11-19,9.0,25.0,23.0,7.0,69.0,141.0
135,CA_SAN FRANCISCO,2021-11-26,18.0,36.0,20.0,8.0,65.0,147.0
136,CA_SAN FRANCISCO,2021-12-03,22.0,36.0,18.0,19.0,110.0,223.0
52,CA_SAN FRANCISCO,2021-12-10,25.0,32.0,23.0,24.0,96.0,225.0
53,CA_SAN FRANCISCO,2021-12-17,23.0,26.0,10.0,31.0,116.0,236.0
137,CA_SAN FRANCISCO,2021-12-24,22.0,18.0,39.0,70.0,140.0,309.0
54,CA_SAN FRANCISCO,2021-12-31,78.0,108.0,75.0,139.0,226.0,691.0
55,CA_SAN FRANCISCO,2022-01-07,181.0,134.0,156.0,230.0,297.0,1274.0
56,CA_SAN FRANCISCO,2022-01-14,221.0,150.0,217.0,304.0,414.0,1677.0
57,CA_SAN FRANCISCO,2022-01-21,256.0,170.0,224.0,313.0,452.0,1815.0
58,CA_SAN FRANCISCO,2022-01-28,215.0,164.0,219.0,262.0,436.0,1655.0
59,CA_SAN FRANCISCO,2022-02-04,185.0,140.0,187.0,146.0,394.0,1396.0
60,CA_SAN FRANCISCO,2022-02-11,179.0,106.0,101.0,148.0,303.0,1131.0
61,CA_SAN FRANCISCO,2022-02-18,124.0,99.0,70.0,115.0,235.0,827.0
62,CA_SAN FRANCISCO,2022-02-25,113.0,31.0,58.0,45.0,199.0,583.0
63,CA_SAN FRANCISCO,2022-03-04,85.0,20.0,50.0,22.0,126.0,416.0
64,CA_SAN FRANCISCO,2022-03-11,66.0,4.0,22.0,13.0,88.0,256.0
65,CA_SAN FRANCISCO,2022-03-18,47.0,7.0,21.0,7.0,84.0,218.0
138,CA_SAN FRANCISCO,2022-03-25,17.0,10.0,14.0,14.0,58.0,145.0
66,CA_SAN FRANCISCO,2022-04-01,19.0,15.0,14.0,6.0,55.0,123.0
67,CA_SAN FRANCISCO,2022-04-08,10.0,0.0,43.0,13.0,54.0,138.0
68,CA_SAN FRANCISCO,2022-04-15,31.0,8.0,29.0,13.0,52.0,161.0
69,CA_SAN FRANCISCO,2022-04-22,58.0,0.0,34.0,12.0,61.0,209.0
70,CA_SAN FRANCISCO,2022-04-29,61.0,20.0,37.0,17.0,79.0,309.0
71,CA_SAN FRANCISCO,2022-05-06,74.0,44.0,33.0,36.0,79.0,396.0
72,CA_SAN FRANCISCO,2022-05-13,78.0,72.0,65.0,45.0,87.0,485.0
73,CA_SAN FRANCISCO,2022-05-20,86.0,79.0,124.0,87.0,57.0,588.0
74,CA_SAN FRANCISCO,2022-05-27,85.0,68.0,130.0,90.0,97.0,628.0
75,CA_SAN FRANCISCO,2022-06-03,82.0,44.0,97.0,86.0,135.0,560.0
76,CA_SAN FRANCISCO,2022-06-10,53.0,47.0,73.0,86.0,174.0,566.0
77,CA_SAN FRANCISCO,2022-06-17,64.0,59.0,79.0,69.0,209.0,627.0
78,CA_SAN FRANCISCO,2022-06-24,100.0,89.0,83.0,83.0,214.0,759.0
79,CA_SAN FRANCISCO,2022-07-01,111.0,74.0,67.0,142.0,169.0,772.0
80,CA_SAN FRANCISCO,2022-07-08,151.0,83.0,71.0,120.0,157.0,797.0
81,CA_SAN FRANCISCO,2022-07-15,191.0,98.0,124.0,98.0,155.0,875.0
82,CA_SAN FRANCISCO,2022-07-22,214.0,99.0,110.0,97.0,189.0,912.0
83,CA_SAN FRANCISCO,2022-07-29,175.0,84.0,70.0,103.0,203.0,815.0
84,CA_SAN FRANCISCO,2022-08-05,169.0,68.0,96.0,121.0,151.0,758.0
85,CA_SAN FRANCISCO,2022-08-12,138.0,83.0,84.0,114.0,183.0,771.0
86,CA_SAN FRANCISCO,2022-08-19,98.0,74.0,68.0,89.0,152.0,643.0
87,CA_SAN FRANCISCO,2022-08-26,75.0,50.0,49.0,55.0,117.0,450.0
88,CA_SAN FRANCISCO,2022-09-02,79.0,61.0,36.0,49.0,117.0,459.0
89,CA_SAN FRANCISCO,2022-09-09,87.0,80.0,35.0,44.0,124.0,470.0
90,CA_SAN FRANCISCO,2022-09-16,72.0,68.0,29.0,24.0,65.0,337.0
91,CA_SAN FRANCISCO,2022-09-23,57.0,44.0,23.0,17.0,90.0,311.0
92,CA_SAN FRANCISCO,2022-09-30,70.0,35.0,28.0,16.0,107.0,325.0
93,CA_SAN FRANCISCO,2022-10-07,62.0,33.0,31.0,28.0,98.0,320.0
94,CA_SAN FRANCISCO,2022-10-14,36.0,26.0,46.0,24.0,87.0,312.0
95,CA_SAN FRANCISCO,2022-10-21,67.0,25.0,39.0,29.0,74.0,290.0
96,CA_SAN FRANCISCO,2022-10-28,67.0,41.0,34.0,40.0,71.0,325.0
97,CA_SAN FRANCISCO,2022-11-04,102.0,53.0,35.0,40.0,44.0,348.0
98,CA_SAN FRANCISCO,2022-11-11,123.0,64.0,42.0,48.0,68.0,404.0
99,CA_SAN FRANCISCO,2022-11-18,108.0,65.0,31.0,46.0,120.0,484.0
100,CA_SAN FRANCISCO,2022-11-25,110.0,43.0,53.0,55.0,109.0,532.0
101,CA_SAN FRANCISCO,2022-12-02,168.0,58.0,100.0,79.0,86.0,637.0
102,CA_SAN FRANCISCO,2022-12-09,163.0,83.0,102.0,84.0,97.0,716.0
103,CA_SAN FRANCISCO,2022-12-16,180.0,74.0,95.0,78.0,37.0,646.0
104,CA_SAN FRANCISCO,2022-12-23,143.0,86.0,97.0,73.0,39.0,639.0
105,CA_SAN FRANCISCO,2022-12-30,134.0,85.0,70.0,69.0,7.0,522.0
106,CA_SAN FRANCISCO,2023-01-06,142.0,54.0,82.0,71.0,60.0,533.0
107,CA_SAN FRANCISCO,2023-01-13,147.0,67.0,51.0,63.0,24.0,452.0
108,CA_SAN FRANCISCO,2023-01-20,112.0,65.0,25.0,36.0,26.0,321.0
109,CA_SAN FRANCISCO,2023-01-27,61.0,61.0,33.0,33.0,65.0,346.0
110,CA_SAN FRANCISCO,2023-02-03,71.0,49.0,63.0,35.0,82.0,384.0
111,CA_SAN FRANCISCO,2023-02-10,102.0,44.0,60.0,53.0,61.0,418.0
112,CA_SAN FRANCISCO,2023-02-17,147.0,46.0,62.0,79.0,61.0,584.0
113,CA_SAN FRANCISCO,2023-02-24,141.0,45.0,46.0,58.0,95.0,555.0
114,CA_SAN FRANCISCO,2023-03-03,23.0,9.0,7.0,6.0,20.0,82.0
