,loc,datetime,030002,030014,030022,030024,030030,030083,030092,030103,030115,total_cnts
139,AZ_PHOENIX,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0
140,AZ_PHOENIX,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0
141,AZ_PHOENIX,2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0
142,AZ_PHOENIX,2020-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0
143,AZ_PHOENIX,2020-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,AZ_PHOENIX,2020-07-10,397.0,74.0,210.0,326.0,0.0,0.0,77.0,129.0,291.0,1504.0
1,AZ_PHOENIX,2020-07-17,1296.0,498.0,656.0,786.0,43.0,21.0,474.0,403.0,786.0,4963.0
2,AZ_PHOENIX,2020-07-24,1074.0,487.0,498.0,826.0,264.0,140.0,356.0,287.0,660.0,4592.0
3,AZ_PHOENIX,2020-07-31,942.0,280.0,419.0,633.0,245.0,102.0,234.0,221.0,566.0,3642.0
4,AZ_PHOENIX,2020-08-07,837.0,187.0,270.0,373.0,207.0,70.0,172.0,195.0,418.0,2729.0
5,AZ_PHOENIX,2020-08-14,691.0,184.0,144.0,263.0,148.0,51.0,144.0,121.0,247.0,1993.0
6,AZ_PHOENIX,2020-08-21,593.0,176.0,107.0,216.0,87.0,33.0,137.0,102.0,197.0,1648.0
7,AZ_PHOENIX,2020-08-28,393.0,153.0,97.0,157.0,64.0,0.0,88.0,85.0,156.0,1193.0
8,AZ_PHOENIX,2020-09-04,194.0,75.0,75.0,115.0,52.0,4.0,72.0,69.0,120.0,776.0
9,AZ_PHOENIX,2020-09-11,117.0,44.0,61.0,108.0,25.0,0.0,53.0,48.0,94.0,550.0
10,AZ_PHOENIX,2020-09-18,129.0,34.0,81.0,121.0,17.0,0.0,21.0,29.0,87.0,519.0
11,AZ_PHOENIX,2020-09-25,141.0,46.0,112.0,94.0,20.0,0.0,33.0,30.0,108.0,584.0
12,AZ_PHOENIX,2020-10-02,129.0,63.0,138.0,101.0,31.0,11.0,46.0,58.0,124.0,701.0
13,AZ_PHOENIX,2020-10-09,134.0,79.0,184.0,132.0,38.0,21.0,45.0,72.0,148.0,853.0
14,AZ_PHOENIX,2020-10-16,136.0,120.0,146.0,124.0,34.0,30.0,71.0,93.0,144.0,898.0
15,AZ_PHOENIX,2020-10-23,146.0,160.0,105.0,171.0,45.0,59.0,66.0,84.0,231.0,1067.0
16,AZ_PHOENIX,2020-10-30,238.0,114.0,106.0,231.0,32.0,95.0,70.0,77.0,248.0,1211.0
17,AZ_PHOENIX,2020-11-06,253.0,175.0,153.0,294.0,54.0,127.0,84.0,115.0,277.0,1532.0
18,AZ_PHOENIX,2020-11-13,311.0,280.0,246.0,398.0,91.0,126.0,125.0,188.0,282.0,2047.0
19,AZ_PHOENIX,2020-11-20,492.0,306.0,334.0,501.0,160.0,153.0,216.0,281.0,431.0,2880.0
20,AZ_PHOENIX,2020-11-27,652.0,355.0,421.0,698.0,193.0,147.0,345.0,421.0,519.0,3772.0
21,AZ_PHOENIX,2020-12-04,777.0,401.0,483.0,808.0,244.0,149.0,404.0,477.0,641.0,4411.0
22,AZ_PHOENIX,2020-12-11,946.0,480.0,578.0,893.0,299.0,134.0,429.0,590.0,876.0,5258.0
23,AZ_PHOENIX,2020-12-18,1154.0,553.0,554.0,1078.0,331.0,198.0,477.0,560.0,961.0,5910.0
24,AZ_PHOENIX,2020-12-25,1290.0,635.0,425.0,1323.0,363.0,235.0,580.0,641.0,1091.0,6643.0
25,AZ_PHOENIX,2021-01-01,1524.0,677.0,523.0,1483.0,394.0,245.0,635.0,777.0,1156.0,7485.0
26,AZ_PHOENIX,2021-01-08,1717.0,685.0,733.0,1524.0,450.0,302.0,736.0,772.0,1184.0,8186.0
27,AZ_PHOENIX,2021-01-15,1605.0,678.0,820.0,1335.0,458.0,265.0,695.0,692.0,1180.0,7837.0
28,AZ_PHOENIX,2021-01-22,1411.0,576.0,634.0,1208.0,428.0,281.0,589.0,518.0,1093.0,6812.0
29,AZ_PHOENIX,2021-01-29,1173.0,414.0,476.0,1022.0,329.0,235.0,468.0,387.0,923.0,5487.0
30,AZ_PHOENIX,2021-02-05,785.0,319.0,328.0,849.0,231.0,209.0,312.0,269.0,651.0,3990.0
31,AZ_PHOENIX,2021-02-12,583.0,224.0,278.0,713.0,200.0,119.0,238.0,231.0,431.0,3034.0
32,AZ_PHOENIX,2021-02-19,321.0,145.0,166.0,508.0,166.0,86.0,165.0,135.0,342.0,2046.0
33,AZ_PHOENIX,2021-02-26,221.0,101.0,90.0,361.0,135.0,54.0,163.0,82.0,253.0,1477.0
34,AZ_PHOENIX,2021-03-05,140.0,90.0,81.0,248.0,109.0,34.0,107.0,57.0,130.0,996.0
35,AZ_PHOENIX,2021-03-12,100.0,62.0,92.0,197.0,87.0,23.0,99.0,52.0,86.0,814.0
36,AZ_PHOENIX,2021-03-19,63.0,58.0,117.0,155.0,66.0,19.0,73.0,23.0,69.0,655.0
37,AZ_PHOENIX,2021-03-26,94.0,62.0,102.0,109.0,26.0,21.0,70.0,55.0,68.0,616.0
38,AZ_PHOENIX,2021-04-02,87.0,49.0,99.0,92.0,55.0,46.0,94.0,21.0,56.0,612.0
39,AZ_PHOENIX,2021-04-09,69.0,64.0,99.0,124.0,66.0,46.0,83.0,28.0,88.0,674.0
40,AZ_PHOENIX,2021-04-16,118.0,60.0,116.0,136.0,41.0,18.0,43.0,41.0,90.0,677.0
41,AZ_PHOENIX,2021-04-23,152.0,76.0,72.0,137.0,53.0,17.0,60.0,98.0,107.0,777.0
42,AZ_PHOENIX,2021-04-30,139.0,82.0,104.0,194.0,23.0,19.0,62.0,69.0,95.0,787.0
43,AZ_PHOENIX,2021-05-07,192.0,81.0,129.0,182.0,29.0,37.0,47.0,70.0,79.0,850.0
44,AZ_PHOENIX,2021-05-14,196.0,65.0,154.0,183.0,51.0,25.0,59.0,91.0,95.0,929.0
45,AZ_PHOENIX,2021-05-21,114.0,86.0,146.0,151.0,19.0,15.0,53.0,78.0,121.0,800.0
46,AZ_PHOENIX,2021-05-28,70.0,91.0,106.0,134.0,38.0,25.0,18.0,74.0,110.0,678.0
47,AZ_PHOENIX,2021-06-04,68.0,69.0,38.0,131.0,65.0,20.0,56.0,72.0,62.0,592.0
48,AZ_PHOENIX,2021-06-11,43.0,62.0,22.0,148.0,40.0,19.0,60.0,91.0,51.0,565.0
49,AZ_PHOENIX,2021-06-18,79.0,55.0,51.0,153.0,42.0,9.0,44.0,61.0,57.0,571.0
50,AZ_PHOENIX,2021-06-25,64.0,38.0,88.0,148.0,35.0,14.0,77.0,52.0,74.0,598.0
51,AZ_PHOENIX,2021-07-02,52.0,62.0,82.0,131.0,35.0,20.0,92.0,64.0,93.0,640.0
52,AZ_PHOENIX,2021-07-09,102.0,73.0,77.0,175.0,46.0,26.0,102.0,75.0,123.0,809.0
53,AZ_PHOENIX,2021-07-16,163.0,126.0,112.0,210.0,42.0,26.0,152.0,89.0,133.0,1075.0
54,AZ_PHOENIX,2021-07-23,192.0,145.0,152.0,273.0,71.0,47.0,145.0,93.0,178.0,1350.0
55,AZ_PHOENIX,2021-07-30,240.0,160.0,187.0,317.0,132.0,51.0,223.0,144.0,343.0,1885.0
56,AZ_PHOENIX,2021-08-06,322.0,257.0,281.0,428.0,138.0,56.0,290.0,188.0,458.0,2501.0
57,AZ_PHOENIX,2021-08-13,378.0,298.0,334.0,557.0,159.0,67.0,296.0,247.0,601.0,3044.0
58,AZ_PHOENIX,2021-08-20,443.0,311.0,337.0,662.0,142.0,121.0,347.0,283.0,679.0,3457.0
59,AZ_PHOENIX,2021-08-27,518.0,358.0,327.0,702.0,177.0,81.0,362.0,283.0,634.0,3569.0
60,AZ_PHOENIX,2021-09-03,607.0,393.0,314.0,721.0,179.0,126.0,358.0,299.0,619.0,3707.0
61,AZ_PHOENIX,2021-09-10,640.0,281.0,253.0,693.0,176.0,168.0,357.0,332.0,670.0,3670.0
62,AZ_PHOENIX,2021-09-17,550.0,263.0,214.0,569.0,202.0,122.0,296.0,256.0,592.0,3156.0
63,AZ_PHOENIX,2021-09-24,570.0,215.0,174.0,515.0,208.0,121.0,294.0,244.0,507.0,2943.0
64,AZ_PHOENIX,2021-10-01,517.0,172.0,234.0,550.0,159.0,121.0,237.0,255.0,453.0,2810.0
65,AZ_PHOENIX,2021-10-08,408.0,187.0,229.0,502.0,131.0,107.0,181.0,216.0,480.0,2513.0
66,AZ_PHOENIX,2021-10-15,384.0,188.0,221.0,479.0,152.0,111.0,186.0,225.0,472.0,2486.0
67,AZ_PHOENIX,2021-10-22,353.0,164.0,234.0,421.0,153.0,115.0,213.0,231.0,491.0,2457.0
68,AZ_PHOENIX,2021-10-29,438.0,228.0,253.0,481.0,176.0,99.0,230.0,259.0,568.0,2860.0
69,AZ_PHOENIX,2021-11-05,511.0,254.0,263.0,603.0,199.0,89.0,279.0,249.0,667.0,3242.0
70,AZ_PHOENIX,2021-11-12,621.0,170.0,302.0,700.0,178.0,114.0,335.0,297.0,661.0,3498.0
71,AZ_PHOENIX,2021-11-19,655.0,178.0,389.0,749.0,165.0,122.0,276.0,342.0,685.0,3624.0
72,AZ_PHOENIX,2021-11-26,635.0,346.0,392.0,801.0,160.0,139.0,407.0,337.0,632.0,3952.0
73,AZ_PHOENIX,2021-12-03,640.0,339.0,420.0,787.0,162.0,125.0,450.0,412.0,708.0,4189.0
74,AZ_PHOENIX,2021-12-10,590.0,385.0,468.0,673.0,219.0,111.0,424.0,323.0,593.0,3984.0
75,AZ_PHOENIX,2021-12-17,558.0,369.0,423.0,620.0,252.0,106.0,392.0,304.0,466.0,3638.0
76,AZ_PHOENIX,2021-12-24,498.0,313.0,371.0,628.0,212.0,120.0,375.0,270.0,506.0,3428.0
77,AZ_PHOENIX,2021-12-31,542.0,424.0,378.0,787.0,168.0,119.0,435.0,379.0,578.0,3963.0
78,AZ_PHOENIX,2022-01-07,847.0,520.0,584.0,909.0,201.0,122.0,574.0,542.0,707.0,5169.0
79,AZ_PHOENIX,2022-01-14,1000.0,595.0,860.0,1123.0,278.0,121.0,614.0,581.0,921.0,6261.0
80,AZ_PHOENIX,2022-01-21,1130.0,590.0,768.0,1147.0,290.0,205.0,587.0,531.0,955.0,6326.0
81,AZ_PHOENIX,2022-01-28,1072.0,409.0,687.0,1150.0,230.0,222.0,451.0,465.0,864.0,5657.0
82,AZ_PHOENIX,2022-02-04,791.0,280.0,476.0,929.0,131.0,122.0,262.0,439.0,643.0,4139.0
83,AZ_PHOENIX,2022-02-11,645.0,188.0,319.0,636.0,58.0,89.0,194.0,354.0,460.0,2977.0
84,AZ_PHOENIX,2022-02-18,486.0,144.0,289.0,480.0,58.0,51.0,122.0,225.0,309.0,2191.0
85,AZ_PHOENIX,2022-02-25,374.0,102.0,192.0,305.0,45.0,28.0,83.0,200.0,289.0,1640.0
86,AZ_PHOENIX,2022-03-04,226.0,47.0,187.0,205.0,45.0,34.0,55.0,121.0,234.0,1162.0
87,AZ_PHOENIX,2022-03-11,197.0,31.0,183.0,119.0,15.0,32.0,58.0,73.0,174.0,896.0
88,AZ_PHOENIX,2022-03-18,166.0,17.0,128.0,80.0,4.0,25.0,51.0,100.0,100.0,683.0
89,AZ_PHOENIX,2022-03-25,125.0,42.0,63.0,99.0,6.0,20.0,26.0,58.0,64.0,508.0
90,AZ_PHOENIX,2022-04-01,92.0,27.0,26.0,93.0,4.0,7.0,19.0,43.0,48.0,365.0
91,AZ_PHOENIX,2022-04-08,75.0,26.0,24.0,71.0,0.0,8.0,35.0,50.0,32.0,321.0
92,AZ_PHOENIX,2022-04-15,67.0,29.0,49.0,43.0,0.0,5.0,41.0,64.0,34.0,336.0
93,AZ_PHOENIX,2022-04-22,64.0,27.0,152.0,28.0,0.0,9.0,13.0,41.0,29.0,363.0
94,AZ_PHOENIX,2022-04-29,50.0,34.0,114.0,39.0,0.0,5.0,24.0,34.0,15.0,315.0
95,AZ_PHOENIX,2022-05-06,36.0,39.0,59.0,46.0,10.0,9.0,27.0,66.0,24.0,324.0
96,AZ_PHOENIX,2022-05-13,47.0,63.0,133.0,56.0,6.0,4.0,39.0,62.0,40.0,461.0
97,AZ_PHOENIX,2022-05-20,64.0,54.0,101.0,92.0,12.0,11.0,45.0,96.0,56.0,548.0
98,AZ_PHOENIX,2022-05-27,58.0,70.0,137.0,147.0,14.0,22.0,70.0,125.0,65.0,736.0
99,AZ_PHOENIX,2022-06-03,50.0,78.0,196.0,148.0,33.0,20.0,105.0,121.0,131.0,915.0
100,AZ_PHOENIX,2022-06-10,81.0,99.0,162.0,142.0,36.0,7.0,131.0,152.0,112.0,936.0
101,AZ_PHOENIX,2022-06-17,126.0,113.0,205.0,149.0,28.0,11.0,105.0,141.0,128.0,1016.0
102,AZ_PHOENIX,2022-06-24,151.0,137.0,258.0,96.0,19.0,18.0,114.0,109.0,124.0,1050.0
103,AZ_PHOENIX,2022-07-01,170.0,125.0,228.0,129.0,22.0,13.0,95.0,110.0,106.0,1031.0
104,AZ_PHOENIX,2022-07-08,189.0,127.0,173.0,155.0,31.0,5.0,73.0,84.0,102.0,973.0
105,AZ_PHOENIX,2022-07-15,148.0,105.0,196.0,149.0,30.0,9.0,90.0,136.0,82.0,979.0
106,AZ_PHOENIX,2022-07-22,161.0,89.0,238.0,178.0,24.0,14.0,100.0,160.0,92.0,1076.0
107,AZ_PHOENIX,2022-07-29,135.0,110.0,327.0,168.0,14.0,20.0,86.0,120.0,81.0,1085.0
108,AZ_PHOENIX,2022-08-05,129.0,102.0,320.0,132.0,28.0,15.0,58.0,106.0,88.0,996.0
109,AZ_PHOENIX,2022-08-12,106.0,87.0,284.0,175.0,11.0,23.0,80.0,116.0,89.0,986.0
110,AZ_PHOENIX,2022-08-19,124.0,94.0,178.0,137.0,7.0,15.0,25.0,118.0,61.0,759.0
111,AZ_PHOENIX,2022-08-26,148.0,67.0,130.0,87.0,11.0,7.0,50.0,152.0,51.0,708.0
112,AZ_PHOENIX,2022-09-02,106.0,73.0,92.0,58.0,9.0,26.0,34.0,94.0,50.0,549.0
113,AZ_PHOENIX,2022-09-09,57.0,41.0,62.0,81.0,6.0,8.0,24.0,97.0,67.0,451.0
114,AZ_PHOENIX,2022-09-16,52.0,44.0,76.0,91.0,16.0,16.0,52.0,79.0,53.0,502.0
115,AZ_PHOENIX,2022-09-23,48.0,30.0,86.0,83.0,22.0,30.0,30.0,51.0,50.0,430.0
116,AZ_PHOENIX,2022-09-30,50.0,26.0,75.0,71.0,24.0,18.0,35.0,35.0,40.0,374.0
117,AZ_PHOENIX,2022-10-07,74.0,39.0,78.0,54.0,12.0,12.0,27.0,50.0,31.0,390.0
118,AZ_PHOENIX,2022-10-14,60.0,53.0,120.0,67.0,17.0,12.0,31.0,54.0,18.0,440.0
119,AZ_PHOENIX,2022-10-21,58.0,64.0,218.0,75.0,17.0,12.0,29.0,83.0,45.0,607.0
120,AZ_PHOENIX,2022-10-28,55.0,74.0,315.0,66.0,11.0,31.0,43.0,96.0,64.0,765.0
121,AZ_PHOENIX,2022-11-04,74.0,77.0,379.0,100.0,20.0,30.0,66.0,74.0,64.0,896.0
122,AZ_PHOENIX,2022-11-11,101.0,82.0,295.0,153.0,28.0,29.0,99.0,118.0,84.0,1009.0
123,AZ_PHOENIX,2022-11-18,154.0,171.0,141.0,217.0,39.0,35.0,117.0,164.0,101.0,1174.0
124,AZ_PHOENIX,2022-11-25,224.0,216.0,204.0,218.0,53.0,43.0,82.0,182.0,146.0,1404.0
125,AZ_PHOENIX,2022-12-02,272.0,253.0,227.0,234.0,68.0,69.0,177.0,168.0,202.0,1715.0
126,AZ_PHOENIX,2022-12-09,189.0,213.0,165.0,215.0,61.0,56.0,94.0,190.0,215.0,1432.0
127,AZ_PHOENIX,2022-12-16,200.0,86.0,139.0,180.0,50.0,43.0,46.0,132.0,182.0,1070.0
128,AZ_PHOENIX,2022-12-23,210.0,139.0,181.0,170.0,46.0,49.0,85.0,115.0,136.0,1157.0
129,AZ_PHOENIX,2022-12-30,189.0,146.0,152.0,172.0,44.0,38.0,110.0,114.0,192.0,1181.0
130,AZ_PHOENIX,2023-01-06,105.0,123.0,146.0,134.0,55.0,38.0,115.0,114.0,125.0,979.0
131,AZ_PHOENIX,2023-01-13,106.0,79.0,81.0,97.0,12.0,27.0,59.0,88.0,100.0,666.0
132,AZ_PHOENIX,2023-01-20,78.0,79.0,86.0,104.0,9.0,14.0,64.0,93.0,62.0,594.0
133,AZ_PHOENIX,2023-01-27,60.0,87.0,129.0,128.0,19.0,11.0,71.0,70.0,37.0,612.0
134,AZ_PHOENIX,2023-02-03,42.0,58.0,129.0,105.0,5.0,14.0,49.0,96.0,40.0,543.0
135,AZ_PHOENIX,2023-02-10,50.0,75.0,111.0,93.0,12.0,17.0,40.0,97.0,46.0,566.0
136,AZ_PHOENIX,2023-02-17,61.0,44.0,88.0,72.0,4.0,9.0,35.0,56.0,29.0,429.0
137,AZ_PHOENIX,2023-02-24,58.0,61.0,72.0,75.0,11.0,17.0,48.0,61.0,46.0,453.0
138,AZ_PHOENIX,2023-03-03,41.0,0.0,0.0,9.0,0.0,0.0,0.0,36.0,21.0,107.0
