,loc,datetime,380004,380007,380009,380017,380060,380061,total_cnts
0,OR_PORTLAND,2020-07-10,31.0,23.0,22.0,17.0,13.0,30.0,136.0
1,OR_PORTLAND,2020-07-17,89.0,107.0,67.0,36.0,96.0,126.0,521.0
2,OR_PORTLAND,2020-07-24,88.0,139.0,76.0,32.0,56.0,129.0,520.0
3,OR_PORTLAND,2020-07-31,110.0,111.0,41.0,22.0,54.0,142.0,480.0
4,OR_PORTLAND,2020-08-07,91.0,104.0,42.0,53.0,45.0,133.0,468.0
138,OR_PORTLAND,2020-08-14,0.0,78.0,48.0,53.0,33.0,0.0,212.0
5,OR_PORTLAND,2020-08-21,20.0,98.0,45.0,49.0,44.0,20.0,276.0
6,OR_PORTLAND,2020-08-28,65.0,84.0,52.0,34.0,64.0,55.0,354.0
7,OR_PORTLAND,2020-09-04,71.0,56.0,29.0,21.0,57.0,81.0,315.0
8,OR_PORTLAND,2020-09-11,84.0,50.0,32.0,27.0,32.0,66.0,291.0
9,OR_PORTLAND,2020-09-18,53.0,70.0,27.0,39.0,46.0,59.0,294.0
10,OR_PORTLAND,2020-09-25,55.0,79.0,38.0,44.0,33.0,91.0,340.0
11,OR_PORTLAND,2020-10-02,34.0,88.0,24.0,39.0,64.0,82.0,331.0
12,OR_PORTLAND,2020-10-09,68.0,117.0,23.0,39.0,58.0,96.0,401.0
13,OR_PORTLAND,2020-10-16,51.0,84.0,12.0,38.0,46.0,89.0,320.0
14,OR_PORTLAND,2020-10-23,53.0,28.0,49.0,27.0,53.0,96.0,306.0
15,OR_PORTLAND,2020-10-30,68.0,53.0,50.0,27.0,88.0,92.0,378.0
16,OR_PORTLAND,2020-11-06,105.0,49.0,79.0,55.0,96.0,169.0,553.0
17,OR_PORTLAND,2020-11-13,165.0,85.0,101.0,49.0,131.0,241.0,772.0
18,OR_PORTLAND,2020-11-20,242.0,139.0,150.0,72.0,166.0,314.0,1087.0
19,OR_PORTLAND,2020-11-27,289.0,160.0,186.0,98.0,168.0,449.0,1364.0
20,OR_PORTLAND,2020-12-04,287.0,152.0,150.0,77.0,117.0,349.0,1139.0
21,OR_PORTLAND,2020-12-11,290.0,137.0,140.0,85.0,131.0,276.0,1059.0
22,OR_PORTLAND,2020-12-18,262.0,94.0,120.0,102.0,116.0,343.0,1037.0
23,OR_PORTLAND,2020-12-25,233.0,99.0,135.0,106.0,94.0,303.0,970.0
24,OR_PORTLAND,2021-01-01,276.0,94.0,124.0,55.0,81.0,266.0,896.0
25,OR_PORTLAND,2021-01-08,235.0,121.0,58.0,39.0,128.0,232.0,813.0
26,OR_PORTLAND,2021-01-15,144.0,211.0,90.0,58.0,96.0,227.0,826.0
27,OR_PORTLAND,2021-01-22,162.0,196.0,78.0,59.0,91.0,193.0,779.0
28,OR_PORTLAND,2021-01-29,138.0,184.0,97.0,64.0,88.0,176.0,747.0
29,OR_PORTLAND,2021-02-05,86.0,163.0,102.0,67.0,64.0,120.0,602.0
