,loc,datetime,450015,450021,450044,450051,450379,450462,450647,450723,452044,total_cnts
0,TX_DALLAS,2020-07-10,350.0,0.0,88.0,0.0,9.0,123.0,121.0,0.0,0.0,731.0
1,TX_DALLAS,2020-07-17,1171.0,49.0,313.0,156.0,41.0,455.0,372.0,75.0,57.0,2865.0
2,TX_DALLAS,2020-07-24,770.0,269.0,266.0,560.0,76.0,394.0,303.0,343.0,130.0,3273.0
3,TX_DALLAS,2020-07-31,670.0,1055.0,324.0,593.0,98.0,264.0,317.0,370.0,160.0,4032.0
4,TX_DALLAS,2020-08-07,330.0,1092.0,238.0,270.0,98.0,243.0,254.0,379.0,197.0,3236.0
5,TX_DALLAS,2020-08-14,482.0,1105.0,154.0,277.0,74.0,170.0,207.0,256.0,172.0,2993.0
6,TX_DALLAS,2020-08-21,342.0,932.0,103.0,186.0,36.0,113.0,177.0,161.0,150.0,2289.0
7,TX_DALLAS,2020-08-28,318.0,1054.0,145.0,196.0,35.0,84.0,172.0,141.0,154.0,2358.0
8,TX_DALLAS,2020-09-04,283.0,1036.0,115.0,171.0,32.0,63.0,153.0,137.0,145.0,2165.0
9,TX_DALLAS,2020-09-11,279.0,982.0,113.0,104.0,28.0,142.0,218.0,88.0,133.0,2122.0
10,TX_DALLAS,2020-09-18,320.0,969.0,127.0,110.0,28.0,88.0,90.0,77.0,71.0,1905.0
11,TX_DALLAS,2020-09-25,332.0,792.0,119.0,153.0,28.0,93.0,150.0,78.0,66.0,1865.0
12,TX_DALLAS,2020-10-02,351.0,352.0,130.0,198.0,28.0,125.0,178.0,122.0,43.0,1589.0
13,TX_DALLAS,2020-10-09,473.0,444.0,163.0,267.0,26.0,145.0,173.0,202.0,39.0,2020.0
14,TX_DALLAS,2020-10-16,546.0,506.0,269.0,326.0,11.0,213.0,190.0,249.0,66.0,2482.0
15,TX_DALLAS,2020-10-23,549.0,560.0,263.0,379.0,45.0,233.0,221.0,375.0,174.0,2875.0
16,TX_DALLAS,2020-10-30,588.0,563.0,242.0,397.0,13.0,264.0,229.0,307.0,239.0,2973.0
17,TX_DALLAS,2020-11-06,718.0,540.0,246.0,440.0,61.0,297.0,326.0,431.0,207.0,3328.0
18,TX_DALLAS,2020-11-13,875.0,656.0,381.0,456.0,48.0,469.0,414.0,512.0,204.0,4105.0
19,TX_DALLAS,2020-11-20,889.0,809.0,467.0,532.0,78.0,396.0,407.0,663.0,202.0,4512.0
20,TX_DALLAS,2020-11-27,889.0,903.0,485.0,586.0,105.0,437.0,420.0,746.0,178.0,4837.0
21,TX_DALLAS,2020-12-04,774.0,912.0,425.0,590.0,114.0,435.0,425.0,562.0,195.0,4574.0
22,TX_DALLAS,2020-12-11,778.0,867.0,405.0,635.0,110.0,445.0,462.0,725.0,244.0,4848.0
23,TX_DALLAS,2020-12-18,1018.0,893.0,493.0,779.0,94.0,642.0,559.0,928.0,233.0,5762.0
24,TX_DALLAS,2020-12-25,1141.0,947.0,622.0,756.0,97.0,708.0,614.0,903.0,245.0,6148.0
25,TX_DALLAS,2021-01-01,1233.0,1057.0,586.0,752.0,111.0,826.0,701.0,1127.0,173.0,6720.0
