,loc,datetime,390028,390050,390090,390102,390107,390114,390164,390228,total_cnts
0,PA_PITTSBURGH,2020-07-10,16.0,0.0,0.0,0.0,14.0,0.0,33.0,0.0,63.0
1,PA_PITTSBURGH,2020-07-17,34.0,0.0,11.0,21.0,33.0,11.0,100.0,56.0,266.0
2,PA_PITTSBURGH,2020-07-24,110.0,49.0,63.0,46.0,105.0,35.0,305.0,59.0,772.0
3,PA_PITTSBURGH,2020-07-31,123.0,124.0,62.0,33.0,93.0,25.0,275.0,45.0,780.0
4,PA_PITTSBURGH,2020-08-07,146.0,103.0,35.0,66.0,101.0,24.0,210.0,50.0,735.0
5,PA_PITTSBURGH,2020-08-14,69.0,81.0,42.0,38.0,78.0,12.0,121.0,52.0,493.0
6,PA_PITTSBURGH,2020-08-21,43.0,61.0,39.0,6.0,79.0,6.0,107.0,49.0,390.0
7,PA_PITTSBURGH,2020-08-28,25.0,62.0,8.0,12.0,46.0,20.0,64.0,19.0,256.0
8,PA_PITTSBURGH,2020-09-04,34.0,46.0,0.0,5.0,45.0,15.0,72.0,33.0,250.0
9,PA_PITTSBURGH,2020-09-11,17.0,36.0,8.0,4.0,20.0,0.0,52.0,19.0,156.0
10,PA_PITTSBURGH,2020-09-18,16.0,27.0,9.0,5.0,10.0,0.0,36.0,11.0,114.0
11,PA_PITTSBURGH,2020-09-25,22.0,25.0,0.0,5.0,34.0,19.0,86.0,14.0,205.0
12,PA_PITTSBURGH,2020-10-02,32.0,60.0,0.0,0.0,45.0,18.0,100.0,31.0,286.0
13,PA_PITTSBURGH,2020-10-09,48.0,26.0,19.0,15.0,83.0,12.0,87.0,45.0,335.0
14,PA_PITTSBURGH,2020-10-16,72.0,13.0,51.0,56.0,91.0,12.0,118.0,45.0,458.0
15,PA_PITTSBURGH,2020-10-23,99.0,65.0,55.0,79.0,79.0,13.0,180.0,30.0,600.0
16,PA_PITTSBURGH,2020-10-30,49.0,83.0,47.0,53.0,103.0,31.0,221.0,37.0,624.0
17,PA_PITTSBURGH,2020-11-06,106.0,99.0,63.0,101.0,179.0,96.0,283.0,106.0,1033.0
18,PA_PITTSBURGH,2020-11-13,143.0,178.0,90.0,112.0,249.0,162.0,363.0,194.0,1491.0
19,PA_PITTSBURGH,2020-11-20,202.0,294.0,115.0,179.0,310.0,181.0,582.0,228.0,2091.0
20,PA_PITTSBURGH,2020-11-27,246.0,357.0,143.0,312.0,371.0,147.0,894.0,259.0,2739.0
21,PA_PITTSBURGH,2020-12-04,309.0,488.0,164.0,394.0,512.0,167.0,1093.0,392.0,3519.0
22,PA_PITTSBURGH,2020-12-11,339.0,569.0,176.0,425.0,529.0,159.0,1178.0,348.0,3738.0
23,PA_PITTSBURGH,2020-12-18,350.0,532.0,146.0,314.0,485.0,174.0,1002.0,333.0,3371.0
24,PA_PITTSBURGH,2020-12-25,386.0,535.0,120.0,327.0,509.0,167.0,944.0,359.0,3381.0
25,PA_PITTSBURGH,2021-01-01,292.0,398.0,116.0,257.0,397.0,125.0,765.0,374.0,2774.0
26,PA_PITTSBURGH,2021-01-08,200.0,315.0,96.0,216.0,278.0,111.0,616.0,263.0,2150.0
27,PA_PITTSBURGH,2021-01-15,104.0,321.0,67.0,146.0,201.0,71.0,486.0,253.0,1696.0
28,PA_PITTSBURGH,2021-01-22,126.0,214.0,75.0,117.0,157.0,48.0,437.0,174.0,1385.0
29,PA_PITTSBURGH,2021-01-29,96.0,203.0,57.0,116.0,203.0,50.0,401.0,166.0,1345.0
30,PA_PITTSBURGH,2021-02-05,66.0,117.0,49.0,95.0,115.0,43.0,333.0,203.0,1080.0
31,PA_PITTSBURGH,2021-02-12,64.0,137.0,53.0,84.0,99.0,13.0,288.0,158.0,976.0
32,PA_PITTSBURGH,2021-02-19,57.0,71.0,52.0,66.0,98.0,26.0,304.0,106.0,820.0
33,PA_PITTSBURGH,2021-02-26,54.0,89.0,79.0,72.0,79.0,13.0,249.0,64.0,746.0
34,PA_PITTSBURGH,2021-03-05,94.0,116.0,71.0,62.0,86.0,13.0,194.0,61.0,735.0
35,PA_PITTSBURGH,2021-03-12,77.0,123.0,40.0,66.0,76.0,5.0,160.0,86.0,681.0
36,PA_PITTSBURGH,2021-03-19,112.0,121.0,55.0,68.0,74.0,10.0,208.0,118.0,814.0
37,PA_PITTSBURGH,2021-03-26,116.0,140.0,67.0,98.0,104.0,34.0,257.0,102.0,963.0
38,PA_PITTSBURGH,2021-04-02,113.0,186.0,54.0,66.0,134.0,47.0,337.0,111.0,1076.0
39,PA_PITTSBURGH,2021-04-09,112.0,171.0,82.0,69.0,90.0,103.0,372.0,106.0,1129.0
40,PA_PITTSBURGH,2021-04-16,93.0,202.0,60.0,69.0,136.0,84.0,378.0,120.0,1146.0
41,PA_PITTSBURGH,2021-04-23,83.0,170.0,50.0,64.0,126.0,60.0,322.0,118.0,1003.0
42,PA_PITTSBURGH,2021-04-30,78.0,133.0,67.0,51.0,111.0,53.0,294.0,91.0,882.0
43,PA_PITTSBURGH,2021-05-07,78.0,129.0,37.0,44.0,84.0,50.0,212.0,75.0,719.0
44,PA_PITTSBURGH,2021-05-14,71.0,76.0,41.0,40.0,45.0,39.0,190.0,60.0,580.0
45,PA_PITTSBURGH,2021-05-21,44.0,60.0,34.0,24.0,65.0,17.0,158.0,43.0,461.0
46,PA_PITTSBURGH,2021-05-28,43.0,47.0,27.0,41.0,49.0,20.0,148.0,38.0,444.0
47,PA_PITTSBURGH,2021-06-04,9.0,55.0,10.0,31.0,44.0,4.0,109.0,21.0,312.0
48,PA_PITTSBURGH,2021-06-11,13.0,45.0,8.0,30.0,15.0,7.0,67.0,14.0,224.0
49,PA_PITTSBURGH,2021-06-18,5.0,30.0,0.0,25.0,14.0,12.0,79.0,18.0,207.0
50,PA_PITTSBURGH,2021-06-25,14.0,16.0,0.0,19.0,12.0,0.0,76.0,10.0,163.0
51,PA_PITTSBURGH,2021-07-02,18.0,9.0,7.0,7.0,17.0,0.0,50.0,11.0,131.0
52,PA_PITTSBURGH,2021-07-09,10.0,20.0,0.0,4.0,8.0,0.0,38.0,29.0,120.0
53,PA_PITTSBURGH,2021-07-16,15.0,40.0,8.0,5.0,19.0,8.0,20.0,58.0,191.0
54,PA_PITTSBURGH,2021-07-23,36.0,31.0,18.0,20.0,13.0,0.0,48.0,75.0,246.0
55,PA_PITTSBURGH,2021-07-30,55.0,28.0,11.0,28.0,19.0,16.0,82.0,101.0,347.0
56,PA_PITTSBURGH,2021-08-06,99.0,69.0,15.0,28.0,57.0,28.0,114.0,88.0,531.0
57,PA_PITTSBURGH,2021-08-13,132.0,108.0,17.0,54.0,121.0,38.0,168.0,120.0,798.0
58,PA_PITTSBURGH,2021-08-20,94.0,189.0,34.0,92.0,152.0,21.0,210.0,145.0,977.0
59,PA_PITTSBURGH,2021-08-27,86.0,205.0,29.0,110.0,180.0,54.0,275.0,155.0,1125.0
60,PA_PITTSBURGH,2021-09-03,107.0,190.0,43.0,86.0,213.0,56.0,319.0,139.0,1166.0
61,PA_PITTSBURGH,2021-09-10,106.0,166.0,51.0,74.0,181.0,79.0,347.0,149.0,1171.0
62,PA_PITTSBURGH,2021-09-17,105.0,182.0,58.0,99.0,182.0,132.0,332.0,143.0,1250.0
63,PA_PITTSBURGH,2021-09-24,157.0,229.0,70.0,154.0,251.0,77.0,391.0,162.0,1501.0
64,PA_PITTSBURGH,2021-10-01,175.0,225.0,100.0,125.0,220.0,88.0,418.0,145.0,1515.0
65,PA_PITTSBURGH,2021-10-08,137.0,155.0,78.0,159.0,184.0,117.0,403.0,199.0,1462.0
66,PA_PITTSBURGH,2021-10-15,101.0,164.0,53.0,177.0,200.0,118.0,335.0,256.0,1440.0
67,PA_PITTSBURGH,2021-10-22,115.0,217.0,57.0,160.0,193.0,74.0,264.0,188.0,1305.0
68,PA_PITTSBURGH,2021-10-29,134.0,173.0,79.0,147.0,169.0,52.0,306.0,138.0,1236.0
69,PA_PITTSBURGH,2021-11-05,90.0,156.0,36.0,167.0,182.0,83.0,305.0,150.0,1203.0
70,PA_PITTSBURGH,2021-11-12,160.0,165.0,66.0,198.0,213.0,96.0,294.0,119.0,1334.0
71,PA_PITTSBURGH,2021-11-19,179.0,234.0,84.0,182.0,247.0,79.0,482.0,156.0,1678.0
72,PA_PITTSBURGH,2021-11-26,166.0,306.0,82.0,180.0,291.0,109.0,437.0,191.0,1775.0
73,PA_PITTSBURGH,2021-12-03,226.0,295.0,111.0,202.0,324.0,90.0,521.0,211.0,1995.0
74,PA_PITTSBURGH,2021-12-10,227.0,243.0,100.0,232.0,328.0,121.0,603.0,209.0,2103.0
75,PA_PITTSBURGH,2021-12-17,228.0,192.0,115.0,177.0,300.0,108.0,464.0,177.0,1803.0
76,PA_PITTSBURGH,2021-12-24,225.0,245.0,76.0,166.0,244.0,82.0,544.0,146.0,1760.0
77,PA_PITTSBURGH,2021-12-31,397.0,307.0,113.0,246.0,290.0,123.0,752.0,218.0,2506.0
78,PA_PITTSBURGH,2022-01-07,399.0,384.0,161.0,294.0,343.0,158.0,1103.0,299.0,3175.0
79,PA_PITTSBURGH,2022-01-14,433.0,360.0,130.0,341.0,371.0,186.0,1185.0,373.0,3403.0
