,loc,datetime,330024,330046,330101,330119,330154,330169,330199,330204,330214,330240,total_cnts
0,NY_NEW YORK,2020-07-10,24.0,12.0,168.0,0.0,0.0,10.0,4.0,27.0,102.0,12.0,370.0
1,NY_NEW YORK,2020-07-17,87.0,36.0,423.0,0.0,0.0,37.0,26.0,74.0,276.0,17.0,1028.0
2,NY_NEW YORK,2020-07-24,68.0,40.0,330.0,18.0,0.0,95.0,6.0,115.0,252.0,6.0,954.0
3,NY_NEW YORK,2020-07-31,38.0,42.0,329.0,24.0,14.0,75.0,0.0,111.0,317.0,6.0,980.0
4,NY_NEW YORK,2020-08-07,67.0,62.0,320.0,11.0,15.0,43.0,0.0,77.0,237.0,15.0,859.0
5,NY_NEW YORK,2020-08-14,55.0,69.0,236.0,21.0,13.0,30.0,0.0,84.0,179.0,10.0,704.0
6,NY_NEW YORK,2020-08-21,82.0,57.0,214.0,23.0,12.0,34.0,14.0,54.0,107.0,19.0,616.0
7,NY_NEW YORK,2020-08-28,76.0,51.0,193.0,8.0,5.0,35.0,18.0,17.0,146.0,13.0,562.0
8,NY_NEW YORK,2020-09-04,97.0,56.0,207.0,7.0,0.0,23.0,12.0,30.0,222.0,15.0,669.0
9,NY_NEW YORK,2020-09-11,78.0,53.0,204.0,17.0,31.0,22.0,7.0,58.0,202.0,13.0,685.0
10,NY_NEW YORK,2020-09-18,143.0,74.0,203.0,45.0,48.0,23.0,0.0,58.0,179.0,12.0,790.0
11,NY_NEW YORK,2020-09-25,270.0,72.0,182.0,75.0,55.0,71.0,9.0,22.0,168.0,29.0,959.0
12,NY_NEW YORK,2020-10-02,356.0,68.0,209.0,113.0,47.0,86.0,17.0,42.0,151.0,45.0,1134.0
13,NY_NEW YORK,2020-10-09,499.0,61.0,279.0,160.0,40.0,141.0,12.0,38.0,268.0,41.0,1539.0
14,NY_NEW YORK,2020-10-16,486.0,77.0,227.0,113.0,41.0,162.0,0.0,39.0,297.0,30.0,1472.0
15,NY_NEW YORK,2020-10-23,409.0,84.0,230.0,74.0,85.0,152.0,15.0,33.0,367.0,31.0,1486.0
16,NY_NEW YORK,2020-10-30,360.0,98.0,264.0,57.0,45.0,135.0,25.0,28.0,411.0,21.0,1444.0
17,NY_NEW YORK,2020-11-06,397.0,154.0,433.0,77.0,45.0,104.0,20.0,26.0,393.0,23.0,1679.0
18,NY_NEW YORK,2020-11-13,457.0,213.0,637.0,79.0,75.0,128.0,5.0,57.0,430.0,17.0,2102.0
19,NY_NEW YORK,2020-11-20,509.0,236.0,876.0,83.0,79.0,181.0,21.0,94.0,552.0,38.0,2669.0
20,NY_NEW YORK,2020-11-27,613.0,271.0,1127.0,146.0,72.0,232.0,37.0,106.0,750.0,65.0,3423.0
21,NY_NEW YORK,2020-12-04,714.0,327.0,1435.0,173.0,74.0,387.0,40.0,130.0,972.0,76.0,4335.0
22,NY_NEW YORK,2020-12-11,825.0,474.0,1868.0,224.0,108.0,477.0,51.0,140.0,1236.0,114.0,5528.0
23,NY_NEW YORK,2020-12-18,928.0,508.0,2034.0,227.0,155.0,540.0,97.0,128.0,1591.0,125.0,6346.0
24,NY_NEW YORK,2020-12-25,1026.0,653.0,2301.0,359.0,151.0,769.0,128.0,217.0,1917.0,169.0,7709.0
25,NY_NEW YORK,2021-01-01,1079.0,837.0,2608.0,397.0,153.0,960.0,141.0,315.0,2123.0,221.0,8858.0
26,NY_NEW YORK,2021-01-08,1215.0,876.0,2815.0,441.0,198.0,945.0,147.0,297.0,2326.0,236.0,9518.0
27,NY_NEW YORK,2021-01-15,1258.0,872.0,3018.0,475.0,215.0,995.0,138.0,439.0,2542.0,255.0,10217.0
