date,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,WA,WI,WV
2022-05-08,2,3,4,5,13,3,10,7,60,6,0,1,28,7,0,0,2,8,8,3,19,8,5,2,1,2,2,25,1,1,32,26,1,5,24,1,4,13,0,5,5,11,1
2022-05-09,1,7,1,7,14,6,24,6,75,5,6,0,40,4,1,5,6,11,8,14,38,5,4,0,2,8,0,46,2,4,75,45,3,1,36,5,10,21,1,17,11,7,5
2022-05-10,2,4,2,7,21,4,24,5,69,8,3,2,35,7,0,5,0,15,7,10,41,12,11,0,3,10,3,36,1,5,88,35,2,2,49,3,4,20,2,13,11,14,5
2022-05-11,1,6,4,13,24,6,19,7,88,6,4,1,38,6,2,6,4,15,11,13,44,4,6,0,2,8,3,33,2,2,83,50,1,6,32,3,8,15,1,13,5,10,3
2022-05-12,1,6,3,12,25,7,25,2,83,7,2,1,39,11,2,8,3,19,13,6,42,13,6,1,0,10,1,35,3,4,95,58,0,7,43,5,5,16,1,17,17,14,2
2022-05-13,0,5,2,9,27,6,19,10,75,2,4,1,36,8,0,3,5,20,7,5,33,9,9,2,3,6,1,59,2,2,79,57,0,6,40,2,9,25,3,8,13,10,3
2022-05-14,0,7,2,11,29,6,6,5,85,4,2,1,37,4,4,6,3,15,10,3,34,6,2,1,1,1,1,36,1,7,68,40,2,5,32,6,5,18,1,6,8,8,4
2022-05-15,0,3,2,15,27,3,16,8,84,6,0,0,40,7,0,6,3,22,12,9,35,9,7,0,3,9,3,25,3,1,57,36,1,5,30,3,4,11,2,2,11,10,3
2022-05-16,1,10,0,12,27,7,11,11,92,8,5,0,40,6,2,4,5,22,7,10,32,13,2,1,0,7,3,60,4,1,131,60,0,5,37,7,3,27,2,12,15,7,4
2022-05-17,0,7,1,14,27,6,18,10,97,11,2,2,35,9,2,3,3,12,15,7,30,13,11,3,3,6,4,35,8,1,93,54,4,6,35,6,7,20,3,16,20,8,4
2022-05-18,0,4,3,14,21,7,14,5,86,5,3,0,39,5,1,5,3,28,9,9,35,11,9,2,3,9,4,48,2,1,103,44,3,10,37,4,10,20,3,18,9,8,1
2022-05-19,0,4,3,15,27,7,12,11,94,8,4,0,36,8,3,5,3,21,11,11,31,3,7,2,1,4,4,47,3,3,85,61,2,8,40,4,12,26,2,14,16,12,3
2022-05-20,0,11,2,12,42,7,17,6,85,8,2,2,39,6,2,4,5,19,20,5,40,8,12,3,2,5,3,42,4,1,104,53,3,3,47,1,11,25,1,12,8,15,3
2022-05-21,2,3,7,8,24,5,11,6,77,8,3,1,31,4,0,4,7,16,12,7,31,8,6,1,2,6,2,22,3,1,83,63,2,6,23,3,4,27,1,4,9,7,4
2022-05-22,0,6,2,15,28,3,14,2,78,5,1,3,30,9,0,4,3,9,7,8,19,3,3,0,1,7,1,38,3,8,69,41,2,4,31,1,3,19,3,5,10,7,3
2022-05-23,0,2,4,11,31,7,15,10,107,7,1,0,28,6,1,6,11,26,12,6,35,10,3,4,0,7,1,45,4,5,82,54,5,6,39,6,6,22,2,22,12,7,5
2022-05-24,0,4,3,13,28,4,10,7,97,6,3,3,37,16,2,8,5,18,9,4,38,4,2,3,2,8,1,47,2,2,75,67,2,4,30,3,9,35,3,21,18,15,3
2022-05-25,0,9,1,16,33,13,13,9,108,2,0,1,30,8,1,8,5,17,13,2,30,9,6,2,4,11,1,51,5,9,83,53,1,6,35,4,7,38,4,23,13,10,4
2022-05-26,1,4,6,12,34,5,19,12,126,8,3,0,40,9,1,2,6,10,15,10,36,6,7,3,2,8,4,41,3,9,66,55,2,6,30,2,6,30,1,24,7,5,6
2022-05-27,0,7,4,19,38,13,15,6,96,6,3,1,38,10,3,5,8,11,18,5,42,9,10,3,2,13,3,64,3,6,62,40,4,4,32,4,4,21,3,22,14,8,4
2022-05-28,0,10,0,18,37,14,14,7,107,6,3,0,36,11,1,2,8,5,9,3,25,10,9,4,1,2,4,30,6,3,53,37,2,4,20,2,6,37,2,10,5,6,4
2022-05-29,0,10,5,17,19,2,8,6,94,5,3,0,38,13,4,3,6,12,12,5,24,5,4,1,2,8,4,37,2,2,44,40,2,7,33,5,8,33,3,6,16,7,3
2022-05-30,0,5,6,18,24,5,9,10,111,8,2,4,26,7,4,9,7,8,11,5,33,10,6,1,2,13,2,19,1,2,40,48,4,7,28,3,13,36,6,11,10,5,5
2022-05-31,1,10,4,23,34,10,13,7,144,15,2,0,40,13,2,8,10,10,8,4,29,10,7,1,2,10,2,45,2,6,60,59,4,5,44,3,7,44,2,28,9,14,4
2022-06-01,0,12,5,17,43,6,12,6,124,14,2,1,47,12,1,9,10,12,9,3,35,8,12,4,4,15,4,36,2,14,86,78,4,9,37,5,7,50,1,18,13,12,6
2022-06-02,0,12,6,22,50,3,8,1,111,9,0,0,42,13,1,10,4,7,19,3,21,11,15,3,2,9,4,34,0,8,72,55,4,8,29,3,10,37,3,36,16,7,6
2022-06-03,0,6,6,16,39,9,11,9,133,10,1,1,34,15,2,4,5,5,13,1,26,6,9,2,5,8,5,42,2,12,66,41,2,4,23,6,8,40,2,20,17,9,4
2022-06-04,1,5,5,18,27,9,11,2,113,5,1,1,34,12,3,4,7,5,7,3,22,6,11,1,3,7,3,41,3,12,44,37,3,6,22,2,9,31,2,7,10,6,3
2022-06-05,0,5,13,21,31,8,7,5,122,7,2,2,35,6,1,5,13,8,4,3,20,9,7,3,1,7,7,31,4,9,28,37,2,5,30,6,5,33,3,7,18,6,3
2022-06-06,0,5,6,26,55,13,11,4,132,13,1,1,43,16,1,9,8,8,14,4,26,6,14,3,2,8,6,53,4,14,66,48,8,6,32,1,6,61,7,21,14,7,6
2022-06-07,0,7,9,18,37,15,8,9,131,10,5,2,34,11,4,7,5,6,5,3,22,8,24,2,2,7,3,49,7,10,53,48,6,7,39,3,12,55,2,28,13,10,5
2022-06-08,0,12,6,16,36,11,14,7,145,9,3,2,45,17,2,6,6,5,11,2,29,7,14,4,11,9,4,32,3,12,67,51,8,8,44,7,8,56,2,23,15,6,4
2022-06-09,1,10,14,23,34,14,7,1,132,7,1,2,41,13,0,4,7,5,8,2,29,5,10,6,3,5,7,32,8,7,59,40,3,4,23,5,10,45,3,28,20,6,4
2022-06-10,0,17,4,19,49,8,8,6,141,8,5,3,42,11,1,4,5,4,12,3,30,4,7,3,1,3,3,34,5,12,50,56,4,5,23,6,14,53,3,24,9,14,7
2022-06-11,1,10,7,22,42,13,6,5,134,10,1,2,35,10,3,5,10,7,7,3,16,6,9,2,5,4,1,19,8,9,33,34,4,5,22,6,9,54,5,12,10,6,3
2022-06-12,0,8,8,15,44,10,12,2,108,9,2,3,39,6,2,5,6,3,3,5,36,7,11,0,2,3,2,20,3,17,34,32,5,7,18,4,10,35,2,11,7,5,2
2022-06-13,0,11,6,19,48,8,5,10,159,15,3,0,45,11,1,12,10,10,12,3,28,6,18,4,3,5,4,34,4,6,62,54,8,7,23,10,10,54,4,26,6,6,0
2022-06-14,0,7,3,29,38,9,11,11,144,8,3,0,34,10,2,6,5,10,4,4,27,5,14,8,2,10,4,14,3,9,55,52,2,8,36,5,8,74,4,28,17,6,5
2022-06-15,0,13,5,21,33,7,4,2,161,10,0,3,39,30,5,2,7,9,14,3,26,9,8,3,4,8,2,15,5,10,56,32,9,10,25,7,7,55,6,24,16,12,2
2022-06-16,0,17,4,22,55,7,8,9,135,10,5,1,54,13,3,5,10,4,8,1,28,17,9,4,3,8,3,19,8,11,50,53,5,7,22,8,10,52,3,24,13,5,4
2022-06-17,0,17,3,15,42,13,4,1,179,13,4,0,48,24,2,4,5,12,10,2,18,5,8,4,7,10,6,12,8,9,46,47,3,7,23,5,10,48,3,17,18,8,4
2022-06-18,0,9,7,21,32,13,3,1,116,12,1,1,27,14,1,3,6,4,6,3,16,6,7,3,6,10,2,10,7,8,32,40,4,9,18,5,6,58,3,8,17,5,3
2022-06-19,0,11,13,13,28,4,8,8,119,10,1,3,34,6,1,10,7,4,10,1,12,3,8,4,5,6,2,15,3,13,27,31,4,6,19,5,7,47,1,7,25,6,3
2022-06-20,1,11,5,21,35,10,12,2,140,11,1,1,38,23,2,7,7,4,15,3,17,14,15,3,9,6,6,19,7,11,66,50,2,4,26,7,9,64,3,25,13,8,6
2022-06-21,0,15,9,26,39,5,7,5,153,5,3,2,35,13,1,8,9,7,8,2,22,9,7,4,2,9,3,13,5,11,40,47,4,6,23,4,6,61,1,18,11,6,2
2022-06-22,1,19,7,20,48,9,13,6,128,13,3,5,38,16,6,4,7,7,10,1,28,14,17,1,8,6,2,24,9,6,53,52,2,7,29,9,12,83,7,22,17,7,5
2022-06-23,0,18,4,25,33,5,6,5,148,15,1,1,45,12,2,10,12,9,13,1,24,3,22,4,3,7,3,19,11,11,47,51,3,8,20,5,10,68,2,16,18,8,4
2022-06-24,1,11,12,31,45,8,11,5,123,11,3,1,52,25,1,7,18,8,11,2,23,14,13,5,5,4,3,29,4,12,57,52,4,9,21,5,8,86,1,25,23,3,7
2022-06-25,1,10,6,17,30,4,11,5,123,9,1,1,36,13,2,4,6,8,8,2,24,10,15,4,6,6,4,15,6,10,39,37,3,9,18,3,7,63,2,10,16,3,3
2022-06-26,1,23,4,18,42,6,15,7,132,8,1,2,29,10,2,5,11,9,3,1,17,3,10,7,2,7,4,15,6,12,44,28,3,6,13,3,6,70,3,7,13,4,2
2022-06-27,0,16,9,16,39,10,9,2,149,17,5,4,40,26,4,8,10,11,6,6,20,8,7,2,7,4,4,19,8,6,56,57,3,14,12,4,9,84,2,31,22,12,4
2022-06-28,0,17,8,17,59,7,3,7,155,17,4,4,41,7,5,7,15,5,8,2,16,1,7,6,1,5,4,21,5,7,49,41,7,5,27,3,12,84,7,14,13,12,8
2022-06-29,0,17,3,28,61,7,4,10,141,14,4,0,43,23,2,7,11,5,6,3,22,6,12,5,6,2,4,23,3,8,69,57,3,7,19,5,8,83,2,15,11,8,3
2022-06-30,2,17,5,21,53,8,7,2,135,10,4,2,51,19,6,2,10,4,12,2,28,7,13,5,6,9,5,26,3,13,44,46,3,8,25,5,9,82,7,16,6,4,7
2022-07-01,1,13,6,20,49,3,10,7,118,14,1,1,48,13,3,12,12,10,5,4,20,9,10,5,6,9,4,29,2,8,59,59,5,7,24,4,9,94,3,30,16,5,6
2022-07-02,0,17,3,22,37,5,9,2,128,7,4,3,31,6,2,4,8,7,7,3,15,8,10,5,1,4,2,39,5,8,32,27,2,4,23,5,8,53,3,8,20,2,4
2022-07-03,0,9,2,9,47,5,8,6,111,13,2,1,25,7,3,1,7,6,7,3,16,10,14,3,4,5,4,24,3,9,44,34,3,7,19,3,9,62,2,8,8,6,4
2022-07-04,1,11,8,13,49,3,5,5,118,5,2,2,23,8,2,5,9,6,8,4,14,6,5,4,9,3,4,24,2,2,30,34,4,5,17,7,13,78,2,6,16,9,4
2022-07-05,1,15,8,15,61,8,9,2,135,17,4,2,36,19,2,9,13,5,11,3,20,10,19,6,2,7,9,34,1,9,65,52,8,5,21,9,11,101,4,23,12,4,6
2022-07-06,0,19,11,19,60,20,10,5,128,13,5,4,34,10,4,6,16,7,9,2,23,5,20,4,3,8,3,34,1,10,56,62,5,11,25,9,10,80,2,22,14,7,5
2022-07-07,2,22,9,21,61,5,8,6,157,13,3,0,30,18,3,5,13,6,6,6,16,4,11,9,3,12,4,31,2,6,50,47,6,6,13,11,15,100,4,21,12,9,6
2022-07-08,0,15,10,21,56,9,5,7,158,9,1,1,35,18,4,9,16,7,9,4,19,11,17,7,3,4,3,32,4,4,44,43,5,9,16,4,8,109,2,18,14,8,3
2022-07-09,0,11,5,9,42,6,4,7,143,12,4,2,35,11,0,8,14,5,10,5,24,4,16,3,6,10,5,19,3,4,42,32,2,9,16,7,3,98,3,6,6,10,3
2022-07-10,0,13,11,17,57,5,10,2,158,14,0,1,25,6,2,4,17,8,5,3,19,6,9,3,3,10,3,28,5,6,48,39,9,6,12,7,9,66,3,4,9,8,4
2022-07-11,0,17,15,22,66,7,6,3,208,14,4,3,54,15,2,8,23,7,9,6,30,10,13,9,5,8,8,41,4,6,70,54,7,10,21,8,13,131,3,22,11,7,4
2022-07-12,0,16,14,18,74,4,13,11,141,15,5,4,44,27,3,9,22,12,6,2,16,3,10,4,4,10,4,36,1,10,55,48,11,7,28,4,12,120,1,16,25,14,5
2022-07-13,0,17,6,24,59,8,9,9,165,21,4,4,50,15,1,13,19,10,17,4,30,8,17,6,6,7,4,32,2,8,54,60,7,7,23,9,15,113,7,13,16,3,5
2022-07-14,0,22,11,21,58,5,7,5,168,17,2,1,36,14,1,12,18,8,7,4,35,12,18,3,2,12,11,33,3,10,45,58,6,4,23,8,17,100,1,23,12,7,6
2022-07-15,0,27,9,28,59,10,6,2,177,13,2,3,41,15,3,15,13,12,12,7,18,7,14,7,1,11,2,38,9,14,61,48,3,6,30,6,8,102,2,27,28,9,4
2022-07-16,0,10,6,17,65,3,9,6,148,7,4,2,34,12,2,13,10,6,10,2,29,8,13,5,3,7,2,30,1,16,51,50,9,11,17,6,8,89,0,9,16,7,3
2022-07-17,0,13,12,21,59,4,7,8,135,12,2,1,39,14,2,7,12,10,5,0,27,5,9,3,5,7,3,34,11,12,44,41,8,9,13,6,10,63,2,9,17,8,7
2022-07-18,1,29,9,15,62,10,14,10,178,12,1,3,30,10,2,15,17,12,10,5,34,5,14,4,8,11,4,32,6,5,47,62,12,11,24,12,13,116,1,22,27,12,6
2022-07-19,0,26,11,31,74,5,15,7,169,18,6,1,43,24,2,9,23,13,12,2,21,7,10,4,5,15,5,30,2,2,56,61,3,8,25,13,14,109,7,25,23,7,6
2022-07-20,0,16,7,25,57,8,8,5,169,22,8,2,47,14,1,6,10,10,14,4,25,11,17,6,1,8,5,26,9,1,57,51,6,7,21,10,4,112,2,18,24,5,5
2022-07-21,0,22,7,18,53,5,12,9,157,13,4,4,35,16,2,6,9,14,11,4,17,6,20,5,6,9,7,22,7,2,47,61,5,11,23,5,10,107,0,27,17,13,6
2022-07-22,0,23,10,18,46,10,12,8,150,14,4,2,44,27,1,18,13,5,7,4,27,4,8,15,9,13,3,35,2,10,40,61,6,7,27,5,12,133,2,25,22,7,6
2022-07-23,0,14,4,13,35,6,11,7,118,7,2,2,38,20,3,15,12,9,11,5,22,7,11,9,2,5,4,24,6,8,40,54,5,5,17,11,12,98,3,10,8,6,2
2022-07-24,0,22,8,12,36,3,11,6,148,14,4,1,42,9,3,5,13,7,6,3,24,3,22,4,5,9,4,30,4,6,24,38,3,5,24,5,8,74,1,9,17,8,5
2022-07-25,0,31,8,14,60,1,12,9,161,18,6,0,48,25,2,8,14,7,12,2,27,4,13,2,10,5,3,42,7,8,66,84,5,12,24,5,11,116,4,23,11,7,3
2022-07-26,1,21,9,14,53,3,13,11,139,15,4,5,60,29,2,12,14,6,12,1,29,10,12,6,9,11,4,45,1,9,42,54,8,8,38,10,5,118,3,23,17,10,7
2022-07-27,0,19,7,18,67,5,14,3,131,13,4,2,42,25,0,12,18,10,12,2,26,11,18,2,2,3,3,38,6,8,41,61,8,7,30,10,15,123,1,27,13,15,7
2022-07-28,1,21,4,16,45,3,11,6,156,16,2,2,39,14,3,14,9,3,14,4,32,8,12,8,3,18,7,30,2,6,47,68,13,4,21,8,10,121,1,29,13,12,8
2022-07-29,1,14,6,23,55,4,18,6,126,15,5,3,43,13,4,9,17,11,12,2,19,8,19,5,2,3,4,21,4,6,47,55,6,5,40,12,10,117,1,32,9,10,3
2022-07-30,1,18,13,15,51,5,7,4,126,17,2,3,31,11,3,8,5,10,7,2,20,4,9,5,2,4,5,12,2,3,29,32,4,7,18,3,6,91,2,8,6,3,1
2022-07-31,0,18,7,13,37,1,12,5,111,12,5,1,27,14,3,6,7,4,9,4,30,7,7,1,0,4,2,19,1,2,22,44,6,12,23,2,7,91,3,6,11,11,6
