,state,date,32003,32031,total_cnts
67,NV,2020-08-02,21.0,0.0,22.0
68,NV,2020-08-03,22.0,1.0,25.0
69,NV,2020-08-04,27.0,1.0,30.0
70,NV,2020-08-05,27.0,1.0,29.0
71,NV,2020-08-06,23.0,0.0,23.0
72,NV,2020-08-07,21.0,1.0,23.0
73,NV,2020-08-08,26.0,0.0,27.0
74,NV,2020-08-09,25.0,1.0,28.0
75,NV,2020-08-10,35.0,0.0,36.0
76,NV,2020-08-11,32.0,1.0,35.0
77,NV,2020-08-12,30.0,6.0,38.0
78,NV,2020-08-13,27.0,4.0,31.0
79,NV,2020-08-14,34.0,1.0,36.0
80,NV,2020-08-15,24.0,1.0,26.0
81,NV,2020-08-16,35.0,0.0,36.0
82,NV,2020-08-17,27.0,0.0,28.0
83,NV,2020-08-18,23.0,1.0,25.0
84,NV,2020-08-19,23.0,1.0,24.0
85,NV,2020-08-20,22.0,1.0,23.0
86,NV,2020-08-21,26.0,1.0,27.0
87,NV,2020-08-22,14.0,0.0,14.0
88,NV,2020-08-23,22.0,0.0,22.0
89,NV,2020-08-24,10.0,1.0,12.0
90,NV,2020-08-25,10.0,1.0,11.0
91,NV,2020-08-26,13.0,1.0,15.0
92,NV,2020-08-27,19.0,0.0,20.0
93,NV,2020-08-28,14.0,1.0,15.0
94,NV,2020-08-29,18.0,1.0,19.0
95,NV,2020-08-30,18.0,0.0,18.0
96,NV,2020-08-31,24.0,1.0,25.0
97,NV,2020-09-01,25.0,1.0,27.0
98,NV,2020-09-02,17.0,0.0,17.0
99,NV,2020-09-03,14.0,0.0,14.0
100,NV,2020-09-04,20.0,1.0,22.0
101,NV,2020-09-05,17.0,0.0,17.0
102,NV,2020-09-06,14.0,0.0,14.0
103,NV,2020-09-07,20.0,0.0,20.0
104,NV,2020-09-08,8.0,1.0,9.0
105,NV,2020-09-09,11.0,0.0,12.0
106,NV,2020-09-10,13.0,0.0,13.0
107,NV,2020-09-11,14.0,1.0,15.0
108,NV,2020-09-12,9.0,0.0,9.0
109,NV,2020-09-13,9.0,0.0,9.0
110,NV,2020-09-14,9.0,0.0,9.0
111,NV,2020-09-15,13.0,0.0,13.0
112,NV,2020-09-16,11.0,1.0,13.0
113,NV,2020-09-17,18.0,1.0,21.0
114,NV,2020-09-18,17.0,0.0,17.0
115,NV,2020-09-19,12.0,1.0,13.0
116,NV,2020-09-20,17.0,1.0,20.0
117,NV,2020-09-21,16.0,1.0,17.0
118,NV,2020-09-22,10.0,1.0,11.0
119,NV,2020-09-23,13.0,0.0,13.0
120,NV,2020-09-24,14.0,1.0,15.0
121,NV,2020-09-25,16.0,1.0,18.0
122,NV,2020-09-26,16.0,1.0,17.0
123,NV,2020-09-27,14.0,1.0,15.0
124,NV,2020-09-28,16.0,1.0,17.0
125,NV,2020-09-29,12.0,0.0,12.0
126,NV,2020-09-30,12.0,1.0,13.0
127,NV,2020-10-01,24.0,1.0,25.0
128,NV,2020-10-02,15.0,1.0,16.0
129,NV,2020-10-03,10.0,1.0,11.0
130,NV,2020-10-04,14.0,0.0,14.0
131,NV,2020-10-05,20.0,0.0,20.0
132,NV,2020-10-06,7.0,0.0,8.0
133,NV,2020-10-07,13.0,1.0,15.0
134,NV,2020-10-08,13.0,0.0,14.0
135,NV,2020-10-09,25.0,0.0,25.0
136,NV,2020-10-10,19.0,1.0,20.0
137,NV,2020-10-11,8.0,0.0,8.0
138,NV,2020-10-12,23.0,1.0,24.0
139,NV,2020-10-13,17.0,1.0,19.0
140,NV,2020-10-14,19.0,1.0,20.0
141,NV,2020-10-15,15.0,0.0,15.0
142,NV,2020-10-16,16.0,1.0,17.0
143,NV,2020-10-17,34.0,0.0,34.0
144,NV,2020-10-18,19.0,1.0,20.0
145,NV,2020-10-19,18.0,1.0,19.0
146,NV,2020-10-20,21.0,0.0,22.0
147,NV,2020-10-21,38.0,1.0,40.0
148,NV,2020-10-22,27.0,1.0,28.0
149,NV,2020-10-23,25.0,4.0,30.0
150,NV,2020-10-24,18.0,0.0,18.0
151,NV,2020-10-25,16.0,1.0,18.0
152,NV,2020-10-26,20.0,1.0,23.0
153,NV,2020-10-27,18.0,1.0,19.0
154,NV,2020-10-28,20.0,1.0,22.0
155,NV,2020-10-29,15.0,1.0,17.0
156,NV,2020-10-30,32.0,7.0,39.0
157,NV,2020-10-31,23.0,1.0,27.0
158,NV,2020-11-01,21.0,5.0,29.0
159,NV,2020-11-02,29.0,1.0,32.0
160,NV,2020-11-03,21.0,1.0,23.0
161,NV,2020-11-04,24.0,4.0,28.0
162,NV,2020-11-05,28.0,5.0,36.0
163,NV,2020-11-06,18.0,1.0,23.0
164,NV,2020-11-07,29.0,7.0,38.0
165,NV,2020-11-08,23.0,4.0,29.0
166,NV,2020-11-09,35.0,6.0,44.0
167,NV,2020-11-10,25.0,7.0,34.0
168,NV,2020-11-11,38.0,7.0,47.0
169,NV,2020-11-12,21.0,4.0,28.0
0,NV,2020-11-13,32.0,5.0,39.0
170,NV,2020-11-14,41.0,1.0,45.0
171,NV,2020-11-15,24.0,0.0,26.0
172,NV,2020-11-16,40.0,5.0,48.0
173,NV,2020-11-17,28.0,8.0,38.0
174,NV,2020-11-18,31.0,9.0,43.0
175,NV,2020-11-19,28.0,12.0,44.0
176,NV,2020-11-20,39.0,4.0,46.0
177,NV,2020-11-21,27.0,7.0,39.0
178,NV,2020-11-22,41.0,4.0,48.0
179,NV,2020-11-23,46.0,10.0,61.0
1,NV,2020-11-24,39.0,5.0,49.0
180,NV,2020-11-25,41.0,6.0,51.0
181,NV,2020-11-26,40.0,13.0,57.0
182,NV,2020-11-27,51.0,7.0,60.0
183,NV,2020-11-28,35.0,1.0,39.0
184,NV,2020-11-29,50.0,4.0,57.0
185,NV,2020-11-30,49.0,1.0,54.0
186,NV,2020-12-01,60.0,6.0,72.0
2,NV,2020-12-02,52.0,6.0,61.0
187,NV,2020-12-03,49.0,10.0,63.0
188,NV,2020-12-04,56.0,7.0,68.0
189,NV,2020-12-05,49.0,5.0,55.0
190,NV,2020-12-06,53.0,8.0,65.0
191,NV,2020-12-07,58.0,5.0,68.0
192,NV,2020-12-08,68.0,10.0,82.0
193,NV,2020-12-09,69.0,9.0,86.0
194,NV,2020-12-10,41.0,6.0,49.0
195,NV,2020-12-11,53.0,12.0,69.0
196,NV,2020-12-12,76.0,5.0,87.0
197,NV,2020-12-13,52.0,6.0,62.0
198,NV,2020-12-14,63.0,1.0,67.0
199,NV,2020-12-15,68.0,9.0,81.0
3,NV,2020-12-16,56.0,4.0,65.0
200,NV,2020-12-17,54.0,7.0,64.0
201,NV,2020-12-18,49.0,4.0,59.0
202,NV,2020-12-19,66.0,7.0,76.0
203,NV,2020-12-20,59.0,7.0,69.0
204,NV,2020-12-21,72.0,4.0,79.0
205,NV,2020-12-22,48.0,9.0,60.0
206,NV,2020-12-23,65.0,5.0,74.0
207,NV,2020-12-24,43.0,5.0,50.0
208,NV,2020-12-25,46.0,6.0,56.0
209,NV,2020-12-26,67.0,1.0,70.0
210,NV,2020-12-27,63.0,1.0,67.0
4,NV,2020-12-28,94.0,7.0,107.0
211,NV,2020-12-29,69.0,1.0,75.0
