,state,date,12001,12005,12009,12011,12015,12017,12019,12021,12023,12031,12033,12035,12053,12055,12057,12061,12069,12071,12073,12081,12083,12085,12086,12091,12095,12097,12099,12101,12103,12105,12109,12111,12115,12117,12119,12127,total_cnts
14,FL,2020-08-18,1.0,1.0,7.0,33.0,0.0,1.0,1.0,1.0,0.0,10.0,4.0,0.0,8.0,1.0,22.0,0.0,1.0,4.0,1.0,1.0,11.0,0.0,68,1.0,6.0,1.0,16.0,4.0,11.0,10.0,0.0,15.0,1.0,1.0,4.0,4.0,257.0
15,FL,2020-08-19,1.0,4.0,6.0,41.0,1.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,6.0,1.0,19.0,1.0,6.0,5.0,1.0,4.0,8.0,1.0,83,1.0,9.0,4.0,25.0,1.0,5.0,6.0,1.0,12.0,0.0,1.0,1.0,7.0,282.0
16,FL,2020-08-20,1.0,1.0,13.0,28.0,1.0,1.0,1.0,0.0,0.0,15.0,4.0,0.0,7.0,1.0,19.0,1.0,4.0,1.0,1.0,1.0,9.0,1.0,68,1.0,8.0,6.0,16.0,5.0,9.0,12.0,1.0,13.0,5.0,0.0,1.0,6.0,272.0
17,FL,2020-08-21,1.0,1.0,5.0,34.0,4.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,1.0,1.0,16.0,0.0,1.0,1.0,5.0,1.0,11.0,0.0,68,1.0,6.0,7.0,30.0,1.0,10.0,15.0,1.0,11.0,1.0,1.0,1.0,6.0,264.0
18,FL,2020-08-22,1.0,1.0,1.0,32.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,9.0,0.0,57,1.0,5.0,0.0,12.0,5.0,8.0,5.0,0.0,7.0,1.0,1.0,1.0,5.0,194.0
19,FL,2020-08-23,1.0,0.0,4.0,20.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,1.0,6.0,5.0,1.0,4.0,1.0,53,0.0,8.0,4.0,9.0,6.0,5.0,8.0,0.0,1.0,1.0,1.0,1.0,4.0,169.0
20,FL,2020-08-24,1.0,0.0,6.0,26.0,1.0,4.0,1.0,1.0,0.0,7.0,1.0,0.0,5.0,1.0,20.0,1.0,1.0,5.0,1.0,1.0,8.0,0.0,39,1.0,9.0,1.0,21.0,6.0,4.0,6.0,0.0,6.0,1.0,1.0,1.0,8.0,201.0
21,FL,2020-08-25,1.0,1.0,1.0,24.0,0.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,8.0,1.0,10.0,0.0,6.0,4.0,1.0,1.0,10.0,0.0,51,1.0,6.0,1.0,13.0,1.0,6.0,4.0,1.0,5.0,1.0,1.0,1.0,10.0,186.0
22,FL,2020-08-26,1.0,1.0,1.0,43.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,1.0,4.0,1.0,17.0,0.0,1.0,1.0,7.0,1.0,5.0,1.0,50,1.0,4.0,6.0,27.0,7.0,5.0,13.0,0.0,1.0,4.0,1.0,1.0,5.0,235.0
23,FL,2020-08-27,1.0,0.0,9.0,17.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,6.0,1.0,14.0,0.0,1.0,5.0,1.0,1.0,5.0,1.0,43,1.0,6.0,1.0,11.0,8.0,7.0,7.0,0.0,4.0,1.0,5.0,1.0,7.0,190.0
