,state,date,55009,55025,55027,55059,55079,55087,55101,55131,55133,55139,total_cnts
692,WI,2020-08-02,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,11.0
546,WI,2020-08-03,0.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,4.0,1.0,27.0
495,WI,2020-08-04,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0
523,WI,2020-08-05,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,18.0
138,WI,2020-08-06,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,16.0
636,WI,2020-08-07,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,12.0
496,WI,2020-08-08,0.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,17.0
497,WI,2020-08-09,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0
139,WI,2020-08-10,1.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,16.0
467,WI,2020-08-11,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,18.0
637,WI,2020-08-12,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,16.0
140,WI,2020-08-13,1.0,0.0,0.0,1.0,5.0,1.0,4.0,1.0,0.0,0.0,20.0
141,WI,2020-08-14,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,11.0
547,WI,2020-08-15,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0
548,WI,2020-08-16,0.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,15.0
0,WI,2020-08-17,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,1.0,18.0
685,WI,2020-08-18,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,14.0
142,WI,2020-08-19,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,15.0
670,WI,2020-08-20,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,10.0
684,WI,2020-08-21,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,12.0
549,WI,2020-08-22,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0
43,WI,2020-08-23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0
