,state,date,20091,20173,20209,total_cnts
236,KS,2020-08-02,1.0,7.0,4.0,13.0
540,KS,2020-08-03,1.0,1.0,4.0,9.0
698,KS,2020-08-04,0.0,5.0,5.0,11.0
158,KS,2020-08-05,1.0,4.0,1.0,11.0
159,KS,2020-08-06,1.0,1.0,1.0,9.0
551,KS,2020-08-07,1.0,4.0,1.0,7.0
552,KS,2020-08-08,1.0,1.0,1.0,4.0
553,KS,2020-08-09,1.0,4.0,1.0,7.0
554,KS,2020-08-10,4.0,1.0,1.0,7.0
555,KS,2020-08-11,1.0,1.0,1.0,6.0
556,KS,2020-08-12,5.0,6.0,0.0,13.0
391,KS,2020-08-13,4.0,1.0,1.0,10.0
512,KS,2020-08-14,5.0,1.0,0.0,8.0
557,KS,2020-08-15,1.0,1.0,1.0,3.0
558,KS,2020-08-16,1.0,0.0,1.0,4.0
541,KS,2020-08-17,1.0,0.0,1.0,4.0
559,KS,2020-08-18,4.0,1.0,1.0,7.0
542,KS,2020-08-19,1.0,1.0,1.0,5.0
61,KS,2020-08-20,1.0,0.0,1.0,5.0
547,KS,2020-08-21,1.0,1.0,1.0,6.0
392,KS,2020-08-22,1.0,1.0,1.0,8.0
560,KS,2020-08-23,1.0,1.0,1.0,4.0
561,KS,2020-08-24,5.0,1.0,1.0,8.0
562,KS,2020-08-25,1.0,5.0,1.0,7.0
393,KS,2020-08-26,1.0,1.0,5.0,11.0
237,KS,2020-08-27,0.0,1.0,7.0,14.0
563,KS,2020-08-28,1.0,1.0,6.0,11.0
693,KS,2020-08-29,0.0,1.0,5.0,9.0
543,KS,2020-08-30,0.0,1.0,6.0,13.0
564,KS,2020-08-31,1.0,1.0,1.0,7.0
320,KS,2020-09-01,1.0,5.0,1.0,9.0
238,KS,2020-09-02,4.0,1.0,1.0,9.0
565,KS,2020-09-03,1.0,1.0,1.0,4.0
521,KS,2020-09-04,1.0,1.0,1.0,5.0
394,KS,2020-09-05,1.0,0.0,1.0,4.0
321,KS,2020-09-06,1.0,1.0,1.0,6.0
566,KS,2020-09-07,1.0,1.0,1.0,5.0
160,KS,2020-09-08,1.0,4.0,1.0,8.0
239,KS,2020-09-09,1.0,1.0,1.0,5.0
195,KS,2020-09-10,0.0,1.0,1.0,9.0
395,KS,2020-09-11,1.0,1.0,1.0,6.0
567,KS,2020-09-12,1.0,0.0,1.0,3.0
161,KS,2020-09-13,1.0,1.0,1.0,8.0
534,KS,2020-09-14,1.0,4.0,1.0,9.0
535,KS,2020-09-15,1.0,1.0,1.0,5.0
196,KS,2020-09-16,0.0,0.0,1.0,5.0
162,KS,2020-09-17,4.0,0.0,0.0,8.0
163,KS,2020-09-18,4.0,1.0,0.0,11.0
369,KS,2020-09-19,4.0,1.0,0.0,9.0
568,KS,2020-09-20,1.0,0.0,0.0,2.0
536,KS,2020-09-21,1.0,1.0,0.0,6.0
569,KS,2020-09-22,1.0,0.0,1.0,5.0
240,KS,2020-09-23,4.0,1.0,1.0,12.0
537,KS,2020-09-24,1.0,1.0,5.0,11.0
370,KS,2020-09-25,4.0,4.0,1.0,13.0
508,KS,2020-09-26,4.0,0.0,1.0,7.0
241,KS,2020-09-27,0.0,0.0,0.0,2.0
197,KS,2020-09-28,1.0,1.0,1.0,6.0
322,KS,2020-09-29,1.0,1.0,1.0,8.0
546,KS,2020-09-30,1.0,1.0,1.0,5.0
97,KS,2020-10-01,1.0,0.0,1.0,10.0
62,KS,2020-10-02,5.0,1.0,1.0,12.0
323,KS,2020-10-03,0.0,1.0,1.0,5.0
164,KS,2020-10-04,1.0,0.0,1.0,7.0
242,KS,2020-10-05,4.0,0.0,1.0,10.0
98,KS,2020-10-06,1.0,1.0,1.0,10.0
99,KS,2020-10-07,5.0,1.0,1.0,13.0
243,KS,2020-10-08,1.0,1.0,1.0,7.0
396,KS,2020-10-09,1.0,1.0,1.0,8.0
538,KS,2020-10-10,1.0,1.0,1.0,6.0
244,KS,2020-10-11,1.0,1.0,0.0,4.0
421,KS,2020-10-12,1.0,6.0,1.0,13.0
544,KS,2020-10-13,0.0,1.0,1.0,5.0
198,KS,2020-10-14,1.0,1.0,1.0,11.0
324,KS,2020-10-15,4.0,1.0,1.0,13.0
325,KS,2020-10-16,1.0,1.0,1.0,8.0
63,KS,2020-10-17,1.0,1.0,4.0,11.0
422,KS,2020-10-18,1.0,1.0,1.0,12.0
100,KS,2020-10-19,1.0,1.0,1.0,10.0
423,KS,2020-10-20,5.0,1.0,1.0,11.0
513,KS,2020-10-21,4.0,1.0,1.0,13.0
424,KS,2020-10-22,1.0,0.0,4.0,8.0
570,KS,2020-10-23,6.0,6.0,1.0,14.0
64,KS,2020-10-24,1.0,1.0,1.0,9.0
65,KS,2020-10-25,1.0,1.0,1.0,9.0
514,KS,2020-10-26,4.0,1.0,1.0,9.0
0,KS,2020-10-27,4.0,1.0,1.0,13.0
469,KS,2020-10-28,6.0,5.0,1.0,16.0
101,KS,2020-10-29,4.0,1.0,1.0,15.0
477,KS,2020-10-30,1.0,1.0,1.0,9.0
571,KS,2020-10-31,4.0,4.0,1.0,11.0
138,KS,2020-11-01,1.0,9.0,1.0,16.0
245,KS,2020-11-02,4.0,1.0,4.0,20.0
66,KS,2020-11-03,5.0,1.0,4.0,24.0
165,KS,2020-11-04,6.0,1.0,6.0,22.0
246,KS,2020-11-05,6.0,4.0,1.0,18.0
247,KS,2020-11-06,4.0,5.0,4.0,22.0
1,KS,2020-11-07,6.0,7.0,1.0,25.0
166,KS,2020-11-08,4.0,1.0,1.0,13.0
102,KS,2020-11-09,6.0,6.0,1.0,27.0
167,KS,2020-11-10,9.0,7.0,4.0,32.0
2,KS,2020-11-11,8.0,12.0,1.0,33.0
3,KS,2020-11-12,8.0,8.0,4.0,33.0
4,KS,2020-11-13,11.0,5.0,4.0,28.0
326,KS,2020-11-14,10.0,9.0,1.0,30.0
168,KS,2020-11-15,7.0,4.0,1.0,21.0
248,KS,2020-11-16,9.0,1.0,1.0,23.0
397,KS,2020-11-17,7.0,1.0,1.0,19.0
228,KS,2020-11-18,4.0,10.0,5.0,28.0
5,KS,2020-11-19,1.0,6.0,5.0,25.0
229,KS,2020-11-20,1.0,5.0,5.0,28.0
67,KS,2020-11-21,7.0,6.0,1.0,22.0
169,KS,2020-11-22,4.0,6.0,5.0,20.0
170,KS,2020-11-23,4.0,10.0,7.0,37.0
6,KS,2020-11-24,11.0,8.0,8.0,43.0
7,KS,2020-11-25,7.0,11.0,10.0,42.0
249,KS,2020-11-26,11.0,4.0,6.0,32.0
8,KS,2020-11-27,15.0,7.0,8.0,43.0
139,KS,2020-11-28,6.0,12.0,4.0,36.0
9,KS,2020-11-29,5.0,1.0,6.0,26.0
10,KS,2020-11-30,9.0,8.0,11.0,52.0
478,KS,2020-12-01,5.0,8.0,6.0,30.0
250,KS,2020-12-02,10.0,7.0,6.0,39.0
11,KS,2020-12-03,14.0,8.0,7.0,46.0
12,KS,2020-12-04,8.0,4.0,6.0,36.0
13,KS,2020-12-05,13.0,4.0,1.0,32.0
251,KS,2020-12-06,6.0,7.0,1.0,25.0
14,KS,2020-12-07,5.0,6.0,5.0,35.0
515,KS,2020-12-08,8.0,8.0,5.0,28.0
252,KS,2020-12-09,4.0,1.0,5.0,22.0
253,KS,2020-12-10,12.0,4.0,5.0,34.0
199,KS,2020-12-11,11.0,7.0,1.0,35.0
230,KS,2020-12-12,6.0,4.0,0.0,19.0
68,KS,2020-12-13,7.0,6.0,0.0,31.0
69,KS,2020-12-14,6.0,1.0,5.0,27.0
70,KS,2020-12-15,8.0,9.0,9.0,43.0
71,KS,2020-12-16,14.0,11.0,6.0,46.0
72,KS,2020-12-17,8.0,4.0,9.0,34.0
254,KS,2020-12-18,8.0,5.0,6.0,31.0
327,KS,2020-12-19,8.0,6.0,4.0,25.0
171,KS,2020-12-20,7.0,5.0,7.0,30.0
103,KS,2020-12-21,13.0,8.0,8.0,45.0
104,KS,2020-12-22,10.0,5.0,10.0,39.0
105,KS,2020-12-23,6.0,6.0,4.0,27.0
15,KS,2020-12-24,7.0,5.0,5.0,28.0
106,KS,2020-12-25,7.0,1.0,1.0,20.0
107,KS,2020-12-26,1.0,4.0,5.0,21.0
310,KS,2020-12-27,11.0,6.0,1.0,27.0
311,KS,2020-12-28,7.0,5.0,7.0,32.0
73,KS,2020-12-29,8.0,9.0,7.0,35.0
479,KS,2020-12-30,6.0,1.0,11.0,27.0
255,KS,2020-12-31,5.0,1.0,6.0,20.0
200,KS,2021-01-01,4.0,6.0,1.0,20.0
256,KS,2021-01-02,7.0,8.0,1.0,22.0
172,KS,2021-01-03,7.0,1.0,1.0,20.0
108,KS,2021-01-04,5.0,8.0,1.0,28.0
16,KS,2021-01-05,7.0,4.0,1.0,24.0
201,KS,2021-01-06,6.0,5.0,1.0,20.0
17,KS,2021-01-07,10.0,4.0,4.0,27.0
18,KS,2021-01-08,8.0,6.0,1.0,27.0
19,KS,2021-01-09,5.0,7.0,0.0,16.0
425,KS,2021-01-10,5.0,1.0,1.0,14.0
74,KS,2021-01-11,7.0,1.0,1.0,18.0
257,KS,2021-01-12,5.0,4.0,1.0,19.0
202,KS,2021-01-13,12.0,1.0,1.0,27.0
109,KS,2021-01-14,9.0,6.0,1.0,25.0
20,KS,2021-01-15,9.0,5.0,1.0,26.0
21,KS,2021-01-16,9.0,5.0,1.0,25.0
75,KS,2021-01-17,9.0,1.0,1.0,16.0
22,KS,2021-01-18,9.0,6.0,6.0,32.0
76,KS,2021-01-19,5.0,1.0,5.0,18.0
77,KS,2021-01-20,4.0,4.0,6.0,20.0
498,KS,2021-01-21,5.0,0.0,6.0,16.0
23,KS,2021-01-22,9.0,4.0,8.0,30.0
328,KS,2021-01-23,1.0,5.0,4.0,16.0
398,KS,2021-01-24,1.0,1.0,1.0,13.0
399,KS,2021-01-25,7.0,1.0,4.0,16.0
426,KS,2021-01-26,4.0,7.0,1.0,19.0
24,KS,2021-01-27,1.0,1.0,1.0,11.0
427,KS,2021-01-28,5.0,5.0,1.0,17.0
400,KS,2021-01-29,1.0,1.0,0.0,9.0
258,KS,2021-01-30,1.0,5.0,0.0,10.0
259,KS,2021-01-31,1.0,1.0,1.0,9.0
572,KS,2021-02-01,1.0,1.0,1.0,7.0
373,KS,2021-02-02,1.0,1.0,1.0,10.0
494,KS,2021-02-03,1.0,4.0,1.0,13.0
480,KS,2021-02-04,1.0,1.0,1.0,9.0
487,KS,2021-02-05,1.0,1.0,1.0,6.0
428,KS,2021-02-06,1.0,1.0,1.0,8.0
401,KS,2021-02-07,1.0,0.0,1.0,7.0
78,KS,2021-02-08,1.0,0.0,1.0,7.0
429,KS,2021-02-09,1.0,1.0,1.0,6.0
402,KS,2021-02-10,1.0,0.0,1.0,7.0
79,KS,2021-02-11,1.0,1.0,1.0,8.0
329,KS,2021-02-12,4.0,1.0,1.0,10.0
25,KS,2021-02-13,1.0,1.0,1.0,7.0
430,KS,2021-02-14,1.0,1.0,1.0,4.0
26,KS,2021-02-15,5.0,1.0,1.0,11.0
27,KS,2021-02-16,1.0,0.0,1.0,5.0
431,KS,2021-02-17,5.0,1.0,1.0,11.0
432,KS,2021-02-18,1.0,1.0,1.0,5.0
433,KS,2021-02-19,1.0,1.0,4.0,12.0
434,KS,2021-02-20,1.0,1.0,1.0,5.0
435,KS,2021-02-21,1.0,1.0,1.0,6.0
436,KS,2021-02-22,1.0,0.0,1.0,5.0
28,KS,2021-02-23,1.0,1.0,1.0,10.0
437,KS,2021-02-24,1.0,4.0,1.0,11.0
80,KS,2021-02-25,5.0,1.0,1.0,13.0
438,KS,2021-02-26,1.0,0.0,1.0,6.0
403,KS,2021-02-27,1.0,1.0,0.0,7.0
439,KS,2021-02-28,1.0,0.0,0.0,4.0
371,KS,2021-03-01,5.0,1.0,0.0,8.0
29,KS,2021-03-02,1.0,0.0,1.0,5.0
440,KS,2021-03-03,1.0,0.0,0.0,4.0
441,KS,2021-03-04,1.0,1.0,1.0,5.0
330,KS,2021-03-05,0.0,1.0,0.0,4.0
331,KS,2021-03-06,1.0,0.0,0.0,5.0
442,KS,2021-03-07,1.0,1.0,0.0,5.0
443,KS,2021-03-08,1.0,0.0,0.0,3.0
444,KS,2021-03-09,0.0,0.0,0.0,3.0
445,KS,2021-03-10,0.0,0.0,0.0,3.0
446,KS,2021-03-11,1.0,0.0,0.0,3.0
30,KS,2021-03-12,1.0,1.0,0.0,6.0
699,KS,2021-03-13,0.0,1.0,0.0,1.0
573,KS,2021-03-14,1.0,1.0,0.0,2.0
684,KS,2021-03-15,0.0,1.0,0.0,4.0
691,KS,2021-03-16,0.0,1.0,0.0,3.0
692,KS,2021-03-17,0.0,0.0,1.0,2.0
574,KS,2021-03-18,1.0,0.0,0.0,3.0
694,KS,2021-03-19,0.0,0.0,0.0,1.0
110,KS,2021-03-20,1.0,1.0,1.0,5.0
