,state,date,01015,01033,01043,01071,01073,01077,01083,01089,01097,01101,01103,01117,01121,01125,01127,total_cnts
0,AL,2020-08-02,1.0,1.0,1.0,0.0,5.0,0.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,36.0
1,AL,2020-08-03,12.0,1.0,1.0,1.0,8.0,1.0,7.0,8.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,61.0
184,AL,2020-08-04,8.0,1.0,1.0,1.0,7.0,1.0,4.0,12.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,59.0
2,AL,2020-08-05,5.0,0.0,1.0,1.0,8.0,0.0,1.0,6.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,50.0
3,AL,2020-08-06,8.0,0.0,0.0,0.0,10.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,53.0
422,AL,2020-08-07,5.0,1.0,1.0,1.0,9.0,1.0,6.0,12.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,60.0
4,AL,2020-08-08,1.0,1.0,0.0,1.0,6.0,0.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,39.0
395,AL,2020-08-09,1.0,1.0,1.0,1.0,5.0,1.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0
185,AL,2020-08-10,4.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,39.0
186,AL,2020-08-11,1.0,1.0,0.0,1.0,11.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,46.0
187,AL,2020-08-12,1.0,4.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,4.0,38.0
188,AL,2020-08-13,5.0,0.0,1.0,1.0,7.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,36.0
5,AL,2020-08-14,6.0,1.0,1.0,1.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0
