,state,date,04013,04015,04017,04019,04021,04025,04027,total_cnts
0,AZ,2020-08-02,41,4.0,1.0,4.0,1.0,1.0,1.0,56.0
270,AZ,2020-08-03,61,1.0,1.0,1.0,4.0,1.0,4.0,76.0
1,AZ,2020-08-04,47,1.0,1.0,4.0,7.0,1.0,1.0,65.0
2,AZ,2020-08-05,48,7.0,1.0,10.0,6.0,0.0,1.0,79.0
3,AZ,2020-08-06,48,1.0,0.0,9.0,1.0,1.0,4.0,67.0
271,AZ,2020-08-07,39,1.0,1.0,0.0,5.0,1.0,1.0,55.0
4,AZ,2020-08-08,36,1.0,1.0,8.0,1.0,1.0,1.0,52.0
572,AZ,2020-08-09,22,1.0,1.0,4.0,1.0,0.0,1.0,31.0
5,AZ,2020-08-10,54,1.0,0.0,6.0,4.0,0.0,4.0,71.0
507,AZ,2020-08-11,35,1.0,1.0,4.0,1.0,0.0,1.0,45.0
553,AZ,2020-08-12,45,1.0,0.0,8.0,6.0,0.0,9.0,70.0
6,AZ,2020-08-13,40,1.0,1.0,1.0,6.0,0.0,6.0,63.0
272,AZ,2020-08-14,36,1.0,1.0,5.0,1.0,0.0,1.0,48.0
7,AZ,2020-08-15,30,1.0,0.0,1.0,1.0,1.0,1.0,39.0
273,AZ,2020-08-16,22,1.0,0.0,0.0,1.0,1.0,1.0,28.0
274,AZ,2020-08-17,37,1.0,0.0,1.0,6.0,1.0,1.0,49.0
275,AZ,2020-08-18,19,1.0,1.0,10.0,1.0,1.0,1.0,36.0
276,AZ,2020-08-19,20,4.0,0.0,1.0,1.0,0.0,1.0,28.0
277,AZ,2020-08-20,30,1.0,0.0,4.0,1.0,0.0,1.0,39.0
278,AZ,2020-08-21,22,1.0,0.0,4.0,1.0,1.0,1.0,35.0
573,AZ,2020-08-22,12,1.0,1.0,4.0,1.0,1.0,1.0,21.0
427,AZ,2020-08-23,15,1.0,0.0,1.0,1.0,1.0,1.0,21.0
279,AZ,2020-08-24,28,4.0,1.0,1.0,4.0,0.0,1.0,42.0
280,AZ,2020-08-25,25,5.0,1.0,1.0,1.0,1.0,1.0,37.0
574,AZ,2020-08-26,48,1.0,0.0,1.0,1.0,1.0,1.0,54.0
554,AZ,2020-08-27,22,1.0,1.0,1.0,0.0,1.0,5.0,32.0
508,AZ,2020-08-28,17,1.0,1.0,1.0,1.0,0.0,0.0,22.0
509,AZ,2020-08-29,16,1.0,0.0,1.0,4.0,1.0,1.0,25.0
575,AZ,2020-08-30,11,1.0,1.0,0.0,0.0,0.0,0.0,13.0
510,AZ,2020-08-31,20,1.0,1.0,0.0,1.0,0.0,1.0,25.0
8,AZ,2020-09-01,17,0.0,1.0,1.0,1.0,0.0,1.0,23.0
576,AZ,2020-09-02,10,1.0,1.0,4.0,1.0,0.0,1.0,18.0
577,AZ,2020-09-03,14,1.0,1.0,0.0,1.0,1.0,0.0,18.0
511,AZ,2020-09-04,18,1.0,0.0,1.0,1.0,0.0,1.0,23.0
578,AZ,2020-09-05,12,0.0,0.0,1.0,1.0,1.0,0.0,15.0
512,AZ,2020-09-06,10,0.0,1.0,1.0,0.0,0.0,1.0,14.0
513,AZ,2020-09-07,13,0.0,1.0,1.0,5.0,0.0,0.0,21.0
579,AZ,2020-09-08,15,0.0,1.0,4.0,1.0,0.0,0.0,21.0
281,AZ,2020-09-09,9,1.0,1.0,1.0,1.0,0.0,0.0,15.0
580,AZ,2020-09-10,15,0.0,0.0,1.0,6.0,1.0,1.0,24.0
555,AZ,2020-09-11,19,1.0,0.0,1.0,4.0,1.0,1.0,28.0
514,AZ,2020-09-12,9,0.0,0.0,0.0,0.0,0.0,0.0,10.0
515,AZ,2020-09-13,9,0.0,0.0,1.0,0.0,0.0,1.0,12.0
581,AZ,2020-09-14,21,0.0,0.0,1.0,1.0,1.0,1.0,25.0
582,AZ,2020-09-15,17,0.0,0.0,1.0,1.0,1.0,0.0,20.0
282,AZ,2020-09-16,20,1.0,0.0,1.0,0.0,0.0,0.0,24.0
428,AZ,2020-09-17,13,1.0,0.0,1.0,1.0,0.0,0.0,17.0
583,AZ,2020-09-18,18,0.0,1.0,4.0,0.0,0.0,1.0,24.0
584,AZ,2020-09-19,12,1.0,0.0,1.0,1.0,1.0,0.0,16.0
429,AZ,2020-09-20,6,0.0,0.0,1.0,1.0,0.0,0.0,9.0
9,AZ,2020-09-21,15,0.0,0.0,1.0,1.0,4.0,0.0,24.0
563,AZ,2020-09-22,12,4.0,0.0,1.0,1.0,0.0,1.0,20.0
10,AZ,2020-09-23,8,0.0,0.0,1.0,1.0,1.0,1.0,13.0
430,AZ,2020-09-24,14,0.0,0.0,1.0,1.0,0.0,1.0,18.0
11,AZ,2020-09-25,15,1.0,0.0,1.0,4.0,0.0,0.0,22.0
585,AZ,2020-09-26,15,0.0,0.0,1.0,1.0,0.0,0.0,17.0
564,AZ,2020-09-27,9,0.0,1.0,1.0,1.0,1.0,0.0,14.0
516,AZ,2020-09-28,16,0.0,0.0,0.0,4.0,0.0,0.0,23.0
12,AZ,2020-09-29,15,0.0,0.0,1.0,1.0,1.0,0.0,19.0
13,AZ,2020-09-30,16,1.0,1.0,1.0,1.0,0.0,0.0,21.0
517,AZ,2020-10-01,25,0.0,1.0,1.0,7.0,0.0,1.0,40.0
586,AZ,2020-10-02,16,0.0,0.0,1.0,4.0,1.0,1.0,23.0
518,AZ,2020-10-03,15,0.0,0.0,1.0,1.0,0.0,1.0,21.0
587,AZ,2020-10-04,13,0.0,0.0,0.0,0.0,1.0,1.0,15.0
14,AZ,2020-10-05,18,0.0,0.0,0.0,4.0,1.0,0.0,26.0
431,AZ,2020-10-06,9,1.0,0.0,0.0,1.0,1.0,0.0,14.0
432,AZ,2020-10-07,22,1.0,0.0,0.0,1.0,1.0,1.0,28.0
433,AZ,2020-10-08,14,1.0,1.0,1.0,1.0,0.0,1.0,21.0
519,AZ,2020-10-09,23,1.0,0.0,1.0,1.0,1.0,1.0,32.0
520,AZ,2020-10-10,19,0.0,0.0,1.0,1.0,0.0,1.0,23.0
283,AZ,2020-10-11,10,1.0,0.0,0.0,1.0,1.0,1.0,17.0
588,AZ,2020-10-12,13,0.0,1.0,0.0,1.0,1.0,1.0,18.0
434,AZ,2020-10-13,17,0.0,0.0,1.0,1.0,1.0,1.0,24.0
284,AZ,2020-10-14,19,0.0,1.0,1.0,6.0,0.0,1.0,32.0
15,AZ,2020-10-15,31,0.0,1.0,1.0,1.0,0.0,0.0,36.0
521,AZ,2020-10-16,23,0.0,0.0,5.0,1.0,1.0,1.0,34.0
285,AZ,2020-10-17,23,1.0,0.0,1.0,1.0,0.0,1.0,29.0
522,AZ,2020-10-18,19,0.0,0.0,1.0,1.0,1.0,1.0,24.0
16,AZ,2020-10-19,18,0.0,1.0,6.0,1.0,0.0,1.0,28.0
286,AZ,2020-10-20,33,0.0,1.0,1.0,1.0,0.0,1.0,38.0
17,AZ,2020-10-21,28,0.0,5.0,1.0,4.0,0.0,0.0,39.0
18,AZ,2020-10-22,23,4.0,1.0,1.0,1.0,0.0,1.0,32.0
523,AZ,2020-10-23,26,1.0,1.0,6.0,6.0,0.0,0.0,41.0
435,AZ,2020-10-24,24,1.0,1.0,1.0,1.0,0.0,1.0,32.0
561,AZ,2020-10-25,20,1.0,1.0,0.0,4.0,0.0,1.0,28.0
