,state,date,33011,33015,total_cnts
493,NH,2020-08-04,0.0,0.0,1.0
505,NH,2020-08-05,0.0,1.0,1.0
506,NH,2020-08-06,0.0,1.0,1.0
354,NH,2020-08-09,1.0,0.0,1.0
296,NH,2020-08-12,1.0,0.0,2.0
355,NH,2020-08-13,1.0,0.0,1.0
602,NH,2020-08-14,0.0,0.0,1.0
356,NH,2020-08-15,1.0,0.0,1.0
357,NH,2020-08-18,1.0,0.0,1.0
297,NH,2020-08-25,0.0,0.0,2.0
507,NH,2020-08-28,0.0,1.0,1.0
207,NH,2020-09-01,0.0,0.0,1.0
64,NH,2020-09-09,0.0,0.0,1.0
508,NH,2020-09-10,0.0,1.0,1.0
509,NH,2020-09-12,0.0,1.0,1.0
65,NH,2020-09-13,0.0,1.0,2.0
66,NH,2020-09-14,0.0,0.0,2.0
603,NH,2020-09-16,0.0,0.0,1.0
358,NH,2020-09-19,1.0,0.0,1.0
67,NH,2020-09-20,1.0,0.0,2.0
68,NH,2020-09-21,0.0,0.0,2.0
69,NH,2020-09-22,0.0,0.0,2.0
604,NH,2020-09-23,0.0,0.0,1.0
605,NH,2020-09-24,0.0,0.0,1.0
606,NH,2020-09-26,0.0,0.0,1.0
607,NH,2020-09-28,0.0,0.0,1.0
510,NH,2020-09-29,0.0,1.0,2.0
608,NH,2020-09-30,0.0,0.0,1.0
70,NH,2020-10-01,0.0,0.0,1.0
609,NH,2020-10-02,0.0,0.0,1.0
610,NH,2020-10-03,0.0,0.0,1.0
511,NH,2020-10-04,0.0,1.0,2.0
71,NH,2020-10-07,1.0,1.0,3.0
359,NH,2020-10-08,1.0,0.0,2.0
512,NH,2020-10-09,0.0,1.0,1.0
513,NH,2020-10-10,0.0,1.0,1.0
514,NH,2020-10-13,0.0,1.0,1.0
515,NH,2020-10-15,0.0,1.0,1.0
360,NH,2020-10-21,1.0,0.0,1.0
0,NH,2020-10-22,0.0,1.0,2.0
361,NH,2020-10-23,1.0,1.0,2.0
362,NH,2020-10-24,1.0,1.0,2.0
516,NH,2020-10-25,0.0,1.0,1.0
363,NH,2020-10-26,1.0,0.0,1.0
611,NH,2020-10-27,0.0,0.0,1.0
72,NH,2020-10-28,0.0,1.0,2.0
364,NH,2020-10-29,1.0,0.0,1.0
260,NH,2020-10-30,0.0,1.0,2.0
517,NH,2020-11-01,0.0,1.0,1.0
261,NH,2020-11-02,1.0,1.0,3.0
365,NH,2020-11-03,1.0,1.0,2.0
518,NH,2020-11-04,0.0,1.0,2.0
366,NH,2020-11-06,1.0,1.0,2.0
262,NH,2020-11-08,0.0,1.0,3.0
367,NH,2020-11-09,1.0,0.0,1.0
298,NH,2020-11-10,0.0,0.0,1.0
208,NH,2020-11-11,1.0,0.0,3.0
263,NH,2020-11-12,0.0,1.0,3.0
1,NH,2020-11-13,1.0,4.0,7.0
264,NH,2020-11-14,0.0,1.0,2.0
368,NH,2020-11-15,1.0,1.0,2.0
299,NH,2020-11-16,0.0,1.0,2.0
300,NH,2020-11-17,0.0,5.0,8.0
369,NH,2020-11-18,1.0,1.0,3.0
370,NH,2020-11-19,1.0,1.0,3.0
301,NH,2020-11-20,1.0,1.0,4.0
371,NH,2020-11-21,1.0,1.0,2.0
519,NH,2020-11-22,0.0,1.0,1.0
209,NH,2020-11-23,5.0,5.0,11.0
210,NH,2020-11-24,0.0,1.0,2.0
73,NH,2020-11-25,1.0,4.0,7.0
211,NH,2020-11-26,0.0,1.0,3.0
212,NH,2020-11-27,1.0,1.0,3.0
302,NH,2020-11-28,1.0,4.0,7.0
74,NH,2020-11-29,1.0,1.0,4.0
372,NH,2020-11-30,1.0,1.0,2.0
373,NH,2020-12-01,1.0,1.0,2.0
520,NH,2020-12-02,0.0,4.0,5.0
374,NH,2020-12-03,1.0,6.0,8.0
375,NH,2020-12-04,1.0,5.0,8.0
521,NH,2020-12-05,0.0,5.0,5.0
75,NH,2020-12-06,0.0,8.0,10.0
522,NH,2020-12-07,0.0,8.0,9.0
2,NH,2020-12-08,4.0,4.0,10.0
76,NH,2020-12-09,0.0,5.0,7.0
213,NH,2020-12-10,1.0,1.0,4.0
303,NH,2020-12-11,0.0,1.0,2.0
376,NH,2020-12-12,1.0,4.0,6.0
77,NH,2020-12-13,1.0,1.0,5.0
78,NH,2020-12-14,1.0,1.0,5.0
377,NH,2020-12-15,1.0,1.0,3.0
378,NH,2020-12-16,1.0,1.0,3.0
379,NH,2020-12-17,1.0,5.0,7.0
3,NH,2020-12-18,1.0,5.0,9.0
214,NH,2020-12-19,1.0,5.0,9.0
4,NH,2020-12-20,1.0,5.0,8.0
5,NH,2020-12-21,1.0,6.0,10.0
79,NH,2020-12-22,4.0,1.0,7.0
80,NH,2020-12-23,1.0,1.0,4.0
81,NH,2020-12-24,1.0,1.0,9.0
6,NH,2020-12-25,1.0,1.0,5.0
380,NH,2020-12-26,1.0,1.0,2.0
381,NH,2020-12-27,1.0,1.0,3.0
382,NH,2020-12-28,4.0,1.0,6.0
7,NH,2020-12-29,1.0,4.0,7.0
383,NH,2020-12-30,4.0,6.0,12.0
384,NH,2020-12-31,4.0,7.0,12.0
215,NH,2021-01-01,1.0,0.0,2.0
216,NH,2021-01-02,1.0,4.0,8.0
385,NH,2021-01-03,1.0,0.0,3.0
304,NH,2021-01-04,1.0,4.0,6.0
305,NH,2021-01-05,1.0,1.0,5.0
386,NH,2021-01-06,1.0,1.0,2.0
8,NH,2021-01-07,1.0,1.0,4.0
265,NH,2021-01-08,4.0,6.0,19.0
387,NH,2021-01-09,1.0,1.0,4.0
388,NH,2021-01-10,1.0,5.0,7.0
306,NH,2021-01-11,1.0,6.0,16.0
217,NH,2021-01-12,1.0,0.0,4.0
389,NH,2021-01-13,1.0,1.0,3.0
82,NH,2021-01-14,1.0,1.0,9.0
83,NH,2021-01-15,6.0,1.0,10.0
390,NH,2021-01-16,4.0,1.0,6.0
391,NH,2021-01-17,1.0,1.0,3.0
266,NH,2021-01-18,1.0,1.0,5.0
523,NH,2021-01-19,0.0,1.0,5.0
84,NH,2021-01-20,1.0,1.0,5.0
392,NH,2021-01-21,1.0,1.0,2.0
85,NH,2021-01-22,1.0,1.0,4.0
307,NH,2021-01-23,1.0,5.0,8.0
308,NH,2021-01-25,1.0,5.0,7.0
86,NH,2021-01-26,1.0,1.0,5.0
218,NH,2021-01-27,1.0,1.0,4.0
87,NH,2021-01-28,1.0,1.0,4.0
219,NH,2021-01-29,1.0,1.0,5.0
393,NH,2021-01-30,1.0,1.0,3.0
494,NH,2021-01-31,0.0,0.0,2.0
88,NH,2021-02-01,1.0,0.0,6.0
394,NH,2021-02-02,1.0,5.0,7.0
89,NH,2021-02-03,0.0,1.0,3.0
395,NH,2021-02-04,1.0,1.0,3.0
90,NH,2021-02-05,1.0,1.0,4.0
220,NH,2021-02-06,1.0,4.0,8.0
