,state,date,40027,40031,40037,40109,40143,40145,total_cnts
336,OK,2020-08-02,0.0,0.0,0.0,4.0,6.0,0.0,16.0
0,OK,2020-08-03,1.0,0.0,1.0,4.0,4.0,1.0,18.0
363,OK,2020-08-04,1.0,0.0,15.0,1.0,1.0,1.0,27.0
1,OK,2020-08-05,0.0,0.0,0.0,7.0,1.0,4.0,22.0
2,OK,2020-08-06,0.0,1.0,1.0,5.0,6.0,1.0,22.0
3,OK,2020-08-07,1.0,0.0,1.0,4.0,4.0,0.0,16.0
4,OK,2020-08-08,1.0,0.0,1.0,1.0,4.0,1.0,14.0
503,OK,2020-08-09,1.0,1.0,0.0,1.0,1.0,1.0,8.0
5,OK,2020-08-10,5.0,0.0,0.0,4.0,4.0,1.0,24.0
364,OK,2020-08-11,1.0,1.0,0.0,4.0,5.0,0.0,15.0
6,OK,2020-08-12,1.0,0.0,0.0,5.0,5.0,0.0,17.0
365,OK,2020-08-13,0.0,1.0,0.0,9.0,0.0,1.0,17.0
7,OK,2020-08-14,1.0,1.0,0.0,8.0,6.0,0.0,25.0
469,OK,2020-08-15,0.0,0.0,0.0,4.0,1.0,0.0,12.0
366,OK,2020-08-16,1.0,0.0,1.0,6.0,1.0,0.0,14.0
8,OK,2020-08-17,0.0,1.0,0.0,9.0,6.0,0.0,26.0
9,OK,2020-08-18,1.0,0.0,0.0,8.0,1.0,1.0,18.0
10,OK,2020-08-19,0.0,0.0,1.0,6.0,6.0,1.0,60.0
150,OK,2020-08-20,1.0,1.0,0.0,4.0,4.0,0.0,17.0
11,OK,2020-08-21,1.0,1.0,1.0,1.0,8.0,0.0,18.0
12,OK,2020-08-22,0.0,0.0,1.0,1.0,5.0,1.0,11.0
13,OK,2020-08-23,1.0,0.0,0.0,4.0,1.0,0.0,14.0
14,OK,2020-08-24,0.0,0.0,1.0,1.0,25.0,0.0,33.0
367,OK,2020-08-25,1.0,0.0,0.0,4.0,6.0,1.0,20.0
368,OK,2020-08-26,4.0,1.0,0.0,1.0,12.0,1.0,33.0
369,OK,2020-08-27,1.0,0.0,0.0,1.0,4.0,0.0,17.0
370,OK,2020-08-28,1.0,0.0,1.0,5.0,11.0,1.0,33.0
371,OK,2020-08-29,1.0,0.0,0.0,1.0,1.0,1.0,12.0
504,OK,2020-08-30,1.0,0.0,0.0,4.0,5.0,1.0,16.0
372,OK,2020-08-31,1.0,0.0,0.0,5.0,6.0,1.0,23.0
151,OK,2020-09-01,1.0,0.0,0.0,5.0,7.0,0.0,26.0
15,OK,2020-09-02,1.0,0.0,1.0,1.0,1.0,1.0,17.0
16,OK,2020-09-03,0.0,1.0,0.0,1.0,1.0,0.0,13.0
505,OK,2020-09-04,1.0,1.0,0.0,1.0,6.0,1.0,14.0
17,OK,2020-09-05,1.0,0.0,0.0,1.0,4.0,1.0,20.0
18,OK,2020-09-06,1.0,1.0,0.0,1.0,11.0,1.0,25.0
152,OK,2020-09-07,1.0,0.0,0.0,1.0,5.0,0.0,18.0
373,OK,2020-09-08,1.0,0.0,1.0,1.0,8.0,0.0,23.0
489,OK,2020-09-09,1.0,0.0,0.0,4.0,4.0,1.0,20.0
374,OK,2020-09-10,1.0,0.0,1.0,1.0,5.0,1.0,23.0
375,OK,2020-09-11,0.0,0.0,0.0,1.0,6.0,0.0,17.0
506,OK,2020-09-12,1.0,0.0,1.0,0.0,1.0,1.0,9.0
337,OK,2020-09-13,0.0,0.0,0.0,1.0,1.0,1.0,8.0
376,OK,2020-09-14,1.0,0.0,0.0,1.0,1.0,0.0,17.0
153,OK,2020-09-15,1.0,0.0,1.0,1.0,5.0,1.0,17.0
19,OK,2020-09-16,1.0,0.0,1.0,1.0,1.0,0.0,13.0
470,OK,2020-09-17,0.0,0.0,1.0,1.0,1.0,1.0,10.0
507,OK,2020-09-18,1.0,0.0,0.0,5.0,4.0,0.0,21.0
118,OK,2020-09-19,1.0,0.0,1.0,5.0,6.0,0.0,20.0
154,OK,2020-09-20,1.0,0.0,0.0,1.0,5.0,0.0,15.0
377,OK,2020-09-21,1.0,1.0,1.0,7.0,1.0,0.0,17.0
109,OK,2020-09-22,1.0,0.0,1.0,1.0,7.0,0.0,21.0
155,OK,2020-09-23,1.0,1.0,0.0,1.0,4.0,0.0,16.0
156,OK,2020-09-24,1.0,0.0,0.0,14.0,4.0,0.0,33.0
378,OK,2020-09-25,1.0,0.0,1.0,5.0,6.0,0.0,25.0
157,OK,2020-09-26,1.0,0.0,1.0,1.0,1.0,1.0,13.0
158,OK,2020-09-27,1.0,1.0,0.0,4.0,4.0,0.0,18.0
159,OK,2020-09-28,4.0,0.0,0.0,6.0,7.0,0.0,28.0
160,OK,2020-09-29,1.0,1.0,1.0,9.0,4.0,1.0,32.0
141,OK,2020-09-30,1.0,1.0,0.0,5.0,9.0,1.0,31.0
161,OK,2020-10-01,6.0,1.0,1.0,13.0,4.0,1.0,42.0
162,OK,2020-10-02,4.0,0.0,1.0,9.0,6.0,0.0,29.0
163,OK,2020-10-03,1.0,0.0,0.0,4.0,5.0,1.0,23.0
232,OK,2020-10-04,4.0,1.0,1.0,1.0,1.0,0.0,16.0
164,OK,2020-10-05,4.0,0.0,1.0,14.0,6.0,1.0,39.0
508,OK,2020-10-06,4.0,0.0,1.0,4.0,5.0,0.0,24.0
233,OK,2020-10-07,1.0,0.0,1.0,4.0,10.0,1.0,35.0
20,OK,2020-10-08,5.0,1.0,0.0,7.0,9.0,0.0,33.0
165,OK,2020-10-09,8.0,1.0,0.0,13.0,6.0,0.0,43.0
21,OK,2020-10-10,1.0,0.0,1.0,1.0,10.0,0.0,29.0
379,OK,2020-10-11,0.0,0.0,0.0,1.0,5.0,0.0,20.0
22,OK,2020-10-12,5.0,1.0,0.0,7.0,7.0,0.0,43.0
166,OK,2020-10-13,0.0,1.0,1.0,1.0,6.0,0.0,29.0
167,OK,2020-10-14,4.0,1.0,1.0,1.0,13.0,1.0,34.0
168,OK,2020-10-15,6.0,1.0,1.0,6.0,11.0,1.0,41.0
234,OK,2020-10-16,1.0,1.0,1.0,7.0,7.0,1.0,38.0
235,OK,2020-10-17,1.0,1.0,0.0,6.0,14.0,1.0,38.0
169,OK,2020-10-18,0.0,1.0,0.0,4.0,6.0,0.0,20.0
170,OK,2020-10-19,6.0,0.0,1.0,6.0,6.0,1.0,36.0
171,OK,2020-10-20,8.0,1.0,0.0,11.0,9.0,1.0,48.0
380,OK,2020-10-21,0.0,0.0,0.0,7.0,14.0,5.0,41.0
172,OK,2020-10-22,1.0,1.0,0.0,5.0,10.0,1.0,33.0
142,OK,2020-10-23,1.0,1.0,1.0,8.0,17.0,1.0,44.0
236,OK,2020-10-24,1.0,0.0,0.0,1.0,10.0,1.0,27.0
237,OK,2020-10-25,1.0,0.0,1.0,6.0,1.0,0.0,24.0
173,OK,2020-10-26,1.0,1.0,1.0,12.0,10.0,1.0,49.0
23,OK,2020-10-27,1.0,1.0,0.0,6.0,8.0,0.0,43.0
110,OK,2020-10-28,0.0,1.0,0.0,5.0,11.0,1.0,40.0
174,OK,2020-10-29,6.0,4.0,1.0,9.0,12.0,0.0,56.0
338,OK,2020-10-30,1.0,1.0,1.0,12.0,17.0,1.0,46.0
175,OK,2020-10-31,0.0,4.0,1.0,7.0,10.0,1.0,40.0
176,OK,2020-11-01,1.0,1.0,1.0,12.0,6.0,1.0,34.0
238,OK,2020-11-02,12.0,1.0,0.0,18.0,15.0,1.0,66.0
24,OK,2020-11-03,7.0,1.0,1.0,9.0,18.0,1.0,62.0
239,OK,2020-11-04,4.0,0.0,1.0,11.0,16.0,1.0,51.0
240,OK,2020-11-05,1.0,1.0,1.0,13.0,19.0,1.0,58.0
177,OK,2020-11-06,6.0,1.0,1.0,22.0,10.0,0.0,61.0
241,OK,2020-11-07,1.0,1.0,0.0,6.0,12.0,1.0,38.0
509,OK,2020-11-08,1.0,1.0,1.0,8.0,14.0,1.0,40.0
119,OK,2020-11-09,5.0,0.0,1.0,24.0,7.0,1.0,67.0
25,OK,2020-11-10,12.0,4.0,0.0,13.0,12.0,1.0,66.0
339,OK,2020-11-11,4.0,1.0,0.0,10.0,19.0,0.0,63.0
26,OK,2020-11-12,4.0,1.0,4.0,11.0,19.0,1.0,71.0
111,OK,2020-11-13,1.0,1.0,1.0,18.0,29.0,1.0,74.0
120,OK,2020-11-14,1.0,6.0,1.0,13.0,14.0,1.0,56.0
242,OK,2020-11-15,0.0,1.0,1.0,7.0,15.0,1.0,46.0
178,OK,2020-11-16,7.0,1.0,4.0,17.0,12.0,1.0,72.0
27,OK,2020-11-17,5.0,1.0,1.0,13.0,27.0,0.0,87.0
28,OK,2020-11-18,1.0,1.0,1.0,13.0,16.0,1.0,67.0
218,OK,2020-11-19,1.0,4.0,1.0,20.0,18.0,1.0,81.0
243,OK,2020-11-20,7.0,1.0,1.0,14.0,20.0,1.0,73.0
244,OK,2020-11-21,5.0,5.0,1.0,7.0,7.0,1.0,47.0
381,OK,2020-11-22,1.0,0.0,1.0,10.0,14.0,1.0,57.0
29,OK,2020-11-23,7.0,7.0,1.0,21.0,21.0,1.0,108.0
245,OK,2020-11-24,6.0,0.0,1.0,8.0,24.0,1.0,68.0
30,OK,2020-11-25,1.0,5.0,1.0,24.0,16.0,1.0,91.0
246,OK,2020-11-26,1.0,1.0,1.0,10.0,14.0,0.0,44.0
382,OK,2020-11-27,6.0,1.0,4.0,15.0,22.0,1.0,78.0
121,OK,2020-11-28,1.0,1.0,1.0,10.0,22.0,1.0,63.0
247,OK,2020-11-29,1.0,1.0,1.0,13.0,13.0,1.0,51.0
179,OK,2020-11-30,6.0,1.0,1.0,18.0,13.0,4.0,70.0
31,OK,2020-12-01,15.0,4.0,1.0,31.0,19.0,1.0,105.0
219,OK,2020-12-02,6.0,6.0,1.0,14.0,16.0,1.0,68.0
32,OK,2020-12-03,5.0,4.0,1.0,30.0,24.0,1.0,103.0
