,state,date,28047,28067,total_cnts
97,MS,2020-08-02,0.0,1.0,17.0
198,MS,2020-08-03,1.0,1.0,26.0
385,MS,2020-08-04,1.0,1.0,19.0
178,MS,2020-08-05,1.0,1.0,11.0
333,MS,2020-08-06,1.0,1.0,18.0
437,MS,2020-08-07,1.0,1.0,20.0
98,MS,2020-08-08,0.0,1.0,13.0
199,MS,2020-08-09,1.0,1.0,13.0
427,MS,2020-08-10,0.0,1.0,17.0
366,MS,2020-08-11,1.0,1.0,25.0
99,MS,2020-08-12,1.0,1.0,18.0
200,MS,2020-08-13,1.0,1.0,16.0
201,MS,2020-08-14,1.0,0.0,23.0
408,MS,2020-08-15,1.0,0.0,10.0
517,MS,2020-08-16,0.0,1.0,13.0
0,MS,2020-08-17,1.0,0.0,16.0
367,MS,2020-08-18,1.0,1.0,9.0
202,MS,2020-08-19,0.0,1.0,11.0
100,MS,2020-08-20,0.0,1.0,17.0
1,MS,2020-08-21,1.0,1.0,15.0
101,MS,2020-08-22,0.0,0.0,15.0
386,MS,2020-08-23,0.0,1.0,12.0
409,MS,2020-08-24,1.0,1.0,14.0
102,MS,2020-08-25,0.0,1.0,15.0
103,MS,2020-08-26,0.0,1.0,9.0
203,MS,2020-08-27,1.0,1.0,19.0
104,MS,2020-08-28,1.0,1.0,13.0
204,MS,2020-08-29,0.0,1.0,12.0
205,MS,2020-08-30,0.0,1.0,10.0
206,MS,2020-08-31,0.0,4.0,14.0
207,MS,2020-09-01,1.0,1.0,12.0
616,MS,2020-09-02,0.0,1.0,6.0
615,MS,2020-09-03,0.0,0.0,9.0
208,MS,2020-09-04,1.0,0.0,13.0
209,MS,2020-09-05,1.0,0.0,10.0
210,MS,2020-09-06,1.0,0.0,11.0
211,MS,2020-09-07,1.0,1.0,9.0
368,MS,2020-09-08,1.0,1.0,6.0
105,MS,2020-09-09,0.0,1.0,9.0
638,MS,2020-09-10,0.0,1.0,6.0
212,MS,2020-09-11,0.0,1.0,8.0
213,MS,2020-09-12,1.0,1.0,8.0
214,MS,2020-09-13,1.0,1.0,9.0
351,MS,2020-09-14,0.0,1.0,13.0
106,MS,2020-09-15,0.0,4.0,7.0
361,MS,2020-09-16,0.0,1.0,11.0
215,MS,2020-09-17,1.0,0.0,17.0
107,MS,2020-09-18,0.0,1.0,7.0
683,MS,2020-09-19,0.0,0.0,2.0
438,MS,2020-09-20,1.0,0.0,6.0
216,MS,2020-09-21,0.0,0.0,8.0
108,MS,2020-09-22,1.0,1.0,11.0
