,state,date,05007,05031,05055,05093,05111,05119,total_cnts
86,AR,2020-08-02,1.0,1.0,1.0,0.0,0.0,1.0,12.0
0,AR,2020-08-03,1.0,1.0,1.0,0.0,0.0,1.0,13.0
524,AR,2020-08-04,0.0,1.0,0.0,1.0,1.0,1.0,11.0
1,AR,2020-08-05,1.0,1.0,1.0,1.0,4.0,4.0,26.0
525,AR,2020-08-06,0.0,1.0,1.0,1.0,1.0,1.0,16.0
225,AR,2020-08-07,1.0,1.0,0.0,1.0,1.0,1.0,13.0
87,AR,2020-08-08,1.0,1.0,0.0,1.0,1.0,1.0,13.0
487,AR,2020-08-09,0.0,0.0,0.0,1.0,0.0,4.0,13.0
2,AR,2020-08-10,0.0,1.0,1.0,0.0,1.0,1.0,20.0
226,AR,2020-08-11,1.0,1.0,1.0,1.0,0.0,4.0,18.0
3,AR,2020-08-12,0.0,1.0,1.0,1.0,0.0,1.0,10.0
509,AR,2020-08-13,0.0,1.0,0.0,1.0,0.0,1.0,12.0
4,AR,2020-08-14,0.0,0.0,1.0,1.0,1.0,1.0,11.0
539,AR,2020-08-15,0.0,1.0,1.0,0.0,1.0,1.0,10.0
526,AR,2020-08-16,0.0,1.0,0.0,1.0,4.0,1.0,10.0
459,AR,2020-08-17,0.0,1.0,0.0,1.0,0.0,4.0,17.0
544,AR,2020-08-18,0.0,0.0,1.0,0.0,1.0,6.0,18.0
545,AR,2020-08-19,0.0,1.0,1.0,1.0,0.0,1.0,10.0
546,AR,2020-08-20,0.0,1.0,0.0,1.0,1.0,4.0,16.0
488,AR,2020-08-21,0.0,1.0,0.0,0.0,0.0,4.0,14.0
547,AR,2020-08-22,0.0,0.0,0.0,0.0,0.0,6.0,16.0
489,AR,2020-08-23,0.0,1.0,0.0,0.0,1.0,1.0,12.0
548,AR,2020-08-24,0.0,1.0,0.0,0.0,1.0,1.0,15.0
227,AR,2020-08-25,1.0,0.0,0.0,0.0,0.0,1.0,14.0
88,AR,2020-08-26,1.0,1.0,0.0,1.0,1.0,5.0,17.0
558,AR,2020-08-27,0.0,5.0,1.0,0.0,1.0,1.0,14.0
89,AR,2020-08-28,1.0,1.0,0.0,0.0,0.0,1.0,15.0
228,AR,2020-08-29,1.0,1.0,1.0,1.0,1.0,1.0,10.0
5,AR,2020-08-30,0.0,1.0,1.0,1.0,0.0,4.0,20.0
229,AR,2020-08-31,1.0,1.0,0.0,1.0,0.0,1.0,13.0
230,AR,2020-09-01,1.0,4.0,0.0,1.0,0.0,4.0,19.0
231,AR,2020-09-02,1.0,1.0,0.0,1.0,1.0,1.0,14.0
559,AR,2020-09-03,0.0,1.0,1.0,1.0,0.0,1.0,13.0
232,AR,2020-09-04,1.0,1.0,1.0,0.0,0.0,5.0,19.0
460,AR,2020-09-05,0.0,0.0,0.0,1.0,1.0,1.0,14.0
233,AR,2020-09-06,1.0,5.0,0.0,0.0,1.0,1.0,19.0
510,AR,2020-09-07,0.0,1.0,0.0,0.0,0.0,0.0,8.0
234,AR,2020-09-08,1.0,5.0,0.0,0.0,0.0,4.0,19.0
235,AR,2020-09-09,1.0,1.0,0.0,0.0,0.0,5.0,21.0
236,AR,2020-09-10,1.0,0.0,0.0,0.0,0.0,4.0,15.0
237,AR,2020-09-11,4.0,1.0,0.0,1.0,1.0,1.0,18.0
6,AR,2020-09-12,1.0,4.0,0.0,1.0,1.0,1.0,19.0
560,AR,2020-09-13,0.0,1.0,0.0,0.0,1.0,1.0,11.0
7,AR,2020-09-14,1.0,4.0,0.0,0.0,0.0,0.0,15.0
238,AR,2020-09-15,1.0,1.0,0.0,0.0,0.0,4.0,14.0
8,AR,2020-09-16,1.0,1.0,0.0,1.0,1.0,4.0,15.0
9,AR,2020-09-17,1.0,4.0,0.0,0.0,1.0,1.0,20.0
239,AR,2020-09-18,1.0,5.0,0.0,1.0,0.0,6.0,25.0
461,AR,2020-09-19,0.0,4.0,1.0,0.0,1.0,4.0,25.0
240,AR,2020-09-20,1.0,1.0,1.0,1.0,0.0,1.0,13.0
10,AR,2020-09-21,0.0,1.0,1.0,1.0,1.0,1.0,14.0
11,AR,2020-09-22,1.0,1.0,0.0,1.0,1.0,7.0,28.0
241,AR,2020-09-23,1.0,6.0,0.0,1.0,1.0,5.0,27.0
561,AR,2020-09-24,0.0,5.0,0.0,1.0,0.0,1.0,17.0
12,AR,2020-09-25,0.0,4.0,1.0,1.0,0.0,1.0,16.0
562,AR,2020-09-26,0.0,1.0,0.0,1.0,0.0,4.0,11.0
242,AR,2020-09-27,1.0,4.0,1.0,1.0,0.0,1.0,18.0
13,AR,2020-09-28,1.0,1.0,1.0,1.0,1.0,1.0,21.0
243,AR,2020-09-29,1.0,1.0,0.0,1.0,0.0,5.0,19.0
244,AR,2020-09-30,1.0,6.0,1.0,1.0,1.0,5.0,21.0
