,state,date,16001,16011,16027,total_cnts
73,ID,2020-11-23,1.0,0.0,1.0,13.0
74,ID,2020-11-24,1.0,1.0,1.0,11.0
75,ID,2020-11-25,4.0,1.0,1.0,17.0
76,ID,2020-11-26,1.0,1.0,0.0,8.0
77,ID,2020-11-27,1.0,0.0,4.0,15.0
417,ID,2020-11-28,0.0,0.0,1.0,9.0
78,ID,2020-11-29,4.0,1.0,1.0,9.0
79,ID,2020-11-30,1.0,4.0,4.0,34.0
80,ID,2020-12-01,1.0,1.0,1.0,9.0
81,ID,2020-12-02,1.0,1.0,4.0,16.0
82,ID,2020-12-03,6.0,1.0,4.0,17.0
83,ID,2020-12-04,4.0,1.0,0.0,14.0
84,ID,2020-12-05,1.0,0.0,1.0,7.0
85,ID,2020-12-06,1.0,1.0,0.0,8.0
86,ID,2020-12-07,5.0,1.0,1.0,14.0
87,ID,2020-12-08,8.0,1.0,1.0,13.0
88,ID,2020-12-09,1.0,1.0,1.0,8.0
89,ID,2020-12-10,1.0,1.0,1.0,12.0
90,ID,2020-12-11,1.0,1.0,1.0,16.0
91,ID,2020-12-12,1.0,1.0,1.0,12.0
92,ID,2020-12-13,1.0,0.0,1.0,5.0
93,ID,2020-12-14,6.0,1.0,1.0,20.0
94,ID,2020-12-15,1.0,0.0,1.0,11.0
95,ID,2020-12-16,4.0,1.0,4.0,15.0
96,ID,2020-12-17,5.0,1.0,1.0,21.0
97,ID,2020-12-18,4.0,1.0,0.0,14.0
98,ID,2020-12-19,1.0,1.0,4.0,11.0
492,ID,2020-12-20,0.0,1.0,1.0,2.0
99,ID,2020-12-21,4.0,1.0,1.0,13.0
100,ID,2020-12-22,5.0,0.0,1.0,13.0
101,ID,2020-12-23,5.0,0.0,1.0,11.0
102,ID,2020-12-24,1.0,1.0,1.0,7.0
103,ID,2020-12-25,1.0,0.0,1.0,5.0
104,ID,2020-12-26,1.0,1.0,1.0,7.0
105,ID,2020-12-27,1.0,0.0,1.0,5.0
106,ID,2020-12-28,1.0,0.0,0.0,13.0
418,ID,2020-12-29,0.0,0.0,1.0,7.0
107,ID,2020-12-30,1.0,1.0,0.0,9.0
108,ID,2020-12-31,4.0,1.0,1.0,18.0
109,ID,2021-01-01,1.0,1.0,5.0,17.0
110,ID,2021-01-02,4.0,1.0,0.0,17.0
111,ID,2021-01-03,1.0,1.0,0.0,7.0
112,ID,2021-01-04,1.0,1.0,1.0,13.0
113,ID,2021-01-05,1.0,1.0,1.0,11.0
114,ID,2021-01-06,1.0,1.0,1.0,13.0
115,ID,2021-01-07,1.0,1.0,1.0,10.0
116,ID,2021-01-08,1.0,1.0,1.0,13.0
419,ID,2021-01-09,0.0,1.0,1.0,7.0
493,ID,2021-01-10,0.0,1.0,1.0,9.0
117,ID,2021-01-11,1.0,1.0,1.0,11.0
420,ID,2021-01-12,0.0,1.0,0.0,4.0
118,ID,2021-01-13,1.0,0.0,1.0,8.0
119,ID,2021-01-14,1.0,1.0,1.0,9.0
551,ID,2021-01-15,0.0,0.0,5.0,11.0
421,ID,2021-01-16,0.0,1.0,0.0,5.0
120,ID,2021-01-17,1.0,1.0,1.0,5.0
121,ID,2021-01-18,1.0,1.0,1.0,8.0
494,ID,2021-01-19,0.0,1.0,0.0,6.0
122,ID,2021-01-20,1.0,1.0,0.0,4.0
123,ID,2021-01-21,4.0,1.0,1.0,12.0
124,ID,2021-01-22,1.0,1.0,0.0,5.0
125,ID,2021-01-23,1.0,1.0,0.0,9.0
552,ID,2021-01-24,0.0,0.0,1.0,4.0
126,ID,2021-01-25,1.0,1.0,1.0,7.0
127,ID,2021-01-26,1.0,0.0,1.0,5.0
128,ID,2021-01-27,1.0,0.0,1.0,6.0
129,ID,2021-01-28,1.0,0.0,1.0,4.0
130,ID,2021-01-29,1.0,1.0,0.0,6.0
131,ID,2021-01-30,1.0,1.0,1.0,6.0
132,ID,2021-01-31,1.0,1.0,0.0,5.0
133,ID,2021-02-01,1.0,1.0,0.0,8.0
134,ID,2021-02-02,1.0,1.0,1.0,6.0
135,ID,2021-02-03,1.0,1.0,1.0,8.0
136,ID,2021-02-04,1.0,0.0,0.0,4.0
137,ID,2021-02-05,1.0,0.0,0.0,8.0
138,ID,2021-02-06,1.0,0.0,0.0,3.0
139,ID,2021-02-07,1.0,0.0,1.0,3.0
140,ID,2021-02-08,4.0,1.0,1.0,12.0
141,ID,2021-02-09,1.0,1.0,0.0,6.0
142,ID,2021-02-10,1.0,0.0,1.0,4.0
143,ID,2021-02-11,1.0,0.0,1.0,6.0
144,ID,2021-02-12,1.0,1.0,1.0,5.0
145,ID,2021-02-13,1.0,0.0,0.0,4.0
495,ID,2021-02-14,0.0,1.0,0.0,3.0
422,ID,2021-02-15,0.0,0.0,0.0,2.0
146,ID,2021-02-16,1.0,0.0,1.0,4.0
147,ID,2021-02-17,1.0,0.0,1.0,6.0
148,ID,2021-02-18,1.0,0.0,1.0,3.0
149,ID,2021-02-19,1.0,0.0,0.0,2.0
150,ID,2021-02-20,1.0,0.0,0.0,2.0
151,ID,2021-02-21,1.0,1.0,0.0,3.0
152,ID,2021-02-22,1.0,0.0,1.0,4.0
496,ID,2021-02-23,0.0,1.0,0.0,2.0
423,ID,2021-02-24,0.0,0.0,0.0,1.0
424,ID,2021-02-25,0.0,1.0,0.0,7.0
153,ID,2021-02-26,1.0,1.0,0.0,4.0
497,ID,2021-02-27,0.0,1.0,0.0,3.0
498,ID,2021-02-28,0.0,1.0,0.0,2.0
499,ID,2021-03-01,0.0,1.0,0.0,4.0
500,ID,2021-03-02,0.0,1.0,0.0,4.0
501,ID,2021-03-03,0.0,1.0,1.0,3.0
154,ID,2021-03-04,1.0,1.0,1.0,5.0
502,ID,2021-03-05,0.0,1.0,0.0,3.0
155,ID,2021-03-06,1.0,1.0,0.0,4.0
156,ID,2021-03-07,1.0,1.0,0.0,4.0
157,ID,2021-03-08,1.0,1.0,0.0,6.0
158,ID,2021-03-09,1.0,1.0,0.0,3.0
503,ID,2021-03-10,0.0,1.0,0.0,2.0
159,ID,2021-03-11,1.0,1.0,0.0,4.0
570,ID,2021-03-12,0.0,0.0,1.0,3.0
425,ID,2021-03-13,0.0,1.0,1.0,4.0
504,ID,2021-03-14,0.0,1.0,0.0,3.0
160,ID,2021-03-15,1.0,1.0,0.0,4.0
161,ID,2021-03-16,1.0,1.0,1.0,5.0
505,ID,2021-03-17,0.0,1.0,0.0,7.0
506,ID,2021-03-18,0.0,1.0,0.0,1.0
507,ID,2021-03-19,0.0,1.0,1.0,3.0
508,ID,2021-03-20,0.0,1.0,0.0,3.0
162,ID,2021-03-21,1.0,1.0,0.0,3.0
163,ID,2021-03-22,1.0,1.0,0.0,6.0
426,ID,2021-03-23,0.0,1.0,0.0,5.0
164,ID,2021-03-24,1.0,1.0,0.0,6.0
427,ID,2021-03-25,0.0,1.0,0.0,7.0
509,ID,2021-03-26,0.0,1.0,0.0,4.0
510,ID,2021-03-27,0.0,1.0,0.0,4.0
165,ID,2021-03-28,1.0,1.0,0.0,4.0
166,ID,2021-03-29,1.0,1.0,0.0,2.0
428,ID,2021-03-30,0.0,0.0,1.0,3.0
511,ID,2021-03-31,0.0,1.0,0.0,2.0
167,ID,2021-04-01,1.0,1.0,0.0,5.0
512,ID,2021-04-02,0.0,1.0,0.0,1.0
168,ID,2021-04-03,1.0,1.0,0.0,4.0
513,ID,2021-04-04,0.0,1.0,0.0,2.0
514,ID,2021-04-05,0.0,1.0,1.0,4.0
169,ID,2021-04-06,1.0,1.0,0.0,4.0
515,ID,2021-04-07,0.0,1.0,0.0,2.0
170,ID,2021-04-08,1.0,0.0,0.0,1.0
429,ID,2021-04-09,0.0,1.0,0.0,4.0
639,ID,2021-04-10,0.0,0.0,0.0,2.0
430,ID,2021-04-11,0.0,1.0,0.0,5.0
516,ID,2021-04-12,0.0,1.0,0.0,2.0
517,ID,2021-04-13,0.0,1.0,0.0,1.0
171,ID,2021-04-14,1.0,1.0,0.0,5.0
172,ID,2021-04-15,1.0,1.0,0.0,5.0
596,ID,2021-04-16,0.0,0.0,1.0,5.0
431,ID,2021-04-17,0.0,0.0,0.0,7.0
571,ID,2021-04-18,0.0,0.0,0.0,1.0
572,ID,2021-04-19,0.0,0.0,0.0,3.0
573,ID,2021-04-20,0.0,0.0,1.0,4.0
597,ID,2021-04-21,0.0,0.0,1.0,4.0
173,ID,2021-04-22,1.0,0.0,0.0,3.0
432,ID,2021-04-23,0.0,0.0,0.0,4.0
174,ID,2021-04-24,1.0,0.0,1.0,3.0
636,ID,2021-04-25,0.0,0.0,0.0,2.0
598,ID,2021-04-26,0.0,0.0,1.0,1.0
175,ID,2021-04-27,1.0,0.0,0.0,2.0
176,ID,2021-04-28,1.0,0.0,0.0,2.0
177,ID,2021-04-29,1.0,0.0,0.0,7.0
178,ID,2021-04-30,1.0,0.0,0.0,4.0
640,ID,2021-05-01,0.0,0.0,0.0,1.0
179,ID,2021-05-02,1.0,0.0,1.0,3.0
629,ID,2021-05-03,0.0,0.0,0.0,3.0
649,ID,2021-05-04,0.0,0.0,0.0,1.0
180,ID,2021-05-07,1.0,0.0,1.0,2.0
641,ID,2021-05-08,0.0,0.0,0.0,1.0
599,ID,2021-05-09,0.0,0.0,1.0,2.0
600,ID,2021-05-10,0.0,0.0,1.0,2.0
181,ID,2021-05-11,1.0,0.0,0.0,1.0
182,ID,2021-05-12,1.0,0.0,1.0,3.0
183,ID,2021-05-14,1.0,0.0,0.0,2.0
184,ID,2021-05-15,1.0,0.0,0.0,4.0
637,ID,2021-05-16,0.0,0.0,0.0,1.0
518,ID,2021-05-17,0.0,1.0,1.0,2.0
519,ID,2021-05-18,0.0,1.0,0.0,1.0
185,ID,2021-05-19,1.0,1.0,0.0,5.0
186,ID,2021-05-20,1.0,1.0,0.0,2.0
433,ID,2021-05-21,0.0,1.0,1.0,5.0
520,ID,2021-05-22,0.0,1.0,1.0,3.0
521,ID,2021-05-23,0.0,1.0,0.0,1.0
187,ID,2021-05-24,1.0,1.0,0.0,3.0
188,ID,2021-05-25,1.0,1.0,0.0,3.0
601,ID,2021-05-26,0.0,0.0,4.0,5.0
602,ID,2021-05-27,0.0,0.0,1.0,3.0
603,ID,2021-05-28,0.0,0.0,1.0,2.0
604,ID,2021-05-30,0.0,0.0,1.0,2.0
605,ID,2021-05-31,0.0,0.0,1.0,3.0
606,ID,2021-06-01,0.0,0.0,1.0,1.0
553,ID,2021-06-02,0.0,0.0,1.0,2.0
607,ID,2021-06-03,0.0,0.0,1.0,1.0
554,ID,2021-06-04,0.0,0.0,1.0,4.0
189,ID,2021-06-05,1.0,0.0,0.0,6.0
650,ID,2021-06-06,0.0,0.0,0.0,1.0
608,ID,2021-06-07,0.0,0.0,1.0,3.0
190,ID,2021-06-08,1.0,0.0,1.0,2.0
642,ID,2021-06-09,0.0,0.0,0.0,1.0
609,ID,2021-06-10,0.0,0.0,1.0,2.0
651,ID,2021-06-11,0.0,0.0,0.0,2.0
630,ID,2021-06-12,0.0,0.0,0.0,2.0
574,ID,2021-06-13,0.0,0.0,0.0,2.0
191,ID,2021-06-14,1.0,0.0,1.0,4.0
555,ID,2021-06-15,0.0,0.0,0.0,2.0
434,ID,2021-06-16,0.0,0.0,1.0,3.0
575,ID,2021-06-17,0.0,0.0,0.0,3.0
556,ID,2021-06-18,0.0,0.0,0.0,4.0
192,ID,2021-06-19,1.0,0.0,0.0,2.0
576,ID,2021-06-20,0.0,0.0,0.0,1.0
577,ID,2021-06-21,0.0,0.0,0.0,2.0
578,ID,2021-06-22,0.0,0.0,0.0,2.0
579,ID,2021-06-23,0.0,0.0,1.0,5.0
557,ID,2021-06-24,0.0,0.0,0.0,3.0
580,ID,2021-06-25,0.0,0.0,0.0,2.0
