,state,date,22017,22019,22033,22051,22055,22071,22073,22079,22103,22105,total_cnts
234,LA,2020-08-02,0.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,4.0,6.0,41.0
0,LA,2020-08-03,7.0,1.0,6.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,62.0
235,LA,2020-08-04,1.0,1.0,1.0,8.0,0.0,1.0,5.0,4.0,1.0,4.0,47.0
236,LA,2020-08-05,1.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,49.0
1,LA,2020-08-06,1.0,0.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,44.0
329,LA,2020-08-07,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0
406,LA,2020-08-08,1.0,0.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,32.0
2,LA,2020-08-09,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,27.0
330,LA,2020-08-10,1.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,6.0,7.0,48.0
407,LA,2020-08-11,1.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,33.0
3,LA,2020-08-12,4.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,4.0,1.0,42.0
237,LA,2020-08-13,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,33.0
4,LA,2020-08-14,1.0,1.0,4.0,5.0,5.0,1.0,1.0,0.0,1.0,4.0,44.0
408,LA,2020-08-15,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,27.0
238,LA,2020-08-16,4.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,31.0
239,LA,2020-08-17,7.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,4.0,1.0,41.0
409,LA,2020-08-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0
331,LA,2020-08-19,1.0,1.0,1.0,4.0,0.0,5.0,1.0,1.0,0.0,4.0,40.0
530,LA,2020-08-20,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,24.0
5,LA,2020-08-21,1.0,1.0,1.0,10.0,1.0,5.0,1.0,0.0,1.0,1.0,36.0
534,LA,2020-08-22,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,16.0
6,LA,2020-08-23,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,17.0
332,LA,2020-08-24,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,23.0
7,LA,2020-08-25,1.0,1.0,6.0,6.0,1.0,1.0,1.0,0.0,1.0,5.0,42.0
410,LA,2020-08-26,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0,4.0,29.0
411,LA,2020-08-27,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0
8,LA,2020-08-28,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,22.0
9,LA,2020-08-29,0.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,0.0,28.0
412,LA,2020-08-30,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,19.0
413,LA,2020-08-31,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,24.0
414,LA,2020-09-01,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,25.0
415,LA,2020-09-02,1.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,23.0
10,LA,2020-09-03,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,20.0
11,LA,2020-09-04,1.0,1.0,0.0,6.0,1.0,4.0,1.0,0.0,1.0,1.0,33.0
431,LA,2020-09-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20.0
333,LA,2020-09-06,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,21.0
240,LA,2020-09-07,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,22.0
416,LA,2020-09-08,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,5.0,0.0,26.0
417,LA,2020-09-09,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,29.0
241,LA,2020-09-10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,22.0
418,LA,2020-09-11,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,4.0,27.0
566,LA,2020-09-12,1.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,21.0
242,LA,2020-09-13,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,22.0
419,LA,2020-09-14,1.0,0.0,1.0,4.0,0.0,4.0,6.0,1.0,1.0,1.0,36.0
243,LA,2020-09-15,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,38.0
420,LA,2020-09-16,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0
421,LA,2020-09-17,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,17.0
244,LA,2020-09-18,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,26.0
432,LA,2020-09-19,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,20.0
433,LA,2020-09-20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,19.0
245,LA,2020-09-21,1.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,5.0,27.0
605,LA,2020-09-22,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,22.0
567,LA,2020-09-23,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,19.0
246,LA,2020-09-24,1.0,1.0,1.0,4.0,0.0,1.0,7.0,0.0,0.0,1.0,30.0
434,LA,2020-09-25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,18.0
12,LA,2020-09-26,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,23.0
606,LA,2020-09-27,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,5.0,23.0
531,LA,2020-09-28,0.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,20.0
607,LA,2020-09-29,0.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,21.0
13,LA,2020-09-30,1.0,0.0,1.0,6.0,0.0,4.0,6.0,1.0,1.0,1.0,34.0
535,LA,2020-10-01,5.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,24.0
435,LA,2020-10-02,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,25.0
436,LA,2020-10-03,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,5.0,23.0
247,LA,2020-10-04,4.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,28.0
248,LA,2020-10-05,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,21.0
14,LA,2020-10-06,1.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0
15,LA,2020-10-07,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,25.0
249,LA,2020-10-08,1.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,24.0
536,LA,2020-10-09,1.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,21.0
437,LA,2020-10-10,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0
537,LA,2020-10-11,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,17.0
334,LA,2020-10-12,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0
568,LA,2020-10-13,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,18.0
16,LA,2020-10-14,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,22.0
250,LA,2020-10-15,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,19.0
335,LA,2020-10-16,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,27.0
538,LA,2020-10-17,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,22.0
539,LA,2020-10-18,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,17.0
251,LA,2020-10-19,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,31.0
569,LA,2020-10-20,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,25.0
570,LA,2020-10-21,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0
17,LA,2020-10-22,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,22.0
18,LA,2020-10-23,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0
252,LA,2020-10-24,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0
19,LA,2020-10-25,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,16.0
