,state,date,48027,48029,48039,48061,48085,48113,48121,48135,48139,48141,48157,48167,48181,48183,48201,48203,48213,48215,48221,48231,48245,48251,48257,48291,48303,48339,48355,48367,48397,48423,48439,48453,48467,48469,48479,48491,48497,48499,total_cnts
12,TX,2020-08-17,1.0,14.0,5.0,1.0,17.0,17.0,14.0,5.0,0.0,7.0,1.0,5.0,4.0,4.0,45.0,1.0,1.0,15.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,5.0,32.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,275.0
13,TX,2020-08-18,0.0,17.0,1.0,11.0,1.0,25.0,12.0,1.0,0.0,5.0,10.0,4.0,1.0,1.0,28.0,4.0,0.0,17.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,5.0,1.0,5.0,30.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,248.0
321,TX,2020-08-19,0.0,12.0,1.0,1.0,8.0,25.0,5.0,0.0,1.0,5.0,8.0,4.0,0.0,1.0,46.0,0.0,1.0,19.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,16.0,1.0,0.0,4.0,42.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,249.0
14,TX,2020-08-20,0.0,19.0,1.0,1.0,10.0,16.0,5.0,1.0,0.0,10.0,4.0,5.0,1.0,5.0,32.0,1.0,1.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,4.0,0.0,4.0,25.0,4.0,0.0,5.0,1.0,0.0,0.0,1.0,220.0
15,TX,2020-08-21,1.0,19.0,6.0,1.0,10.0,23.0,5.0,20.0,0.0,6.0,1.0,5.0,0.0,1.0,30.0,1.0,0.0,15.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,9.0,1.0,0.0,1.0,27.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,233.0
16,TX,2020-08-22,0.0,9.0,1.0,1.0,1.0,13.0,4.0,4.0,0.0,6.0,1.0,7.0,1.0,4.0,25.0,0.0,0.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,0.0,4.0,29.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,173.0
575,TX,2020-08-23,1.0,8.0,1.0,1.0,1.0,14.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,6.0,26.0,0.0,1.0,12.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,142.0
17,TX,2020-08-24,0.0,16.0,1.0,1.0,8.0,26.0,6.0,1.0,0.0,8.0,1.0,8.0,0.0,6.0,35.0,1.0,1.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,1.0,0.0,5.0,25.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,212.0
18,TX,2020-08-25,1.0,13.0,1.0,1.0,5.0,10.0,7.0,4.0,1.0,9.0,1.0,1.0,0.0,1.0,31.0,1.0,0.0,17.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,4.0,22.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,198.0
19,TX,2020-08-26,0.0,14.0,1.0,1.0,6.0,12.0,4.0,1.0,1.0,7.0,1.0,1.0,0.0,8.0,39.0,1.0,1.0,10.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,6.0,1.0,0.0,1.0,23.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,195.0
