,state,date,25005,25009,25013,25017,25021,25023,25025,25027,total_cnts
517,MA,2020-08-02,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0
518,MA,2020-08-03,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0
519,MA,2020-08-04,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0
520,MA,2020-08-05,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0
717,MA,2020-08-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
679,MA,2020-08-07,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0
521,MA,2020-08-08,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0
252,MA,2020-08-09,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0
522,MA,2020-08-10,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0
523,MA,2020-08-11,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0
680,MA,2020-08-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
524,MA,2020-08-13,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0
525,MA,2020-08-14,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
701,MA,2020-08-15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
703,MA,2020-08-16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
681,MA,2020-08-17,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
253,MA,2020-08-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
526,MA,2020-08-19,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
527,MA,2020-08-20,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0
254,MA,2020-08-21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
528,MA,2020-08-22,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0
704,MA,2020-08-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
529,MA,2020-08-24,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0
721,MA,2020-08-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
682,MA,2020-08-26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
530,MA,2020-08-27,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0
705,MA,2020-08-28,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
531,MA,2020-08-29,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
532,MA,2020-08-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
255,MA,2020-08-31,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
533,MA,2020-09-01,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
534,MA,2020-09-02,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0
256,MA,2020-09-03,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0
683,MA,2020-09-04,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
535,MA,2020-09-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
257,MA,2020-09-06,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
536,MA,2020-09-08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
0,MA,2020-09-09,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0
537,MA,2020-09-10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0
258,MA,2020-09-11,1.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,9.0
259,MA,2020-09-12,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
260,MA,2020-09-13,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0
538,MA,2020-09-14,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
539,MA,2020-09-15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0
540,MA,2020-09-16,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
1,MA,2020-09-17,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,10.0
2,MA,2020-09-18,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0
3,MA,2020-09-19,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
4,MA,2020-09-20,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
5,MA,2020-09-21,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
6,MA,2020-09-22,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0
7,MA,2020-09-23,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,10.0
8,MA,2020-09-24,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0
9,MA,2020-09-25,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0
10,MA,2020-09-26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
11,MA,2020-09-27,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
12,MA,2020-09-28,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0
13,MA,2020-09-29,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
14,MA,2020-09-30,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,10.0
15,MA,2020-10-01,1.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0
16,MA,2020-10-02,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0
17,MA,2020-10-03,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,9.0
541,MA,2020-10-04,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,7.0
135,MA,2020-10-05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
261,MA,2020-10-06,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
262,MA,2020-10-07,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,10.0
263,MA,2020-10-08,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,14.0
264,MA,2020-10-09,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0
265,MA,2020-10-10,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0
542,MA,2020-10-11,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0
543,MA,2020-10-12,0.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0
266,MA,2020-10-13,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,9.0
544,MA,2020-10-14,0.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0
545,MA,2020-10-15,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0
267,MA,2020-10-16,1.0,4.0,1.0,1.0,0.0,1.0,5.0,1.0,15.0
268,MA,2020-10-17,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0
546,MA,2020-10-18,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0
269,MA,2020-10-19,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0
270,MA,2020-10-20,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,10.0
271,MA,2020-10-21,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,9.0
547,MA,2020-10-22,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0
272,MA,2020-10-23,1.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,13.0
273,MA,2020-10-24,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0
274,MA,2020-10-25,1.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,14.0
275,MA,2020-10-26,5.0,5.0,1.0,1.0,0.0,1.0,1.0,6.0,20.0
276,MA,2020-10-27,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,14.0
277,MA,2020-10-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0
548,MA,2020-10-29,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,9.0
278,MA,2020-10-30,1.0,4.0,0.0,7.0,0.0,0.0,5.0,1.0,19.0
279,MA,2020-10-31,1.0,5.0,0.0,4.0,0.0,1.0,4.0,4.0,19.0
136,MA,2020-11-01,1.0,1.0,1.0,1.0,0.0,0.0,1.0,11.0,17.0
280,MA,2020-11-02,1.0,4.0,1.0,1.0,1.0,1.0,4.0,8.0,21.0
18,MA,2020-11-03,1.0,7.0,1.0,0.0,1.0,1.0,1.0,5.0,18.0
281,MA,2020-11-04,1.0,9.0,1.0,1.0,0.0,1.0,4.0,6.0,24.0
19,MA,2020-11-05,1.0,5.0,1.0,5.0,0.0,0.0,1.0,1.0,15.0
20,MA,2020-11-06,1.0,6.0,5.0,6.0,1.0,0.0,4.0,9.0,33.0
282,MA,2020-11-07,1.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,13.0
283,MA,2020-11-08,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,19.0
284,MA,2020-11-09,1.0,11.0,1.0,1.0,0.0,1.0,1.0,6.0,22.0
21,MA,2020-11-10,6.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,25.0
22,MA,2020-11-11,5.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,18.0
285,MA,2020-11-12,4.0,6.0,9.0,0.0,1.0,1.0,5.0,1.0,28.0
286,MA,2020-11-13,1.0,10.0,5.0,1.0,1.0,1.0,7.0,6.0,33.0
287,MA,2020-11-14,1.0,6.0,5.0,5.0,1.0,1.0,1.0,7.0,28.0
288,MA,2020-11-15,1.0,9.0,4.0,1.0,1.0,1.0,1.0,5.0,23.0
289,MA,2020-11-16,1.0,19.0,8.0,4.0,4.0,1.0,5.0,6.0,49.0
290,MA,2020-11-17,8.0,4.0,8.0,8.0,1.0,1.0,4.0,1.0,35.0
291,MA,2020-11-18,1.0,9.0,5.0,1.0,1.0,1.0,1.0,5.0,24.0
137,MA,2020-11-19,1.0,10.0,4.0,5.0,4.0,0.0,1.0,0.0,26.0
138,MA,2020-11-20,6.0,10.0,7.0,5.0,7.0,0.0,1.0,8.0,45.0
23,MA,2020-11-21,7.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,25.0
292,MA,2020-11-22,5.0,9.0,9.0,5.0,1.0,4.0,4.0,4.0,41.0
293,MA,2020-11-23,5.0,15.0,6.0,5.0,1.0,1.0,1.0,6.0,40.0
294,MA,2020-11-24,7.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,30.0
24,MA,2020-11-25,6.0,6.0,1.0,7.0,1.0,1.0,5.0,8.0,36.0
295,MA,2020-11-26,5.0,8.0,1.0,6.0,5.0,4.0,0.0,1.0,30.0
296,MA,2020-11-27,9.0,18.0,5.0,6.0,4.0,4.0,4.0,7.0,58.0
297,MA,2020-11-28,6.0,13.0,1.0,1.0,0.0,4.0,1.0,1.0,28.0
298,MA,2020-11-29,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0
299,MA,2020-11-30,4.0,12.0,1.0,9.0,4.0,1.0,9.0,4.0,45.0
25,MA,2020-12-01,11.0,13.0,9.0,4.0,1.0,1.0,7.0,4.0,52.0
300,MA,2020-12-02,10.0,17.0,10.0,13.0,5.0,1.0,5.0,8.0,70.0
301,MA,2020-12-03,6.0,17.0,5.0,8.0,1.0,1.0,6.0,9.0,54.0
139,MA,2020-12-04,7.0,20.0,6.0,11.0,1.0,1.0,4.0,8.0,60.0
302,MA,2020-12-05,6.0,13.0,4.0,10.0,1.0,1.0,5.0,1.0,41.0
140,MA,2020-12-06,4.0,9.0,1.0,8.0,1.0,1.0,5.0,4.0,34.0
141,MA,2020-12-07,4.0,21.0,5.0,9.0,1.0,8.0,16.0,8.0,73.0
142,MA,2020-12-08,1.0,17.0,7.0,12.0,5.0,1.0,4.0,11.0,61.0
303,MA,2020-12-09,6.0,18.0,10.0,15.0,1.0,4.0,8.0,16.0,79.0
304,MA,2020-12-10,4.0,18.0,12.0,11.0,1.0,5.0,5.0,4.0,60.0
305,MA,2020-12-11,5.0,19.0,8.0,8.0,4.0,7.0,9.0,14.0,75.0
143,MA,2020-12-12,4.0,8.0,8.0,5.0,6.0,6.0,6.0,12.0,57.0
306,MA,2020-12-13,1.0,17.0,6.0,8.0,6.0,7.0,4.0,8.0,57.0
307,MA,2020-12-14,5.0,21.0,11.0,8.0,1.0,5.0,8.0,6.0,66.0
26,MA,2020-12-15,4.0,10.0,8.0,10.0,7.0,6.0,4.0,9.0,60.0
144,MA,2020-12-16,1.0,18.0,8.0,9.0,1.0,7.0,7.0,12.0,64.0
27,MA,2020-12-17,4.0,12.0,5.0,7.0,6.0,9.0,6.0,10.0,60.0
145,MA,2020-12-18,1.0,22.0,6.0,16.0,1.0,5.0,7.0,11.0,70.0
308,MA,2020-12-19,1.0,20.0,5.0,4.0,1.0,1.0,7.0,8.0,48.0
146,MA,2020-12-20,1.0,20.0,4.0,9.0,5.0,8.0,7.0,7.0,62.0
28,MA,2020-12-21,7.0,16.0,7.0,12.0,1.0,8.0,8.0,18.0,78.0
29,MA,2020-12-22,4.0,14.0,9.0,9.0,6.0,7.0,4.0,13.0,67.0
309,MA,2020-12-23,6.0,7.0,8.0,14.0,5.0,6.0,6.0,18.0,72.0
147,MA,2020-12-24,1.0,15.0,8.0,6.0,5.0,11.0,17.0,11.0,77.0
30,MA,2020-12-25,1.0,5.0,10.0,1.0,1.0,9.0,8.0,4.0,42.0
310,MA,2020-12-26,1.0,10.0,11.0,6.0,1.0,9.0,10.0,9.0,58.0
148,MA,2020-12-27,1.0,12.0,7.0,7.0,1.0,5.0,10.0,8.0,53.0
311,MA,2020-12-28,1.0,14.0,11.0,13.0,7.0,6.0,13.0,16.0,83.0
31,MA,2020-12-29,4.0,25.0,7.0,6.0,5.0,10.0,4.0,16.0,81.0
312,MA,2020-12-30,1.0,13.0,9.0,14.0,8.0,5.0,11.0,13.0,75.0
313,MA,2020-12-31,6.0,12.0,6.0,6.0,1.0,8.0,11.0,18.0,69.0
549,MA,2021-01-01,0.0,12.0,7.0,11.0,5.0,6.0,8.0,10.0,61.0
149,MA,2021-01-02,4.0,14.0,7.0,9.0,1.0,7.0,6.0,14.0,64.0
314,MA,2021-01-03,6.0,16.0,11.0,6.0,7.0,8.0,5.0,14.0,74.0
32,MA,2021-01-04,7.0,24.0,11.0,12.0,12.0,9.0,8.0,17.0,102.0
315,MA,2021-01-05,1.0,10.0,8.0,17.0,6.0,8.0,10.0,15.0,76.0
33,MA,2021-01-06,1.0,15.0,6.0,8.0,5.0,12.0,5.0,13.0,67.0
316,MA,2021-01-07,5.0,21.0,6.0,18.0,4.0,7.0,8.0,18.0,89.0
34,MA,2021-01-08,6.0,12.0,5.0,13.0,1.0,9.0,4.0,12.0,65.0
317,MA,2021-01-09,1.0,14.0,1.0,9.0,1.0,10.0,4.0,15.0,56.0
